帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,前鎮/吉記燒臘(RRGX00000),2024/01/03,17:15:55,鯖魚一件
Account,俐均,2024/01/03,17:16:12,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/01/22,23:55:13,鯖魚一件
Account,自動回應訊息,2024/01/22,23:55:14,貼圖已傳送
Account,自動回應訊息,2024/01/22,23:55:14,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/吉記燒臘(RRGX00000),2024/01/31,14:41:43,鯖魚一件
Account,俐均,2024/01/31,14:42:54,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/02/07,11:12:57,鯖魚一件
Account,林鈺婷,2024/02/07,11:23:38,老闆娘不好意思~司機都已經出門了
User,前鎮/吉記燒臘(RRGX00000),2024/02/16,21:37:44,鯖魚一件
Account,自動回應訊息,2024/02/16,21:37:44,貼圖已傳送
Account,自動回應訊息,2024/02/16,21:37:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/16,23:12:23,謝謝老闆娘，星期一會送去
User,前鎮/吉記燒臘(RRGX00000),2024/02/17,00:04:15,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/03/02,10:17:57,鯖魚一件
Account,自動回應訊息,2024/03/02,10:17:57,貼圖已傳送
Account,自動回應訊息,2024/03/02,10:17:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/吉記燒臘(RRGX00000),2024/03/10,22:16:30,鯖魚一件
Account,自動回應訊息,2024/03/10,22:16:31,貼圖已傳送
Account,自動回應訊息,2024/03/10,22:16:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/03/11,15:23:25,老闆娘好，司機到了妳關門了，請問下午幾點營業
Account,王振華,2024/03/11,17:30:19,老闆娘，很抱歉得不到您的回應，明天再補送過去
User,前鎮/吉記燒臘(RRGX00000),2024/03/11,18:34:18,明天再送過來我們2點就打烊了
Account,自動回應訊息,2024/03/11,18:34:19,貼圖已傳送
Account,自動回應訊息,2024/03/11,18:34:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前鎮/吉記燒臘(RRGX00000),2024/03/19,14:41:36,鯖魚一件
Account,俐均,2024/03/19,14:43:13,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/04/01,14:30:57,鯖魚一件
Account,俐均,2024/04/01,14:31:37,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/04/10,15:30:05,鯖魚一件
Account,俐均,2024/04/10,15:30:36,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/04/23,18:40:20,鯖魚一件 早一點
Account,自動回應訊息,2024/04/23,18:40:21,貼圖已傳送
Account,自動回應訊息,2024/04/23,18:40:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前鎮/吉記燒臘(RRGX00000),2024/05/09,11:23:58,鯖魚一件
Account,俐均,2024/05/09,11:26:16,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/05/28,19:33:21,鯖魚一件早一點
Account,自動回應訊息,2024/05/28,19:33:22,貼圖已傳送
Account,自動回應訊息,2024/05/28,19:33:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前鎮/吉記燒臘(RRGX00000),2024/06/04,15:12:06,鯖魚一件
Account,林鈺婷,2024/06/04,15:12:16,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/06/13,15:32:48,鯖魚一件
Account,俐均,2024/06/13,15:33:31,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/06/20,19:47:06,鯖魚一件
Account,自動回應訊息,2024/06/20,19:47:06,貼圖已傳送
Account,自動回應訊息,2024/06/20,19:47:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前鎮/吉記燒臘(RRGX00000),2024/06/26,15:13:18,鯖魚一件
Account,俐均,2024/06/26,15:13:24,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/07/02,08:21:07,鯖魚一件
Account,林鈺婷,2024/07/02,08:25:58,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/07/09,11:18:25,鯖魚一
Account,俐均,2024/07/09,11:20:44,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/07/09,15:00:06,今天鯖魚有送來嗎
Account,俐均,2024/07/09,15:07:30,"老闆娘您好
今天司機9"
Account,俐均,2024/07/09,15:08:08,"老闆娘您好
今天司機9:10都全出門了
要明天了喔~"
User,前鎮/吉記燒臘(RRGX00000),2024/07/09,15:08:40,貼圖已傳送
Account,俐均,2024/07/09,15:08:45,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/07/09,15:08:47,明天早一點
Account,俐均,2024/07/09,15:09:11,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/07/13,21:50:52,鯖魚一件
Account,自動回應訊息,2024/07/13,21:50:52,貼圖已傳送
Account,自動回應訊息,2024/07/13,21:50:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/13,23:43:24,老闆娘謝謝您，星期一會送去。
User,前鎮/吉記燒臘(RRGX00000),2024/07/14,07:54:49,貼圖已傳送
Account,自動回應訊息,2024/07/14,07:54:49,貼圖已傳送
Account,自動回應訊息,2024/07/14,07:54:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前鎮/吉記燒臘(RRGX00000),2024/07/22,21:50:20,鯖魚一件
Account,自動回應訊息,2024/07/22,21:50:20,貼圖已傳送
Account,自動回應訊息,2024/07/22,21:50:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前鎮/吉記燒臘(RRGX00000),2024/07/24,15:10:50,照片已傳送
Account,俐均,2024/07/24,16:24:38,您好
User,前鎮/吉記燒臘(RRGX00000),2024/07/29,17:45:11,鯖魚一件
Account,俐均,2024/07/29,17:55:24,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/08/05,13:26:44,鯖魚圓鱈各一件
Account,林鈺婷,2024/08/05,14:04:04,老闆娘不好意思~我們目前沒有圓鱈
User,前鎮/吉記燒臘(RRGX00000),2024/08/05,14:08:18,鯖魚一件，鱸魚拿來看看
Account,林鈺婷,2024/08/05,15:57:16,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/08/15,11:22:46,鯖魚一件
Account,俐均,2024/08/15,11:23:24,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/08/16,15:10:19,鯖魚還沒來呢
Account,俐均,2024/08/16,15:16:47,"老闆好
司機大約25分鐘會送到"
Account,俐均,2024/08/16,15:16:50,謝謝您
User,前鎮/吉記燒臘(RRGX00000),2024/08/16,15:23:36,好的，盡量在2點以前到2點就下班了
Account,俐均,2024/08/16,15:24:21,"不好意思
我們會在單子上註明收貨時間"
Account,俐均,2024/08/16,15:24:44,因為今天爆單所以會比較慢一點
Account,俐均,2024/08/16,15:26:03,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/08/16,15:28:25,貼圖已傳送
Account,俐均,2024/08/16,15:28:44,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/08/22,14:05:34,鯖魚一件
Account,俐均,2024/08/22,14:11:20,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/09/11,14:33:53,鯖魚一件
Account,林鈺婷,2024/09/11,14:39:18,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/09/24,11:11:50,鯖魚一件
Account,林鈺婷,2024/09/24,11:18:34,貼圖已傳送
User,前鎮/吉記燒臘(RRGX00000),2024/10/21,15:41:35,鯖魚一件
Account,俐均,2024/10/21,17:56:29,"老闆娘好
鯖魚100/130的缺貨幫您送6K的好嗎?"
User,前鎮/吉記燒臘(RRGX00000),2024/10/21,18:59:32,貼圖已傳送
Account,自動回應訊息,2024/10/21,18:59:32,貼圖已傳送
Account,自動回應訊息,2024/10/21,18:59:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前鎮/吉記燒臘(RRGX00000),2024/10/31,14:18:26,鯖魚一件
Account,俐均,2024/11/01,08:52:26,貼圖已傳送
Account,林鈺婷,2024/11/01,14:58:14,老闆娘您好~司機到了 請問有人可以收貨嗎?
User,前鎮/吉記燒臘(RRGX00000),2024/11/01,15:06:04,不然請隔壁幫我們收一下，還是禮拜一再送，我們下班了
Account,林鈺婷,2024/11/01,15:08:01,那我們先請麵店的收，錢下次跟您收方便嗎?
User,前鎮/吉記燒臘(RRGX00000),2024/11/01,15:20:53,好的哪一家麵店
Account,林鈺婷,2024/11/01,15:29:11,正隔壁(左手邊第一間) 賣咖哩飯的
User,前鎮/吉記燒臘(RRGX00000),2024/11/01,15:36:49,應該是賣義大利麵的吧
