帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,苓雅/成美燴飯(TACZ5A200),2024/01/29,16:18:41,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,林鈺婷,2024/01/29,16:18:57,貼圖已傳送
User,苓雅/成美燴飯(TACZ5A200),2024/03/11,19:26:02,"您好：
明天
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,自動回應訊息,2024/03/11,19:26:02,貼圖已傳送
Account,自動回應訊息,2024/03/11,19:26:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,苓雅/成美燴飯(TACZ5A200),2024/04/11,20:36:55,"您好：
明天
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,自動回應訊息,2024/04/11,20:36:56,貼圖已傳送
Account,自動回應訊息,2024/04/11,20:36:56,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/成美燴飯(TACZ5A200),2024/05/16,08:41:00,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,俐均,2024/05/16,08:49:04,貼圖已傳送
User,苓雅/成美燴飯(TACZ5A200),2024/06/11,11:20:37,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,俐均,2024/06/11,11:20:57,貼圖已傳送
User,苓雅/成美燴飯(TACZ5A200),2024/07/01,13:09:31,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,俐均,2024/07/01,14:01:30,貼圖已傳送
Account,俐均,2024/07/01,14:02:41,"老闆您好
請問有急用嗎?
星期三幫您送"
User,苓雅/成美燴飯(TACZ5A200),2024/07/02,17:14:57,盡量早點到，感謝
Account,俐均,2024/07/02,17:18:19,貼圖已傳送
User,苓雅/成美燴飯(TACZ5A200),2024/07/02,18:33:45,可否幫我11點前抵達，因明天中午有訂購
Account,自動回應訊息,2024/07/02,18:33:46,貼圖已傳送
Account,自動回應訊息,2024/07/02,18:33:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/07/02,23:30:50,明早請司機安排看看
User,苓雅/成美燴飯(TACZ5A200),2024/07/03,10:25:42,請問有辦法11點前給我嗎
Account,林鈺婷,2024/07/03,10:35:33,不好意思~司機現在預估大約12點前會到
User,苓雅/成美燴飯(TACZ5A200),2024/07/29,18:32:15,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,自動回應訊息,2024/07/29,18:32:15,貼圖已傳送
Account,自動回應訊息,2024/07/29,18:32:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/30,08:34:41,"老闆好
請問有急用嗎?
明天幫您送"
User,苓雅/成美燴飯(TACZ5A200),2024/08/19,19:17:31,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,自動回應訊息,2024/08/19,19:17:31,貼圖已傳送
Account,自動回應訊息,2024/08/19,19:17:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/08/20,00:04:39,謝謝老闆，星期三會送去
User,苓雅/成美燴飯(TACZ5A200),2024/09/19,20:04:38,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,自動回應訊息,2024/09/19,20:04:38,貼圖已傳送
Account,自動回應訊息,2024/09/19,20:04:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/成美燴飯(TACZ5A200),2024/10/22,17:18:48,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,林鈺婷,2024/10/22,17:20:50,老闆不好意思 我們這個目前缺貨 先幫您送品質比較好的可以嗎？平均一片多一元，大小都一樣
User,苓雅/成美燴飯(TACZ5A200),2024/10/22,19:06:00,好
Account,自動回應訊息,2024/10/22,19:06:00,貼圖已傳送
Account,自動回應訊息,2024/10/22,19:06:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/成美燴飯(TACZ5A200),2024/10/24,18:20:42,剛有打電話過去反應小，這批鯖魚太大，再麻煩盡快幫我更換 感謝
Account,自動回應訊息,2024/10/24,18:20:43,貼圖已傳送
Account,自動回應訊息,2024/10/24,18:20:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/成美燴飯(TACZ5A200),2024/10/24,18:26:25,照片已傳送
Account,自動回應訊息,2024/10/24,18:26:26,貼圖已傳送
Account,自動回應訊息,2024/10/24,18:26:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/10/25,08:27:42,"老闆真不好意思
今天去與您換回
謝謝"
User,苓雅/成美燴飯(TACZ5A200),2024/11/17,18:21:36,"您好：
鯖魚（無骨）100/130 2箱
成美燴飯專賣店
苓雅區忠孝二路14號
0987737955"
Account,自動回應訊息,2024/11/17,18:21:36,貼圖已傳送
