帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/02,16:15:12,"青花魚一件
土魠一件
鱸魚一件 謝謝"
Account,林鈺婷,2024/01/02,16:18:16,鱸魚目前還沒有貨，不好意思
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/02,16:20:02,好
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/04,18:23:11,"青花魚2件
土魠一件 謝謝"
Account,自動回應訊息,2024/01/04,18:23:11,貼圖已傳送
Account,自動回應訊息,2024/01/04,18:23:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/04,18:23:21,有鱸魚在說
Account,自動回應訊息,2024/01/04,18:23:22,貼圖已傳送
Account,自動回應訊息,2024/01/04,18:23:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/08,05:44:29,"青花魚2件
土魠一件"
Account,自動回應訊息,2024/01/08,05:44:30,貼圖已傳送
Account,自動回應訊息,2024/01/08,05:44:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/11,16:47:24,"青花魚一件
土魠2件 謝謝"
Account,林鈺婷,2024/01/11,16:47:39,老闆您好~有鱸魚切塊囉，請問有需要嗎?
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/11,16:47:51,一件 謝謝
Account,林鈺婷,2024/01/11,16:50:02,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/13,13:33:30,"青花魚一件
土魠2件 謝謝"
Account,自動回應訊息,2024/01/13,13:33:30,貼圖已傳送
Account,自動回應訊息,2024/01/13,13:33:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/16,15:51:04,裹粉腿排的價錢
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/16,15:51:23,"青花魚2件
鱸魚一件"
Account,林鈺婷,2024/01/16,16:03:23,一箱50片 880元
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/16,16:03:36,一件 謝謝
Account,林鈺婷,2024/01/16,16:33:53,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/18,16:39:56,"青花魚一件
土魠一件 謝謝"
Account,俐均,2024/01/18,16:42:27,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/24,05:44:40,"青花魚一件
土魠一件
鱸魚一件"
Account,自動回應訊息,2024/01/24,05:44:41,貼圖已傳送
Account,自動回應訊息,2024/01/24,05:44:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/26,16:39:48,"星期一
青花魚2件
土魠一件
鱸魚一件 謝謝"
Account,俐均,2024/01/26,16:40:33,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/27,09:31:01,鱸魚加一
Account,自動回應訊息,2024/01/27,09:31:01,貼圖已傳送
Account,自動回應訊息,2024/01/27,09:31:01,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/01/30,15:10:09,"青花魚2件
鱸魚一件
謝謝"
Account,林鈺婷,2024/01/30,16:07:40,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/01,21:27:38,"青花魚一件
鱸魚一件
土魠一件"
Account,自動回應訊息,2024/02/01,21:27:39,貼圖已傳送
Account,自動回應訊息,2024/02/01,21:27:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/05,15:21:53,明天可以送嗎？
Account,俐均,2024/02/05,15:24:57,"老闆
請稍等
幫您詢問一下"
Account,俐均,2024/02/05,15:37:30,可以喔
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/06,07:22:59,"青花魚一件
土魠一件"
Account,自動回應訊息,2024/02/06,07:23:00,貼圖已傳送
Account,自動回應訊息,2024/02/06,07:23:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/07,05:43:00,"鱸魚一件
青花魚一件
土魠一件"
Account,自動回應訊息,2024/02/07,05:43:01,貼圖已傳送
Account,自動回應訊息,2024/02/07,05:43:01,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/15,17:22:10,"青花魚2件
鱸魚一件
謝謝"
Account,林鈺婷,2024/02/15,17:24:35,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/19,05:37:37,"青花魚一件
土魠一件
鱸魚一件"
Account,自動回應訊息,2024/02/19,05:37:38,貼圖已傳送
Account,自動回應訊息,2024/02/19,05:37:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/21,05:36:39,"青花魚一件
鱸魚一件
土魠一件"
Account,自動回應訊息,2024/02/21,05:36:40,貼圖已傳送
Account,自動回應訊息,2024/02/21,05:36:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/22,14:40:19,裹粉腿排一件
Account,俐均,2024/02/22,14:43:53,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/22,17:40:24,半香雞排一件
Account,俐均,2024/02/22,17:41:45,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/23,05:35:57,青花魚2件
Account,自動回應訊息,2024/02/23,05:35:57,貼圖已傳送
Account,自動回應訊息,2024/02/23,05:35:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/26,05:42:40,土魠2件
Account,自動回應訊息,2024/02/26,05:42:41,貼圖已傳送
Account,自動回應訊息,2024/02/26,05:42:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/02/28,16:53:08,"青花魚2件
土魠一件
鱸魚一件
黃金豬排一件
謝謝"
Account,林鈺婷,2024/02/28,17:29:11,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/04,05:39:54,"青花魚一件
鱸魚一件
土魠一件"
Account,自動回應訊息,2024/03/04,05:39:55,貼圖已傳送
Account,自動回應訊息,2024/03/04,05:39:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/05,05:39:08,"黃金豬排一件
今天送 謝謝"
Account,自動回應訊息,2024/03/05,05:39:08,貼圖已傳送
Account,自動回應訊息,2024/03/05,05:39:08,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/05,17:26:38,"青花魚一件
鱸魚一件
謝謝"
Account,俐均,2024/03/05,17:26:45,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/07,17:03:49,"青花魚一件
土魠一件 謝謝"
Account,俐均,2024/03/07,17:07:48,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/09,17:06:38,"青花魚2件
土魠一件
鱸魚一件
謝謝"
Account,自動回應訊息,2024/03/09,17:06:38,貼圖已傳送
Account,自動回應訊息,2024/03/09,17:06:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/09,17:56:22,裹粉腿排一件
Account,自動回應訊息,2024/03/09,17:56:23,貼圖已傳送
Account,自動回應訊息,2024/03/09,17:56:23,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/12,18:25:03,"青花魚一件
鱸魚一件"
Account,自動回應訊息,2024/03/12,18:25:04,貼圖已傳送
Account,自動回應訊息,2024/03/12,18:25:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/14,18:30:19,"青花魚一件
鱸魚一件
黃金豬排一件
謝謝"
Account,自動回應訊息,2024/03/14,18:30:20,貼圖已傳送
Account,自動回應訊息,2024/03/14,18:30:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/18,05:41:26,"青花魚一件
鱸魚一件"
Account,自動回應訊息,2024/03/18,05:41:27,貼圖已傳送
Account,自動回應訊息,2024/03/18,05:41:27,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/21,19:02:10,"青花魚2件
土魠2件
鱸魚一件"
Account,自動回應訊息,2024/03/21,19:02:10,貼圖已傳送
Account,自動回應訊息,2024/03/21,19:02:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/25,05:42:42,"青花魚一件
土魠一件"
Account,自動回應訊息,2024/03/25,05:42:43,貼圖已傳送
Account,自動回應訊息,2024/03/25,05:42:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/26,17:14:47,"青花魚一件
土魠一件"
Account,林鈺婷,2024/03/26,17:34:39,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/03/28,16:27:19,"青花魚一件
鱸魚一件"
Account,俐均,2024/03/28,16:44:11,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/02,16:37:48,"青花魚2件
鱸魚一件
土魠一件"
Account,俐均,2024/04/02,16:42:55,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/07,16:44:01,"青花魚2件
鱸魚一件"
Account,自動回應訊息,2024/04/07,16:44:02,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/08,05:52:55,土魠一斤
Account,自動回應訊息,2024/04/08,05:52:55,貼圖已傳送
Account,自動回應訊息,2024/04/08,05:52:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/09,17:07:53,青花魚2件
Account,林鈺婷,2024/04/09,17:08:12,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/11,16:49:10,"青花魚一件
土魠一件"
Account,俐均,2024/04/11,16:50:30,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/14,16:03:09,土魠2件
Account,自動回應訊息,2024/04/14,16:03:09,貼圖已傳送
Account,自動回應訊息,2024/04/14,16:03:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/15,10:08:23,"老闆您好
土魠缺貨"
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/15,11:17:40,貼圖已傳送
Account,俐均,2024/04/15,11:21:39,貼圖已傳送
User,鼓山/聞到香自助餐(J2VY5H000),2024/04/16,05:39:46,今天可以送青花魚2件 鱸魚一件嗎？
Account,自動回應訊息,2024/04/16,05:39:46,貼圖已傳送
