帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,三民/日嚐餐盒(BTHC00000),2024/01/02,13:20:50,明天幫我送2箱鯖魚
Account,俐均,2024/01/02,13:44:30,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/01/04,11:31:36,明天幫我送一箱鯖魚
Account,林鈺婷,2024/01/04,11:31:52,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/01/16,14:01:54,明天幫我送1箱鯖魚
Account,林鈺婷,2024/01/16,14:02:28,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/01/16,14:02:35,幫我加豬肉片1公斤
Account,林鈺婷,2024/01/16,14:05:36,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/01/18,13:03:53,明天幫我送1箱鯖魚
Account,林鈺婷,2024/01/18,14:02:51,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/02/01,11:09:33,"明天幫我送
鯖魚1箱
豬五花肉片1公斤"
Account,林鈺婷,2024/02/01,11:09:38,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/02/01,11:09:43,請問你們肉片有厚切的選擇嗎
Account,林鈺婷,2024/02/01,11:10:13,我們目前都只有這種薄的不好意思
User,三民/日嚐餐盒(BTHC00000),2024/02/01,11:10:21,好的
User,三民/日嚐餐盒(BTHC00000),2024/02/18,16:11:48,"明天幫我送
鯖魚1箱"
Account,自動回應訊息,2024/02/18,16:11:48,貼圖已傳送
Account,自動回應訊息,2024/02/18,16:11:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/日嚐餐盒(BTHC00000),2024/02/22,17:46:34,"明天幫我送
鯖魚1箱"
Account,林鈺婷,2024/02/22,17:47:18,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/02/26,15:13:53,請問有鹹豬肉的照片可以看看嗎，肉肥瘦有挑過的嗎？
Account,俐均,2024/02/26,15:14:05,貼圖已傳送
Account,俐均,2024/02/26,15:14:41,照片已傳送
User,三民/日嚐餐盒(BTHC00000),2024/02/26,15:15:23,有試吃包裝嗎？
Account,俐均,2024/02/26,15:17:21,"老闆您好
沒有試吃包裝
因為是整塊冷凍不好分開"
User,三民/日嚐餐盒(BTHC00000),2024/02/26,15:18:07,了解 
Account,俐均,2024/02/26,15:18:21,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/03/05,14:04:51,"明天幫我送
鯖魚1箱"
Account,俐均,2024/03/05,14:10:53,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/03/12,14:57:37,"明天幫我送
鯖魚1箱"
Account,俐均,2024/03/12,15:05:20,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/03/19,11:36:18,"明天幫我送
鯖魚1箱"
Account,俐均,2024/03/19,11:38:04,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/03/23,09:16:30,請問你那邊金目鱸魚真空包，現在是什麼規格、價錢
Account,自動回應訊息,2024/03/23,09:16:30,貼圖已傳送
Account,自動回應訊息,2024/03/23,09:16:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/24,17:57:12,老闆好，您是問整尾三去還是鱸魚片呢？
User,三民/日嚐餐盒(BTHC00000),2024/03/24,18:28:59,鱸魚清肉 無刺的
Account,王振華,2024/03/24,23:51:56,老闆好，鱸魚清肉目前缺貨中，待有產出通知您
User,三民/日嚐餐盒(BTHC00000),2024/03/26,12:24:07,"明天幫我送
鯖魚1箱"
Account,俐均,2024/03/26,12:25:28,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/04/02,14:02:37,"明天幫我送
鯖魚1箱"
Account,俐均,2024/04/02,14:06:59,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/04/09,11:24:36,"明天幫我送
鯖魚1箱"
Account,俐均,2024/04/09,11:25:24,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/04/11,14:03:47,"明天幫我送
鯖魚1箱"
Account,俐均,2024/04/11,14:05:06,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/04/18,12:28:02,"明天幫我送
鯖魚1箱"
Account,俐均,2024/04/18,12:31:05,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/04/25,09:54:41,"明天幫我送
鯖魚1箱"
Account,俐均,2024/04/25,09:56:51,收到
User,三民/日嚐餐盒(BTHC00000),2024/05/02,14:49:59,"明天幫我送
鯖魚1箱"
Account,俐均,2024/05/02,14:52:32,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/05/12,15:51:11,"明天幫我送
鯖魚2箱"
Account,自動回應訊息,2024/05/12,15:51:12,貼圖已傳送
Account,自動回應訊息,2024/05/12,15:51:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/日嚐餐盒(BTHC00000),2024/05/28,14:00:51,"明天幫我送
鯖魚1箱"
Account,林鈺婷,2024/05/28,14:01:22,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/06/04,12:32:47,"明天幫我送
鯖魚1箱"
Account,俐均,2024/06/04,12:39:23,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/06/13,14:01:51,"明天幫我送
鯖魚1箱"
Account,俐均,2024/06/13,14:02:16,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/06/20,12:30:20,"明天幫我送
鯖魚1箱"
Account,俐均,2024/06/20,12:31:32,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/06/20,12:32:05,請問海苔柳葉魚 1包入的 大概有幾隻？
Account,俐均,2024/06/20,12:43:38,"老闆好
大約40~42尾"
User,三民/日嚐餐盒(BTHC00000),2024/06/20,12:47:34,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/06/27,14:55:56,"明天幫我送
鯖魚1箱"
Account,俐均,2024/06/27,15:08:46,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/07/09,14:12:09,"明天幫我送
鯖魚1箱
柳葉魚海苔的，1包"
Account,俐均,2024/07/09,14:14:11,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/07/16,14:33:04,"明天幫我送
鯖魚1箱"
Account,俐均,2024/07/16,14:33:24,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/07/18,11:09:52,"明天幫我送
鯖魚1箱
海苔柳葉魚1包"
Account,俐均,2024/07/18,11:10:10,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/07/18,20:00:20,麻煩幫我改 柳葉魚2包，鯖魚1箱
Account,自動回應訊息,2024/07/18,20:00:21,貼圖已傳送
Account,自動回應訊息,2024/07/18,20:00:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/日嚐餐盒(BTHC00000),2024/07/23,20:29:05,"明天幫我送
鯖魚1箱
海苔柳葉魚2包"
Account,自動回應訊息,2024/07/23,20:29:05,貼圖已傳送
Account,自動回應訊息,2024/07/23,20:29:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/24,08:26:26,老闆您好～我們今天有送貨，請問今天有營業可以送貨過去嗎？
User,三民/日嚐餐盒(BTHC00000),2024/07/24,08:33:56,有，謝謝
User,三民/日嚐餐盒(BTHC00000),2024/08/02,17:59:14,請問鱸魚切塊有去刺嗎？
Account,林鈺婷,2024/08/02,18:00:49,沒有做去刺喔
User,三民/日嚐餐盒(BTHC00000),2024/08/06,13:16:46,"明天幫我送
鯖魚1箱
柳葉魚1包"
Account,俐均,2024/08/06,14:06:32,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/08/13,15:51:58,請問黃金柳葉魚 有散包賣嗎
Account,林鈺婷,2024/08/13,16:12:00,我們一箱就是3公斤裸裝
Account,林鈺婷,2024/08/13,16:12:11,只有海苔柳葉魚有散包，一公斤一包
User,三民/日嚐餐盒(BTHC00000),2024/08/13,17:48:04,"明天幫我送
鯖魚1箱"
Account,林鈺婷,2024/08/13,17:54:30,貼圖已傳送
User,三民/日嚐餐盒(BTHC00000),2024/08/18,16:01:35,"明天幫我送
鯖魚1箱"
Account,自動回應訊息,2024/08/18,16:01:36,貼圖已傳送
Account,自動回應訊息,2024/08/18,16:01:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/日嚐餐盒(BTHC00000),2024/08/27,19:05:36,"明天幫我送
鯖魚1箱"
Account,自動回應訊息,2024/08/27,19:05:37,貼圖已傳送
Account,自動回應訊息,2024/08/27,19:05:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/日嚐餐盒(BTHC00000),2024/09/01,16:19:35,"明天幫我送
鯖魚1箱"
Account,自動回應訊息,2024/09/01,16:19:35,貼圖已傳送
Account,自動回應訊息,2024/09/01,16:19:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/日嚐餐盒(BTHC00000),2024/09/05,19:05:33,"明天幫我送
鯖魚1箱"
Account,自動回應訊息,2024/09/05,19:05:33,貼圖已傳送
