帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/01/25,15:45:23,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/01/25,15:45:23,"L   jachy歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/東石自助餐(2GY5HEVNA),2024/01/26,06:02:06,(one)(/)(two)(five)星期五
Account,自動回應訊息,2024/01/26,06:02:06,貼圖已傳送
Account,自動回應訊息,2024/01/26,06:02:06,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/東石自助餐(2GY5HEVNA),2024/01/26,06:06:17,青花菜 ( 散裝)  10Kg/箱            (two)箱
Account,自動回應訊息,2024/01/26,06:06:18,貼圖已傳送
Account,自動回應訊息,2024/01/26,06:06:18,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/東石自助餐(2GY5HEVNA),2024/01/26,06:08:11,東石自助餐  青島街114號
Account,自動回應訊息,2024/01/26,06:08:12,貼圖已傳送
Account,自動回應訊息,2024/01/26,06:08:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/26,08:36:20,照片已傳送
User,三民/東石自助餐(2GY5HEVNA),2024/01/31,01:32:41,照片已傳送
Account,自動回應訊息,2024/01/31,01:32:42,貼圖已傳送
Account,自動回應訊息,2024/01/31,01:32:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/東石自助餐(2GY5HEVNA),2024/02/20,10:44:28,照片已傳送
Account,林鈺婷,2024/02/20,10:45:46,老闆不好意思，我們現在80/100的缺貨中，幫您送大一個規格100/130的方便嗎?
User,三民/東石自助餐(2GY5HEVNA),2024/02/20,10:46:13,貼圖已傳送
User,三民/東石自助餐(2GY5HEVNA),2024/02/20,10:47:07,100/130 (?)大概有幾尾
Account,林鈺婷,2024/02/20,10:50:37,一箱大約20尾左右
User,三民/東石自助餐(2GY5HEVNA),2024/02/20,10:52:04,貼圖已傳送
Account,俐均,2024/02/20,11:14:18,貼圖已傳送
Account,俐均,2024/02/20,11:14:20,貼圖已傳送
User,三民/東石自助餐(2GY5HEVNA),2024/02/20,13:05:26,金線魚10公斤/箱   苦瓜(散裝)  價錢 (?)
Account,林鈺婷,2024/02/20,14:04:51,"金線魚10公斤/箱 
目前有三種規格
100/120 950元
120/150 1050元
150/180 1100元"
Account,林鈺婷,2024/02/20,14:04:59,  苦瓜(散裝) 目前都缺貨中，不好意思
User,三民/東石自助餐(2GY5HEVNA),2024/02/21,09:05:33,金線魚10公斤/箱  120/150    (one)箱 
Account,俐均,2024/02/21,09:06:39,貼圖已傳送
User,三民/東石自助餐(2GY5HEVNA),2024/02/21,13:00:16,你們的業務怎麼到我們門口沒有下貨就跑掉了
Account,林鈺婷,2024/02/21,13:03:42,我詢問一下司機喔~稍等一下
User,三民/東石自助餐(2GY5HEVNA),2024/02/26,07:48:05,照片已傳送
Account,自動回應訊息,2024/02/26,07:48:05,貼圖已傳送
Account,自動回應訊息,2024/02/26,07:48:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/東石自助餐(2GY5HEVNA),2024/02/29,08:12:56,照片已傳送
Account,自動回應訊息,2024/02/29,08:12:57,貼圖已傳送
Account,自動回應訊息,2024/02/29,08:12:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/東石自助餐(2GY5HEVNA),2024/03/08,05:18:57,照片已傳送
Account,自動回應訊息,2024/03/08,05:18:58,貼圖已傳送
Account,自動回應訊息,2024/03/08,05:18:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/03/08,08:37:15,"老闆 早安
不好意思,散裝青花目前缺貨,今天請司機先幫您送小包裝得過去給您參考"
