帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,左營/115港式燒(115EGGX00),2024/01/01,16:47:05, 幫我送 5箱鯖魚
Account,林鈺婷,2024/01/02,08:42:04,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/01/04,18:23:14, 幫我送 1箱鯖魚
Account,自動回應訊息,2024/01/04,18:23:15,貼圖已傳送
Account,自動回應訊息,2024/01/04,18:23:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/07,17:36:31, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/01/07,17:36:31,貼圖已傳送
Account,自動回應訊息,2024/01/07,17:36:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/09,20:59:05, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/01/09,20:59:05,貼圖已傳送
Account,自動回應訊息,2024/01/09,20:59:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/11,18:08:18, 幫我送 3箱鯖魚
Account,俐均,2024/01/12,08:32:58,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/01/14,17:39:59, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/01/14,17:40:00,貼圖已傳送
Account,自動回應訊息,2024/01/14,17:40:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/16,17:19:44, 幫我送 1箱鯖魚
Account,林鈺婷,2024/01/16,17:20:30,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/01/18,22:29:16, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/01/18,22:29:16,貼圖已傳送
Account,自動回應訊息,2024/01/18,22:29:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/21,20:49:10, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/01/21,20:49:10,貼圖已傳送
Account,自動回應訊息,2024/01/21,20:49:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/23,14:58:16, 幫我送 2箱鯖魚
Account,林鈺婷,2024/01/23,15:01:29,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/01/25,20:56:19, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/01/25,20:56:20,貼圖已傳送
Account,自動回應訊息,2024/01/25,20:56:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/28,18:57:04, 幫我送 1箱鯖魚
Account,自動回應訊息,2024/01/28,18:57:04,貼圖已傳送
Account,自動回應訊息,2024/01/28,18:57:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/01/30,17:57:44, 幫我送 2箱鯖魚
Account,林鈺婷,2024/01/30,17:59:52,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/02/01,16:45:26, 幫我送 2箱鯖魚
Account,俐均,2024/02/01,16:45:56,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/02/04,17:02:55, 幫我送 2箱鯖魚
Account,自動回應訊息,2024/02/04,17:02:55,貼圖已傳送
Account,自動回應訊息,2024/02/04,17:02:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/02/04,17:03:22,一箱玉米粒
Account,自動回應訊息,2024/02/04,17:03:23,貼圖已傳送
Account,自動回應訊息,2024/02/04,17:03:23,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,左營/115港式燒(115EGGX00),2024/02/06,17:57:00, 幫我送 3箱鯖魚
Account,林鈺婷,2024/02/06,17:59:24,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/02/13,17:28:04, 幫我送 2箱鯖魚
Account,俐均,2024/02/14,08:38:09,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/02/15,17:29:26, 幫我送 1箱鯖魚
Account,俐均,2024/02/15,17:45:15,貼圖已傳送
User,左營/115港式燒(115EGGX00),2024/02/18,17:26:37, 幫我送 1箱鯖魚
Account,自動回應訊息,2024/02/18,17:26:38,貼圖已傳送
