帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:13
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,潮州/泰泰你好料理(WWSC00000),2024/01/02,21:37:05,"青花菜（凍）。1箱
小卷切圈。    1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/01/02,21:37:05,貼圖已傳送
Account,自動回應訊息,2024/01/02,21:37:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/01/10,21:35:42,"青花菜（凍）。1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/01/10,21:35:43,貼圖已傳送
Account,自動回應訊息,2024/01/10,21:35:43,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/01/16,11:33:17,"青花菜（凍）。1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,林鈺婷,2024/01/16,11:33:35,明天幫您送過去喔
User,潮州/泰泰你好料理(WWSC00000),2024/01/16,11:36:49,請問有鮭魚碎肉嗎
Account,林鈺婷,2024/01/16,11:37:53,您好有喔~
Account,林鈺婷,2024/01/16,11:38:12,照片已傳送
User,潮州/泰泰你好料理(WWSC00000),2024/01/16,11:38:13,我要一包 謝謝😊
Account,林鈺婷,2024/01/16,11:38:28,我們一包是200克 56元/包
User,潮州/泰泰你好料理(WWSC00000),2024/01/16,11:38:42,好喔 我用看看
Account,林鈺婷,2024/01/16,11:38:56,那明天幫您一起送過去，謝謝
User,潮州/泰泰你好料理(WWSC00000),2024/01/16,11:39:45,👍
User,潮州/泰泰你好料理(WWSC00000),2024/01/17,20:55:24,請問鮭魚碎肉一箱是多少錢
Account,自動回應訊息,2024/01/17,20:55:25,貼圖已傳送
Account,自動回應訊息,2024/01/17,20:55:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/17,23:00:16,老闆好，鮭魚碎肉一箱50包，2800元
User,潮州/泰泰你好料理(WWSC00000),2024/01/17,23:16:45,了解
Account,自動回應訊息,2024/01/17,23:16:45,貼圖已傳送
Account,自動回應訊息,2024/01/17,23:16:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/01/23,21:15:24,"青花菜（凍）。1箱
鮭魚碎肉。    10包

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/01/23,21:15:24,貼圖已傳送
Account,自動回應訊息,2024/01/23,21:15:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/02/01,20:54:04,"小卷切圈。    1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/02/01,20:54:05,貼圖已傳送
Account,自動回應訊息,2024/02/01,20:54:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/02/01,20:54:35,請問有1kg 冰烤地瓜嗎 有的話要1包
Account,自動回應訊息,2024/02/01,20:54:36,貼圖已傳送
Account,自動回應訊息,2024/02/01,20:54:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/01,23:24:40,地瓜有一公斤的，明天送去
User,潮州/泰泰你好料理(WWSC00000),2024/02/02,00:31:11,謝謝
Account,自動回應訊息,2024/02/02,00:31:12,貼圖已傳送
Account,自動回應訊息,2024/02/02,00:31:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/02/04,23:47:34,"青花菜（凍）。1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/02/04,23:47:34,貼圖已傳送
Account,自動回應訊息,2024/02/04,23:47:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/02/13,15:07:39,"青花菜（凍）。1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,俐均,2024/02/14,08:32:37,貼圖已傳送
User,潮州/泰泰你好料理(WWSC00000),2024/02/22,20:43:16,"青花菜（凍）。1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/02/22,20:43:17,貼圖已傳送
Account,自動回應訊息,2024/02/22,20:43:17,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/02/28,21:27:48,"青花菜（凍）。1箱
小卷切圈。   1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/02/28,21:27:48,貼圖已傳送
Account,自動回應訊息,2024/02/28,21:27:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/03/01,15:04:14,老闆不好意思~昨天送過去沒送到贈送的4包小卷圈，下次出貨，補過去給您
Account,林鈺婷,2024/03/01,15:04:23,貼圖已傳送
User,潮州/泰泰你好料理(WWSC00000),2024/03/01,15:34:09,好喔謝謝
User,潮州/泰泰你好料理(WWSC00000),2024/03/07,20:46:45,"青花菜（凍）。1箱
鮭魚碎肉。   10包

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/03/07,20:46:45,貼圖已傳送
Account,自動回應訊息,2024/03/07,20:46:45,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,潮州/泰泰你好料理(WWSC00000),2024/03/14,21:05:32,"青花菜（凍）。1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/03/14,21:05:33,貼圖已傳送
Account,自動回應訊息,2024/03/14,21:05:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/15,00:12:11,老闆好，青花菜要明天中午才會到貨，下午再送過去。
User,潮州/泰泰你好料理(WWSC00000),2024/03/15,00:12:21,好的沒問題
Account,王振華,2024/03/15,00:12:30,謝謝您
User,潮州/泰泰你好料理(WWSC00000),2024/03/21,21:03:14,"小卷切圈。   1箱

店名：泰泰你好
收件人：鄭士洋
統一編號：85714979
地址：屏東縣潮州鎮同榮里建基路109號
電話：0983781886"
Account,自動回應訊息,2024/03/21,21:03:14,貼圖已傳送
Account,自動回應訊息,2024/03/21,21:03:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
