帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鼓山/華榮美食(CBAGY5H00),2024/01/02,22:06:57,"鯖魚2、干貝酥2盒
青白花各2、毛豆1"
Account,自動回應訊息,2024/01/02,22:06:57,貼圖已傳送
Account,自動回應訊息,2024/01/02,22:06:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/華榮美食(CBAGY5H00),2024/01/04,22:54:17,"鯖魚1、玉米1
青白花各3"
Account,自動回應訊息,2024/01/04,22:54:18,貼圖已傳送
Account,自動回應訊息,2024/01/04,22:54:18,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/華榮美食(CBAGY5H00),2024/01/07,22:09:46,"鯖魚1、青白花各2
毛豆1"
Account,自動回應訊息,2024/01/07,22:09:47,貼圖已傳送
Account,自動回應訊息,2024/01/07,22:09:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/華榮美食(CBAGY5H00),2024/01/09,22:07:56,"蒲燒腹排、鯖魚1
青花3、白花1
乾貝酥2盒"
Account,自動回應訊息,2024/01/09,22:07:56,貼圖已傳送
Account,自動回應訊息,2024/01/09,22:07:56,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鼓山/華榮美食(CBAGY5H00),2024/01/09,22:08:06,玉米1
Account,自動回應訊息,2024/01/09,22:08:06,貼圖已傳送
Account,自動回應訊息,2024/01/09,22:08:06,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/09,23:18:15,老闆娘好，請問腹排要75p的還是90p的
User,鼓山/華榮美食(CBAGY5H00),2024/01/09,23:18:53,75片的
Account,王振華,2024/01/09,23:26:42,貼圖已傳送
Account,林鈺婷,2024/01/10,09:59:08,老闆娘不好意思～白花菜小包裝目前缺貨中，先幫您送散裝的過去
User,鼓山/華榮美食(CBAGY5H00),2024/01/11,22:39:09,"鯖魚1、毛豆1
青白花各2"
Account,自動回應訊息,2024/01/11,22:39:10,貼圖已傳送
Account,自動回應訊息,2024/01/11,22:39:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/12,08:37:59,老闆娘不好意思～白花菜小包裝目前缺貨中，先幫您送散裝的過去
User,鼓山/華榮美食(CBAGY5H00),2024/01/14,22:14:46,"鯖魚1、玉米1
青白花各1"
Account,自動回應訊息,2024/01/14,22:14:47,貼圖已傳送
Account,自動回應訊息,2024/01/14,22:14:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
