帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,九如/錦江港式燒臘(RREGGX000),2024/01/11,18:37:24,肉魚一
Account,自動回應訊息,2024/01/11,18:37:24,貼圖已傳送
Account,自動回應訊息,2024/01/11,18:37:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/11,23:26:39,老闆娘不好意思，肉魚目前缺貨中
Account,王振華,2024/01/11,23:28:32,可以考慮用白口魚或赤宗或金線魚
User,九如/錦江港式燒臘(RREGGX000),2024/01/28,17:07:35,白花、 青花各一
Account,自動回應訊息,2024/01/28,17:07:36,貼圖已傳送
Account,自動回應訊息,2024/01/28,17:07:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/錦江港式燒臘(RREGGX000),2024/03/10,16:24:50,白花二箱、 魚肚一包
Account,自動回應訊息,2024/03/10,16:24:51,貼圖已傳送
Account,自動回應訊息,2024/03/10,16:24:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,九如/錦江港式燒臘(RREGGX000),2024/03/15,14:30:27,吳郭魚、 雪魚各一
Account,俐均,2024/03/15,14:37:30,"老闆娘您好
吳郭魚下星期會到貨"
Account,俐均,2024/03/15,14:38:47,下星期四幫您送好嗎?
Account,俐均,2024/03/15,14:39:09,我們只有真空包裝的鱈魚
User,九如/錦江港式燒臘(RREGGX000),2024/03/20,14:24:16,吳郭魚和雪魚各一
Account,林鈺婷,2024/03/20,14:26:06,老闆娘不好意思~我們目前沒有營業用的鱈魚，只有真空包裝價格比較高的，請問可以嗎?
User,九如/錦江港式燒臘(RREGGX000),2024/03/20,15:57:30,不用
Account,俐均,2024/03/20,15:59:46,貼圖已傳送
User,九如/錦江港式燒臘(RREGGX000),2024/03/27,14:00:59,有雪魚？
Account,林鈺婷,2024/03/27,14:18:58,目前只有單片真空  280/320的一片160元
User,九如/錦江港式燒臘(RREGGX000),2024/04/07,16:42:32,"白花二箱, 青花一"
Account,自動回應訊息,2024/04/07,16:42:32,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,九如/錦江港式燒臘(RREGGX000),2024/04/17,18:45:24,"白花二箱，青花一
菜豆一"
Account,自動回應訊息,2024/04/17,18:45:24,貼圖已傳送
Account,自動回應訊息,2024/04/17,18:45:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/04/20,23:19:45,吳郭魚、 雪魚各一
Account,自動回應訊息,2024/04/20,23:19:46,貼圖已傳送
Account,自動回應訊息,2024/04/20,23:19:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/22,08:45:47,"老闆娘您好
請問鱈魚需要幾片呢?"
User,九如/錦江港式燒臘(RREGGX000),2024/05/22,18:51:15,白花一箱
Account,自動回應訊息,2024/05/22,18:51:16,貼圖已傳送
Account,自動回應訊息,2024/05/22,18:51:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/06/20,07:09:20,白花一箱
Account,自動回應訊息,2024/06/20,07:09:20,貼圖已傳送
Account,自動回應訊息,2024/06/20,07:09:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/07/01,06:58:07,青花、白花各一
Account,自動回應訊息,2024/07/01,06:58:07,貼圖已傳送
Account,自動回應訊息,2024/07/01,06:58:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/07/28,16:01:11,青花二箱白花一
Account,自動回應訊息,2024/07/28,16:01:11,貼圖已傳送
Account,自動回應訊息,2024/07/28,16:01:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/08/06,00:20:53,吳郭魚一
Account,自動回應訊息,2024/08/06,00:20:53,貼圖已傳送
Account,自動回應訊息,2024/08/06,00:20:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/08/06,00:21:07,菜豆一箱
Account,自動回應訊息,2024/08/06,00:21:08,貼圖已傳送
Account,自動回應訊息,2024/08/06,00:21:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/08/06,08:36:02,老闆娘您好~星期四幫您送過去喔
User,九如/錦江港式燒臘(RREGGX000),2024/08/21,16:42:11,白花一
User,九如/錦江港式燒臘(RREGGX000),2024/08/21,16:42:53,吳郭魚一
Account,俐均,2024/08/21,16:44:48,貼圖已傳送
User,九如/錦江港式燒臘(RREGGX000),2024/08/22,01:50:17, 白花加一
Account,自動回應訊息,2024/08/22,01:50:18,貼圖已傳送
Account,自動回應訊息,2024/08/22,01:50:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/08/25,07:38:36,照片已傳送
Account,自動回應訊息,2024/08/25,07:38:36,貼圖已傳送
Account,自動回應訊息,2024/08/25,07:38:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/09/04,14:02:50,雪魚，菜豆各一
Account,俐均,2024/09/04,14:24:22,貼圖已傳送
User,九如/錦江港式燒臘(RREGGX000),2024/09/13,23:21:35,肉魚一
Account,自動回應訊息,2024/09/13,23:21:36,貼圖已傳送
Account,自動回應訊息,2024/09/13,23:21:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/09/14,21:19:09,肉魚一、 青花一
Account,自動回應訊息,2024/09/14,21:19:09,貼圖已傳送
Account,自動回應訊息,2024/09/14,21:19:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/09/18,19:35:45,吳郭魚一
Account,自動回應訊息,2024/09/18,19:35:45,貼圖已傳送
Account,自動回應訊息,2024/09/18,19:35:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/09/25,22:49:43,白花一、 菜豆一
Account,自動回應訊息,2024/09/25,22:49:43,貼圖已傳送
Account,自動回應訊息,2024/09/25,22:49:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/09/30,04:15:05,"青花, 白花各一"
Account,自動回應訊息,2024/09/30,04:15:06,貼圖已傳送
Account,自動回應訊息,2024/09/30,04:15:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/10/02,18:47:41,白花二箱、 青花一
Account,自動回應訊息,2024/10/02,18:47:42,貼圖已傳送
Account,自動回應訊息,2024/10/02,18:47:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/10/02,22:31:57,老闆娘好，會安排時間送過去，謝謝您
User,九如/錦江港式燒臘(RREGGX000),2024/10/02,23:42:47,貼圖已傳送
Account,自動回應訊息,2024/10/02,23:42:48,貼圖已傳送
Account,自動回應訊息,2024/10/02,23:42:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/10/06,16:14:42,鳥郭魚一
Account,自動回應訊息,2024/10/06,16:14:43,貼圖已傳送
Account,自動回應訊息,2024/10/06,16:14:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,九如/錦江港式燒臘(RREGGX000),2024/10/13,18:19:24, 鳥郭魚一，青花一
Account,自動回應訊息,2024/10/13,18:19:24,貼圖已傳送
Account,自動回應訊息,2024/10/13,18:19:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/10/14,09:17:38,"老闆娘您好
小包裝青花目前缺貨幫您送裸裝的好嗎?"
Account,林鈺婷,2024/10/14,09:49:32,老闆娘不好意思~早上打電話沒人接，吳郭魚目前這個規格缺貨，請司機帶小一個和大一個規格的過去給參考方便嗎?
User,九如/錦江港式燒臘(RREGGX000),2024/10/14,13:46:27,沒用過，帶過來看看
Account,林鈺婷,2024/10/14,14:47:41,貼圖已傳送
User,九如/錦江港式燒臘(RREGGX000),2024/10/23,23:56:52,菜豆一箱
Account,自動回應訊息,2024/10/23,23:56:52,貼圖已傳送
