帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/吳爸便當(J11200000),2024/01/03,14:21:29,"老闆，明天幫我送
2件青花菜，一件白花菜
一件A級鹹魚"
User,鳳山/吳爸便當(J11200000),2024/01/03,14:21:30,貼圖已傳送
Account,林鈺婷,2024/01/03,14:21:36,貼圖已傳送
User,鳳山/吳爸便當(J11200000),2024/01/07,14:16:27,"老闆，明天幫我送
3件白花菜"
Account,自動回應訊息,2024/01/07,14:16:28,貼圖已傳送
Account,自動回應訊息,2024/01/07,14:16:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/07,14:16:29,貼圖已傳送
Account,自動回應訊息,2024/01/07,14:16:30,貼圖已傳送
Account,自動回應訊息,2024/01/07,14:16:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/12,06:06:26,"老闆，幫我送
2件A級鹹魚"
Account,自動回應訊息,2024/01/12,06:06:27,貼圖已傳送
Account,自動回應訊息,2024/01/12,06:06:27,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/12,06:06:28,貼圖已傳送
Account,自動回應訊息,2024/01/12,06:06:29,貼圖已傳送
Account,自動回應訊息,2024/01/12,06:06:29,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/14,15:07:09,"老闆，明天幫我送
3件白花菜"
Account,自動回應訊息,2024/01/14,15:07:10,貼圖已傳送
Account,自動回應訊息,2024/01/14,15:07:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/14,15:07:11,貼圖已傳送
Account,自動回應訊息,2024/01/14,15:07:12,貼圖已傳送
Account,自動回應訊息,2024/01/14,15:07:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/18,22:58:10,"老闆，明天幫我送
2件青花菜，一件白花菜"
Account,自動回應訊息,2024/01/18,22:58:10,貼圖已傳送
Account,自動回應訊息,2024/01/18,22:58:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/18,22:58:12,貼圖已傳送
Account,自動回應訊息,2024/01/18,22:58:12,貼圖已傳送
Account,自動回應訊息,2024/01/18,22:58:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/23,07:24:24,"老闆，今天幫我送
一件A級鹹魚
3件冷凍白花菜"
Account,自動回應訊息,2024/01/23,07:24:24,貼圖已傳送
Account,自動回應訊息,2024/01/23,07:24:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/吳爸便當(J11200000),2024/01/23,07:24:25,貼圖已傳送
Account,自動回應訊息,2024/01/23,07:24:26,貼圖已傳送
