帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/11,14:11:55,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/11,14:11:55,"玉香歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/11,14:13:11,林園阿香鮮魚湯
Account,☆羅惠君☆,2025/06/11,14:18:29,老闆您好
Account,☆羅惠君☆,2025/06/11,14:47:16,"https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA 
老闆娘~這是我們的DM歡迎參考看看，感謝您。
"
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/11,16:19:29,"您好
我在林園區以後我買這個魚"
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/11,16:19:41,照片已傳送
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/11,16:20:13,嘛煩您了謝謝
Account,☆羅惠君☆,2025/06/11,16:21:52,"老闆娘好   
這箱是  鯖魚有骨140/170-6K  感謝您 "
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/11,16:22:42,是的謝謝您
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/17,10:13:34,"你好
明天我要一相鹹魚
謝謝您"
Account,☆羅惠君☆,2025/06/17,10:23:24,貼圖已傳送
User,林園/阿香鮮魚湯(8VVMW0000),2025/06/24,11:27:44,"你好
明天我要一相鹹魚
謝謝您"
Account,☆羅惠君☆,2025/06/24,11:28:40,貼圖已傳送
User,林園/阿香鮮魚湯(8VVMW0000),2025/07/01,14:59:13,明天不用謝謝您
Account,林鈺婷,2025/07/01,15:02:35,貼圖已傳送
User,林園/阿香鮮魚湯(8VVMW0000),2025/07/08,16:25:08,"你好
明天我要一相鹹魚
謝謝您"
Account,俐均,2025/07/08,16:26:34,貼圖已傳送
