帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,小慧,2024/01/02,08:29:10,"1/3（三）五甲
半香雞60片的2箱"
Account,俐均,2024/01/02,11:44:22,貼圖已傳送
User,小慧,2024/01/03,18:36:58,"1/4（四）五甲
鯖魚2箱"
Account,自動回應訊息,2024/01/03,18:36:58,貼圖已傳送
Account,自動回應訊息,2024/01/03,18:36:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/01/03,19:29:35,1/5（五）林森鯖魚2箱
Account,自動回應訊息,2024/01/03,19:29:35,貼圖已傳送
Account,自動回應訊息,2024/01/03,19:29:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/01/05,14:15:18,照片已傳送
User,小慧,2024/01/05,14:16:11,星期一，五甲請款
User,小慧,2024/01/09,20:17:22,"1/10（三）林森
鯖魚2箱"
Account,自動回應訊息,2024/01/09,20:17:23,貼圖已傳送
Account,自動回應訊息,2024/01/09,20:17:23,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/01/09,20:17:55,"1/10（三）五甲
鯖魚2箱"
Account,自動回應訊息,2024/01/09,20:17:55,貼圖已傳送
Account,自動回應訊息,2024/01/09,20:17:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/01/11,13:43:35,"1/12（五）五甲
鯖魚5箱
里肌肉片60片的2箱"
User,小慧,2024/01/11,13:43:39,謝謝
Account,俐均,2024/01/11,13:59:13,貼圖已傳送
User,小慧,2024/01/11,14:15:48,不好意思，五甲鯖魚再加1箱
Account,林鈺婷,2024/01/11,14:15:58,貼圖已傳送
User,小慧,2024/01/11,14:17:17,謝謝
User,小慧,2024/01/11,14:17:45,"1/12（五）林森
鯖魚2箱"
Account,林鈺婷,2024/01/11,14:23:42,貼圖已傳送
Account,俐均,2024/01/12,14:14:09,照片已傳送
User,小慧,2024/01/12,16:30:47,星期一，五甲請款
Account,俐均,2024/01/12,16:31:21,貼圖已傳送
User,小慧,2024/01/16,19:58:12,"1/17（三）五甲
鯖魚2箱
里肌肉片60片的2箱"
Account,自動回應訊息,2024/01/16,19:58:13,貼圖已傳送
Account,自動回應訊息,2024/01/16,19:58:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/01/18,13:24:46,"1/19（五）五甲
鯖魚2箱"
Account,林鈺婷,2024/01/18,14:03:01,貼圖已傳送
Account,林鈺婷,2024/01/19,16:51:02,照片已傳送
User,小慧,2024/01/19,21:27:42,星期一，五甲請款
Account,自動回應訊息,2024/01/19,21:27:42,貼圖已傳送
Account,自動回應訊息,2024/01/19,21:27:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/01/22,16:44:46,"1/23（二）五甲
鯖魚2箱"
User,小慧,2024/01/22,16:45:05,"1/24（三）林森
鯖魚2箱"
Account,林鈺婷,2024/01/22,16:47:37,貼圖已傳送
User,小慧,2024/01/26,12:11:28,"1/29（一）林森
鯖魚2箱"
User,小慧,2024/01/26,12:11:33,謝謝
Account,林鈺婷,2024/01/26,12:17:56,貼圖已傳送
Account,林鈺婷,2024/01/26,16:01:02,照片已傳送
Account,林鈺婷,2024/01/26,16:01:03,照片已傳送
User,小慧,2024/01/26,16:23:25,星期一，林森請款
Account,林鈺婷,2024/01/26,17:57:33,貼圖已傳送
User,小慧,2024/01/29,18:30:24,"1/31（三）五甲
鯖魚2箱
里肌肉片60片的2箱"
Account,自動回應訊息,2024/01/29,18:30:25,貼圖已傳送
Account,自動回應訊息,2024/01/29,18:30:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/02/02,11:24:58,"2/5（一）林森
鯖魚2箱"
User,小慧,2024/02/02,11:25:15,"2/5（一）五甲
鯖魚2箱"
User,小慧,2024/02/02,11:25:22,謝謝
Account,林鈺婷,2024/02/02,11:28:03,貼圖已傳送
Account,俐均,2024/02/02,17:19:39,照片已傳送
User,小慧,2024/02/02,18:29:53,星期一，五甲請款
Account,自動回應訊息,2024/02/02,18:29:54,貼圖已傳送
Account,自動回應訊息,2024/02/02,18:29:54,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/02/05,13:23:12,"2/7（三）五甲
里肌肉片60片的2箱"
Account,俐均,2024/02/05,14:03:09,貼圖已傳送
Account,林鈺婷,2024/02/05,15:32:25,老闆娘您好~司機到五甲店了，請問有人可以收貨嗎?
User,小慧,2024/02/05,15:33:08,我問一下
Account,林鈺婷,2024/02/05,15:33:17,貼圖已傳送
User,小慧,2024/02/05,15:33:50,幫你開門了
User,小慧,2024/02/05,15:33:59,貨款一起給司機嗎
Account,林鈺婷,2024/02/05,15:34:25,對~麻煩了，謝謝
User,小慧,2024/02/05,15:34:31,好的
Account,林鈺婷,2024/02/07,16:21:31,照片已傳送
Account,林鈺婷,2024/02/07,16:21:32,照片已傳送
User,小慧,2024/02/07,17:58:48,下個星期四，五甲請款
Account,林鈺婷,2024/02/07,17:58:56,貼圖已傳送
User,小慧,2024/02/15,11:56:30,"2/16（五）五甲
鯖魚2箱"
Account,林鈺婷,2024/02/15,11:59:36,貼圖已傳送
Account,俐均,2024/02/16,14:20:25,照片已傳送
User,小慧,2024/02/16,14:34:32,星期一，五甲請款
Account,俐均,2024/02/16,14:35:13,貼圖已傳送
User,小慧,2024/02/17,18:31:12,"2/19（一）林森
鯖魚2箱"
Account,自動回應訊息,2024/02/17,18:31:13,貼圖已傳送
Account,自動回應訊息,2024/02/17,18:31:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/02/19,10:10:38,"2/21（三）五甲
鯖魚2箱
半香雞60片2箱"
User,小慧,2024/02/19,10:10:42,謝謝
Account,林鈺婷,2024/02/19,10:48:55,貼圖已傳送
User,小慧,2024/02/21,19:14:20,"2/22（四）五甲
鯖魚2箱"
Account,自動回應訊息,2024/02/21,19:14:20,貼圖已傳送
Account,自動回應訊息,2024/02/21,19:14:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/02/22,13:00:00,"2/23（五）林森
鯖魚2箱"
Account,俐均,2024/02/22,13:00:39,貼圖已傳送
Account,林鈺婷,2024/02/23,09:00:14,照片已傳送
Account,俐均,2024/02/23,14:14:43,照片已傳送
User,小慧,2024/02/23,16:04:40,星期一，五甲請款
Account,俐均,2024/02/23,16:08:46,貼圖已傳送
Account,俐均,2024/02/23,16:08:48,貼圖已傳送
Account,俐均,2024/02/23,17:30:30,貼圖已傳送
User,小慧,2024/02/23,19:30:14,此內容已收回
Account,自動回應訊息,2024/02/23,19:30:15,貼圖已傳送
Account,自動回應訊息,2024/02/23,19:30:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/02/23,19:30:20,此內容已收回
Account,自動回應訊息,2024/02/23,19:30:20,貼圖已傳送
Account,自動回應訊息,2024/02/23,19:30:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/02/26,10:04:22,"2/27（二）五甲
里肌肉片60片的2箱"
Account,俐均,2024/02/26,10:08:06,收到
User,小慧,2024/02/27,12:43:39,"2/29（四）五甲
鯖魚2箱"
User,小慧,2024/02/27,12:44:02,"3/1（五）林森
鯖魚2箱"
Account,俐均,2024/02/27,14:12:08,貼圖已傳送
Account,林鈺婷,2024/03/01,16:20:27,照片已傳送
Account,林鈺婷,2024/03/01,16:20:28,照片已傳送
User,小慧,2024/03/01,19:36:08,星期一，五甲請款
Account,自動回應訊息,2024/03/01,19:36:09,貼圖已傳送
Account,自動回應訊息,2024/03/01,19:36:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/03/01,19:36:42,"3/4（一）五甲
鯖魚2箱"
Account,自動回應訊息,2024/03/01,19:36:43,貼圖已傳送
Account,自動回應訊息,2024/03/01,19:36:43,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/03/04,14:35:03,"3/5（二）五甲
里肌肉片60片的2箱"
Account,俐均,2024/03/04,14:35:41,貼圖已傳送
User,小慧,2024/03/07,09:58:16,"3/8（五）林森
鯖魚2箱"
User,小慧,2024/03/07,09:58:30,"3/8（五）五甲
鯖魚2箱"
Account,俐均,2024/03/07,10:15:42,收到
Account,俐均,2024/03/08,15:16:04,照片已傳送
User,小慧,2024/03/08,17:53:38,星期一，五甲請款
Account,俐均,2024/03/11,08:31:36,貼圖已傳送
User,小慧,2024/03/11,19:26:11,"3/12（二）五甲
鯖魚2箱"
Account,自動回應訊息,2024/03/11,19:26:12,貼圖已傳送
Account,自動回應訊息,2024/03/11,19:26:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/03/11,19:49:43,"3/13（三）五甲
半香雞60片的2箱"
Account,自動回應訊息,2024/03/11,19:49:44,貼圖已傳送
Account,自動回應訊息,2024/03/11,19:49:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/03/12,20:32:23,"3/13（三）林森
鯖魚2箱"
Account,自動回應訊息,2024/03/12,20:32:24,貼圖已傳送
Account,自動回應訊息,2024/03/12,20:32:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小慧,2024/03/14,12:18:14,"3/15（五）五甲
鯖魚2箱"
Account,俐均,2024/03/14,12:19:33,貼圖已傳送
Account,俐均,2024/03/15,14:50:53,照片已傳送
User,小慧,2024/03/15,19:50:33,星期一，五甲請款
Account,自動回應訊息,2024/03/15,19:50:33,貼圖已傳送
Account,自動回應訊息,2024/03/15,19:50:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,小慧,2024/03/18,15:01:25,"3/19（二）五甲
鯖魚5箱"
User,小慧,2024/03/18,15:02:00,"3/20（三）五甲
里肌肉片60片的2箱"
User,小慧,2024/03/18,15:02:03,謝謝
Account,俐均,2024/03/18,15:03:22,貼圖已傳送
User,小慧,2024/03/19,10:39:23,"3/20（三）林森
鯖魚2箱"
Account,林鈺婷,2024/03/19,10:42:03,貼圖已傳送
User,小慧,2024/03/21,22:14:17,"3/22（五）五甲
鯖魚2箱"
Account,自動回應訊息,2024/03/21,22:14:18,貼圖已傳送
Account,自動回應訊息,2024/03/21,22:14:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,林鈺婷,2024/03/22,14:05:16,照片已傳送
Account,俐均,2024/03/22,14:51:36,照片已傳送
User,小慧,2024/03/22,15:37:43,星期一，五甲請款
Account,俐均,2024/03/22,15:38:57,貼圖已傳送
User,小慧,2024/03/25,15:39:53,此內容已收回
User,小慧,2024/03/25,15:40:16,"3/27（三）林森
鯖魚2箱"
User,小慧,2024/03/25,15:40:23,"3/26（二）五甲
鯖魚2箱"
Account,俐均,2024/03/25,15:42:19,貼圖已傳送
User,小慧,2024/03/27,12:50:51,"3/28（四）五甲
半香雞60片的1箱
鯖魚2箱"
User,小慧,2024/03/27,12:50:54,謝謝
Account,俐均,2024/03/27,12:57:47,貼圖已傳送
Account,林鈺婷,2024/03/29,16:01:41,照片已傳送
Account,林鈺婷,2024/03/29,16:01:42,照片已傳送
Account,林鈺婷,2024/03/29,16:02:03,照片已傳送
User,小慧,2024/03/29,17:29:12,星期一，五甲請款
Account,林鈺婷,2024/03/29,17:31:11,貼圖已傳送
User,小慧,2024/04/01,14:29:55,"4/2（二）五甲
鯖魚2箱"
User,小慧,2024/04/01,14:29:58,謝謝
Account,俐均,2024/04/01,14:31:42,貼圖已傳送
User,小慧,2024/04/02,13:42:31,"4/3（三）林森
鯖魚2箱"
User,小慧,2024/04/02,13:42:37,謝謝
Account,俐均,2024/04/02,14:54:13,貼圖已傳送
Account,林鈺婷,2024/04/03,15:37:53,照片已傳送
Account,林鈺婷,2024/04/03,15:37:54,照片已傳送
User,小慧,2024/04/03,15:41:29,星期一，五甲請款
