帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/02/15,11:34:56,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/02/15,11:34:56,"蘇美珍歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/上田自助餐(GWAG12000),2024/02/15,11:35:30,上田自助餐
Account,林鈺婷,2024/02/15,11:40:24,老闆娘您好~
User,三民/上田自助餐(GWAG12000),2024/03/03,17:42:17,醎魚片3箱鱸魚1箱
Account,自動回應訊息,2024/03/03,17:42:18,貼圖已傳送
Account,自動回應訊息,2024/03/03,17:42:18,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/上田自助餐(GWAG12000),2024/03/10,17:03:47,星期二送3箱醎魚片
Account,自動回應訊息,2024/03/10,17:03:48,貼圖已傳送
Account,自動回應訊息,2024/03/10,17:03:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/03/11,08:39:20,老闆娘早~今天先幫您送過去方便嗎?
User,三民/上田自助餐(GWAG12000),2024/03/11,11:51:24,今天休息哦
Account,俐均,2024/03/11,11:52:28,"好的
明天幫您送"
User,三民/上田自助餐(GWAG12000),2024/03/11,11:53:31,好的
Account,俐均,2024/03/11,11:55:46,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/03/12,08:25:54,照片已傳送
User,三民/上田自助餐(GWAG12000),2024/03/12,16:46:40,先不用
Account,林鈺婷,2024/03/12,16:47:10,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/03/19,17:01:40,已跟外務叫貨
Account,俐均,2024/03/19,17:01:46,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/03/24,18:03:41,先不用
Account,自動回應訊息,2024/03/24,18:03:42,貼圖已傳送
Account,自動回應訊息,2024/03/24,18:03:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,三民/上田自助餐(GWAG12000),2024/03/26,16:59:08,鹹魚3箱
User,三民/上田自助餐(GWAG12000),2024/03/26,17:02:21,鹹魚2箱吳郭魚1箱
Account,林鈺婷,2024/03/26,17:34:44,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/03/29,10:26:21,今天方便送醎魚片3箱嗎
Account,俐均,2024/03/29,10:50:17,"老闆娘您好
司機已出門
星期一幫您送好嗎?"
User,三民/上田自助餐(GWAG12000),2024/03/29,14:07:38,星期一可以早點來嗎謝謝
Account,林鈺婷,2024/03/29,15:15:30,請司機盡量幫您趕喔
User,三民/上田自助餐(GWAG12000),2024/03/29,17:04:22,麻煩你們喔
Account,林鈺婷,2024/03/29,17:16:26,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/04/03,13:19:06,請問上田的醎魚片來了嗎
Account,俐均,2024/04/03,14:13:21,司機送到
Account,俐均,2024/04/03,14:13:25,謝謝
User,三民/上田自助餐(GWAG12000),2024/04/08,10:09:07,醎魚片2箱吳郭明天送
Account,林鈺婷,2024/04/08,10:54:08,貼圖已傳送
Account,俐均,2024/04/08,11:45:08,"老闆娘您好
請問吳郭魚是送一件嗎?"
User,三民/上田自助餐(GWAG12000),2024/04/08,19:06:45,1箱
Account,自動回應訊息,2024/04/08,19:06:45,貼圖已傳送
Account,自動回應訊息,2024/04/08,19:06:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/上田自助餐(GWAG12000),2024/04/12,01:31:30,醎魚片2箱
Account,自動回應訊息,2024/04/12,01:31:31,貼圖已傳送
Account,自動回應訊息,2024/04/12,01:31:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/上田自助餐(GWAG12000),2024/04/15,08:29:36,鹹魚5箱
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/04/15,08:33:31,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/04/23,17:00:44,吳郭魚1箱醎魚片2箱
Account,林鈺婷,2024/04/23,17:03:08,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/04/30,08:27:58,照片已傳送
User,三民/上田自助餐(GWAG12000),2024/05/01,17:02:48,鹹魚3箱
Account,林鈺婷,2024/05/01,17:05:14,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/05/16,17:14:07,醎魚片3箱
Account,俐均,2024/05/16,17:16:31,貼圖已傳送
Account,俐均,2024/05/16,17:53:55,"老闆娘您好
鯖魚剩27箱
謝謝"
User,三民/上田自助餐(GWAG12000),2024/05/17,08:23:28,好
Account,俐均,2024/05/17,08:30:42,貼圖已傳送
User,三民/上田自助餐(GWAG12000),2024/05/21,17:20:59,吳郭魚1箱醎魚片2箱
Account,林鈺婷,2024/05/21,17:27:48,貼圖已傳送
Account,林鈺婷,2024/05/21,17:46:25,"老闆娘您好
鯖魚寄庫剩2箱
謝謝"
Account,林鈺婷,2024/05/21,17:46:29,"老闆娘您好
鯖魚寄庫剩25箱
謝謝"
User,三民/上田自助餐(GWAG12000),2024/05/28,16:52:30,鹹魚片3箱吳郭魚1箱
Account,林鈺婷,2024/05/28,16:55:17,"老闆娘您好
鯖魚寄庫剩22箱
謝謝"
User,三民/上田自助餐(GWAG12000),2024/05/28,16:55:40,好
User,三民/上田自助餐(GWAG12000),2024/06/04,08:39:44,明天鹹魚片3箱
Account,俐均,2024/06/04,08:47:29,貼圖已傳送
Account,俐均,2024/06/04,11:04:53,"老闆娘您好
鯖魚寄庫剩19箱
謝謝"
User,三民/上田自助餐(GWAG12000),2024/06/06,17:11:27,白帶魚1箱鹹魚2箱
Account,俐均,2024/06/06,17:12:11,貼圖已傳送
Account,俐均,2024/06/06,17:19:37,"老闆娘您好
鯖魚寄庫剩17箱
謝謝"
