帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/一級棒自助餐(UR1Y5H000),2024/01/07,17:53:20,半香雞排60片1
Account,自動回應訊息,2024/01/07,17:53:21,貼圖已傳送
Account,自動回應訊息,2024/01/07,17:53:21,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/一級棒自助餐(UR1Y5H000),2024/01/08,08:59:36,鯖魚1
Account,俐均,2024/01/08,09:03:57,貼圖已傳送
User,內埔/一級棒自助餐(UR1Y5H000),2024/01/14,18:04:33,薄鹽鱸魚下巴100／120，1
Account,自動回應訊息,2024/01/14,18:04:33,貼圖已傳送
Account,自動回應訊息,2024/01/14,18:04:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/14,23:23:48,老闆好，目前還沒鱸魚下巴
User,內埔/一級棒自助餐(UR1Y5H000),2024/01/17,17:53:24,半香雞排60片1
User,內埔/一級棒自助餐(UR1Y5H000),2024/01/17,17:53:24,鯖魚1
Account,俐均,2024/01/17,17:55:58,貼圖已傳送
User,內埔/一級棒自助餐(UR1Y5H000),2024/01/31,17:57:13,鯖魚1
Account,俐均,2024/01/31,17:57:20,貼圖已傳送
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/04,18:17:41,半香雞排60片1
Account,自動回應訊息,2024/02/04,18:17:42,貼圖已傳送
Account,自動回應訊息,2024/02/04,18:17:42,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/04,18:24:04,銀魚1，
Account,自動回應訊息,2024/02/04,18:24:04,貼圖已傳送
Account,自動回應訊息,2024/02/04,18:24:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/05,08:42:47,老闆請問是鯖魚一件嗎?
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/05,11:54:37,不是
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/05,11:54:47,銀魚
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/05,11:55:41,上次星期四你們業務有拿給我看
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/14,15:59:38,鯖魚1
Account,林鈺婷,2024/02/14,16:00:21,貼圖已傳送
User,內埔/一級棒自助餐(UR1Y5H000),2024/02/18,18:24:42,半香雞排60片1
Account,自動回應訊息,2024/02/18,18:24:43,貼圖已傳送
