帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/02,13:12:48,"你好
印度玉米粒1箱
鯖魚四盒
抬頭：四四之一廚坊
統編：92137025"
Account,俐均,2024/01/02,13:44:43,貼圖已傳送
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/08,16:05:32,想詢問蒲燒腹排處理方式
Account,俐均,2024/01/08,16:07:43,"微波加熱法：拆開塑膠袋取出魚片，不用退冰，將魚片放置於盤上，於微波爐加熱約三分鐘即可食用。
烤箱加熱法：拆開塑膠袋取出魚片(須退冰)，放置於烤盤上，於烤箱內溫度約160°C，加熱6分鐘即可食用。
隔水加熱法：不用拆開塑膠袋與退冰，直接放入開水中加熱5分鐘後，即可從袋中取出食用。
"
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/08,16:15:28,可試叫嗎？
Account,林鈺婷,2024/01/08,16:16:35,先拿兩片給您試用方便嗎
Account,俐均,2024/01/08,16:41:34,請問要拿75P還是90P呢?
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/08,16:42:59,好的👌
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/08,16:43:13,90p的
Account,俐均,2024/01/08,16:43:55,貼圖已傳送
Account,林鈺婷,2024/01/08,16:53:29,下次送貨過去一起帶過去給您喔
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/08,16:54:33,好的感謝您～
Account,俐均,2024/01/08,16:54:42,貼圖已傳送
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/10,16:13:30,"您好。
你們有豬肉片嗎"
Account,俐均,2024/01/10,16:13:54,"老闆您好
有的"
Account,俐均,2024/01/10,16:15:09,照片已傳送
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/10,16:19:02,豬肉片是哪個部位的呢？
Account,林鈺婷,2024/01/10,16:19:17,豬後腿肉的喔
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/10,16:20:24,"可以試買一公斤煮看看嗎？
我們是要用燒肉豬蓋飯的的"
Account,林鈺婷,2024/01/10,16:20:44,可以喔~我們剛好一包一公斤
Account,林鈺婷,2024/01/10,16:21:16,下次有送貨順便送過去方便嗎？
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/10,16:24:13,"你好
週五送即可～
印度玉米粒1箱
豬肉片1公斤
蒲燒腹排90p(試用）
抬頭：四四之一廚坊
統編：92137025"
Account,林鈺婷,2024/01/10,16:24:40,貼圖已傳送
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/12,13:52:52,今天貨會來嗎
Account,林鈺婷,2024/01/12,13:56:47,今天有幫您安排送貨喔
User,新興/懂吃美麗島店(2TRDHTAX2),2024/01/12,14:53:37,了解，想說今天比較晚
