帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/04/16,13:22:16,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/04/16,13:22:16,"黃冠頭歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,林園/頂港自助餐(2EY5H0000),2025/04/16,13:22:25,頂港
Account,俐均,2025/04/16,14:02:10,老闆您好
User,林園/頂港自助餐(2EY5H0000),2025/04/22,08:43:59,"鹹魚5
秋刀魚2"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/04/22,08:44:54,"老闆您好
明天星期三請司機幫您送過去~"
User,林園/頂港自助餐(2EY5H0000),2025/04/29,08:51:13,"鹹魚5
秋刀魚1"
Account,林鈺婷,2025/04/29,08:53:20,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/05/06,12:51:27,"鹹魚5
秋刀魚1"
Account,俐均,2025/05/06,12:56:14,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/05/13,14:48:37,鹹魚5
Account,☆羅惠君☆,2025/05/13,14:49:24,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/05/20,15:49:49,"鹹魚3
秋刀魚1"
Account,☆羅惠君☆,2025/05/20,15:49:55,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/05/27,14:22:39,鹹魚4
Account,☆羅惠君☆,2025/05/27,14:22:47,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/06/03,15:54:37,鹹魚4
Account,☆羅惠君☆,2025/06/03,15:55:17,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/06/10,14:46:39,鹹魚5
Account,☆羅惠君☆,2025/06/10,14:46:47,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/06/17,19:15:13,鹹魚4
Account,自動回應訊息,2025/06/17,19:15:14,貼圖已傳送
Account,自動回應訊息,2025/06/17,19:15:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林園/頂港自助餐(2EY5H0000),2025/06/24,14:27:44,鹹魚5
Account,☆羅惠君☆,2025/06/24,14:29:52,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/07/01,14:50:15,鹹魚5
Account,俐均,2025/07/01,14:50:32,貼圖已傳送
User,林園/頂港自助餐(2EY5H0000),2025/07/08,13:32:05,鹹魚5
Account,俐均,2025/07/08,14:14:29,貼圖已傳送
