帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:14
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/18,13:59:47,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/18,13:59:47,"小玉歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/饗好吃烤鴨(VCT1RDU00),2025/06/18,14:01:02,貼圖已傳送
User,三民/饗好吃烤鴨(VCT1RDU00),2025/06/18,14:01:48,照片已傳送
Account,☆羅惠君☆,2025/06/18,14:05:08,"https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA 
老闆好~這是我們的DM，歡迎參考看看，感謝您。"
User,三民/饗好吃烤鴨(VCT1RDU00),2025/06/18,14:20:51,照片已傳送
User,三民/饗好吃烤鴨(VCT1RDU00),2025/06/18,14:21:38,請問這個 一箱多小錢
User,三民/饗好吃烤鴨(VCT1RDU00),2025/06/18,14:26:52,我有買過了一箱、現在可以在幫我送一箱來嗎？
Account,☆羅惠君☆,2025/06/18,14:31:05,"之前買的這箱是1150元。
實在不好意思，司機早上都出門了，不急的話星期五幫您送過去好嗎?"
User,三民/饗好吃烤鴨(VCT1RDU00),2025/06/18,14:32:51,好呀 謝謝🙏🏻
Account,☆羅惠君☆,2025/06/18,14:58:39,貼圖已傳送
User,三民/饗好吃烤鴨(VCT1RDU00),2025/07/08,14:03:56,照片已傳送
User,三民/饗好吃烤鴨(VCT1RDU00),2025/07/08,14:04:43,一箱魚 謝謝
Account,俐均,2025/07/08,14:06:52,貼圖已傳送
