帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,林園/飯島香便當(Z2VR51200),2024/01/02,18:05:19,鹼魚3箱。
Account,俐均,2024/01/03,08:37:26,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/01/09,17:05:10,鹼鱼4箱。
Account,俐均,2024/01/09,17:07:52,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/01/16,17:19:53,鹼魚4箱。
Account,林鈺婷,2024/01/16,17:20:38,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/01/23,20:37:52,鹼魚4箱。
Account,自動回應訊息,2024/01/23,20:37:52,貼圖已傳送
Account,自動回應訊息,2024/01/23,20:37:52,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,林園/飯島香便當(Z2VR51200),2024/01/30,15:48:15,鹼魚4箱。
Account,林鈺婷,2024/01/30,16:07:32,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/02/20,18:03:14,鹼魚4箱。
Account,林鈺婷,2024/02/20,18:05:03,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/03/05,17:49:53,醶魚5箱。
Account,俐均,2024/03/05,17:50:02,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/03/12,16:58:14,鹼魚5箱。
Account,林鈺婷,2024/03/12,17:01:33,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/03/19,16:02:43,鹼鱼4箱，赤鲳魚1箱。
Account,俐均,2024/03/19,16:05:13,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/03/26,17:42:32,鹼魚4箱，赤鯧魚1箱。
Account,林鈺婷,2024/03/26,17:48:58,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/03/27,09:03:45,赤鲳加1件。
Account,林鈺婷,2024/03/27,09:03:54,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/03/27,09:04:46,.黄魚加1箱。
Account,俐均,2024/03/27,09:05:06,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/04/09,16:51:20,鹼魚5箱。
Account,俐均,2024/04/09,16:53:55,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/04/23,15:20:09,鹼魚5箱。
Account,林鈺婷,2024/04/23,15:33:36,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/04/29,16:25:56,4箱鹼魚。
Account,俐均,2024/04/29,16:27:05,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/04/29,21:00:21,明天追加1箱加網魚。
Account,自動回應訊息,2024/04/29,21:00:22,貼圖已傳送
Account,自動回應訊息,2024/04/29,21:00:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/04/29,23:43:03,是白口魚，收到
Account,林鈺婷,2024/04/30,10:38:02,老闆娘抱歉，白口魚大規格缺貨中 到貨通知您
User,林園/飯島香便當(Z2VR51200),2024/04/30,15:39:18,貼圖已傳送
Account,俐均,2024/04/30,15:40:03,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/05/07,16:48:49,鹼魚.3箱。
Account,俐均,2024/05/07,16:50:25,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/05/14,17:08:05,鹼鱼4箱。
Account,俐均,2024/05/14,17:08:13,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/05/21,16:25:28,鹼魚4箱。
Account,俐均,2024/05/21,16:29:26,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/05/28,17:40:21,鹼魚4箱。
Account,俐均,2024/05/28,17:41:18,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/06/11,20:42:59,鹼魚4箱。
Account,自動回應訊息,2024/06/11,20:43:00,貼圖已傳送
Account,自動回應訊息,2024/06/11,20:43:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/07/24,09:04:57,老闆您好～我們今天有送貨，請問今天有營業可以送貨過去嗎？
User,林園/飯島香便當(Z2VR51200),2024/07/24,09:44:11,不用，這禮拜如果没送下禮拜再送，謝謝。
User,林園/飯島香便當(Z2VR51200),2024/07/24,09:44:57,因為今天休息。
Account,林鈺婷,2024/07/24,12:13:30,貼圖已傳送
User,林園/飯島香便當(Z2VR51200),2024/07/30,15:44:10,鹼魚5箱。
User,林園/飯島香便當(Z2VR51200),2024/07/30,15:45:48,白花，青花多少錢
Account,俐均,2024/07/30,15:46:30,"青花菜 1K/包   550元/箱(小包裝)
青花菜 10k/箱   500元/箱(散裝)

白花菜 1K/包   550元/箱(小包裝)
白花菜 10k/箱   500元/箱(散裝)
"
User,林園/飯島香便當(Z2VR51200),2024/07/30,15:47:38,10k各1箱。
