帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/老師養生飯包(XGUGZ1000),2024/01/06,11:46:11,鯖魚兩箱
Account,自動回應訊息,2024/01/06,11:46:12,貼圖已傳送
Account,自動回應訊息,2024/01/06,11:46:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/07,23:43:39,謝謝老闆，星期二會送去
User,屏市/老師養生飯包(XGUGZ1000),2024/01/08,09:40:21,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/01/17,14:08:16,鯖魚兩箱
Account,林鈺婷,2024/01/17,14:08:23,貼圖已傳送
Account,林鈺婷,2024/01/17,14:46:38,星期五幫您送過去喔
User,屏市/老師養生飯包(XGUGZ1000),2024/01/17,14:46:51,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/02/06,10:20:05,鯖魚兩箱
Account,林鈺婷,2024/02/06,10:30:31,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/02/19,15:06:43,海水金目鱸魚片，一箱幾公斤？多少錢請報價
Account,俐均,2024/02/19,15:19:16,"一箱12公斤
3360元"
User,屏市/老師養生飯包(XGUGZ1000),2024/02/19,17:16:02,可以散買嗎？
Account,俐均,2024/02/19,17:16:49,可以喔
User,屏市/老師養生飯包(XGUGZ1000),2024/02/19,17:50:13,那先來五公斤，感恩
Account,俐均,2024/02/19,17:50:48,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/03/07,18:16:04,鯖魚兩箱
Account,自動回應訊息,2024/03/07,18:16:05,貼圖已傳送
Account,自動回應訊息,2024/03/07,18:16:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/老師養生飯包(XGUGZ1000),2024/03/09,14:21:13,請問還有酥炸金目鱸魚真空包嗎？有勞報價
Account,自動回應訊息,2024/03/09,14:21:14,貼圖已傳送
Account,自動回應訊息,2024/03/09,14:21:14,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/03/11,11:13:09,您好~我們酥炸金目鱸魚是有客人訂才會做的，請問大概要多大呢?
User,屏市/老師養生飯包(XGUGZ1000),2024/03/14,11:21:40,先前有叫過一次，可以查得到資料嗎？
User,屏市/老師養生飯包(XGUGZ1000),2024/03/14,11:21:49,順便提供價格
Account,林鈺婷,2024/03/14,11:40:26,老闆您好~鱸魚一次最少要20尾，一尾150元喔
User,屏市/老師養生飯包(XGUGZ1000),2024/03/14,11:41:01,了解，有真空包吼？
Account,林鈺婷,2024/03/14,11:41:12,有~都有真空包裝
User,屏市/老師養生飯包(XGUGZ1000),2024/03/14,11:41:37,好的，那請處理20尾
Account,林鈺婷,2024/03/14,11:41:43,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/03/20,11:51:37,請問這批酥炸鱸魚本週可到嗎？
Account,俐均,2024/03/20,11:54:02,"可以喔
星期五送"
User,屏市/老師養生飯包(XGUGZ1000),2024/03/20,12:14:55,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/03/21,13:21:28,訂貨：鯖魚兩箱
Account,俐均,2024/03/21,13:22:11,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/03/28,11:12:52,"請問目前還有散裝的酥炸金目鱸魚嗎？

我只需要10尾"
Account,林鈺婷,2024/03/28,11:15:52,目前都沒有，請問大概什麼需要
User,屏市/老師養生飯包(XGUGZ1000),2024/03/28,11:16:20,下周二
Account,林鈺婷,2024/03/28,16:25:29,好的~幫您安排生產喔
Account,林鈺婷,2024/03/28,16:33:06,老闆不好意思~我們生產線現在行程都排滿了，加上目前沒有原料了
Account,林鈺婷,2024/03/28,16:33:45,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/04/11,12:16:58,訂貨：鯖魚兩箱
Account,俐均,2024/04/11,12:17:12,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/04/19,13:51:18,訂貨：鯖魚兩箱
Account,俐均,2024/04/19,13:59:14,"老闆您好
下星期二幫您送"
User,屏市/老師養生飯包(XGUGZ1000),2024/05/02,14:01:31,訂貨：鯖魚兩箱
Account,俐均,2024/05/02,14:02:16,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/05/09,14:05:28,訂貨：鯖魚兩箱
Account,俐均,2024/05/09,14:05:48,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/06/06,14:02:53,鯖魚兩箱
Account,林鈺婷,2024/06/06,14:03:36,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/07/01,10:35:04,鯖魚兩箱
Account,林鈺婷,2024/07/01,10:39:41,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/07/02,14:02:34,請問鯖魚今天會到嗎？
Account,俐均,2024/07/02,14:03:16,"老闆好
會喔~"
User,屏市/老師養生飯包(XGUGZ1000),2024/07/02,14:03:44,貼圖已傳送
Account,俐均,2024/07/02,14:04:10,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/07/15,11:46:48,鯖魚兩箱
Account,俐均,2024/07/15,11:48:55,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/08/01,11:43:36,訂貨，鯖魚兩箱
Account,俐均,2024/08/01,11:44:22,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/08/09,12:17:32,請問現在有酥炸金目鱸魚可以選購嗎？
Account,林鈺婷,2024/08/09,12:27:58,稍等幫您確認一下喔
Account,林鈺婷,2024/08/09,16:14:59,老闆您好~目前有喔，請問大概需要幾隻呢?
User,屏市/老師養生飯包(XGUGZ1000),2024/08/09,19:08:53,15
Account,自動回應訊息,2024/08/09,19:08:53,貼圖已傳送
Account,自動回應訊息,2024/08/09,19:08:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/08/12,14:56:24,老闆不好意思~因為最近鱸魚原料價格比較高，現在價格是一尾175元
User,屏市/老師養生飯包(XGUGZ1000),2024/08/12,15:10:57,那十尾可以嗎？
User,屏市/老師養生飯包(XGUGZ1000),2024/08/12,15:11:12,我其實沒需要那麼多
Account,林鈺婷,2024/08/12,15:11:39,請問甚麼時候需要呢?
User,屏市/老師養生飯包(XGUGZ1000),2024/08/12,15:11:54,"青花菜是熟凍的嗎？
請提供報價"
User,屏市/老師養生飯包(XGUGZ1000),2024/08/12,15:12:12,週五前
Account,林鈺婷,2024/08/12,15:12:35,有殺青過的
Account,林鈺婷,2024/08/12,15:12:57,"青花菜(1K*10包) 一箱550元
青花菜(散裝) 一箱500元"
User,屏市/老師養生飯包(XGUGZ1000),2024/08/12,15:14:00,請問產地，有產品照片嗎
Account,林鈺婷,2024/08/12,15:15:09,產地中國喔
User,屏市/老師養生飯包(XGUGZ1000),2024/08/12,17:34:40,訂貨，鯖魚兩箱
Account,林鈺婷,2024/08/12,17:34:48,貼圖已傳送
Account,林鈺婷,2024/08/13,14:47:18,老闆不好意思 星期五幫您送過去喔
User,屏市/老師養生飯包(XGUGZ1000),2024/08/13,14:47:45,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/08/13,14:47:47,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/08/16,11:38:11,這個記得來
Account,俐均,2024/08/16,11:42:27,"老闆好
今天有幫您送"
User,屏市/老師養生飯包(XGUGZ1000),2024/08/16,11:42:38,貼圖已傳送
Account,俐均,2024/08/16,11:42:44,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/08/16,11:48:54,抱歉，請問一點前可以到嗎？我今天一點必須出門辦事
User,屏市/老師養生飯包(XGUGZ1000),2024/08/16,11:50:25,方便的話，可以請司機現在先送來，我們目前營業中
Account,林鈺婷,2024/08/16,11:50:31,有轉告司機請司機安排了
Account,林鈺婷,2024/08/16,11:50:39,因為司機現在不在屏東市
Account,林鈺婷,2024/08/16,11:50:51,沒辦法先送過去不好意思
User,屏市/老師養生飯包(XGUGZ1000),2024/08/16,11:52:20,"了解，請他盡快了

因為有客人待會要拜拜，我以為你們會安排週二送"
Account,林鈺婷,2024/08/16,12:14:04,有請司機盡量趕了喔~
User,屏市/老師養生飯包(XGUGZ1000),2024/09/06,11:42:39,鯖魚兩箱
User,屏市/老師養生飯包(XGUGZ1000),2024/09/06,11:42:48,今天來得及嗎？
Account,林鈺婷,2024/09/06,11:43:26,老闆不好意思~司機都出門了
User,屏市/老師養生飯包(XGUGZ1000),2024/09/06,11:43:43,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/09/06,11:43:46,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/09/06,11:43:56,那下周有勞
Account,林鈺婷,2024/09/06,11:44:00,先幫您安排下星期二送過去可以嗎?
User,屏市/老師養生飯包(XGUGZ1000),2024/09/06,11:44:10,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/09/10,13:53:15,今天會來吼？
Account,俐均,2024/09/10,14:00:04,"老闆好
會喔～"
Account,俐均,2024/09/10,14:00:10,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/09/10,14:24:46,"有勞請司機到店後打店內電話，現在已店休，我在後廚工作

08-7388888"
Account,林鈺婷,2024/09/10,14:26:18,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/09/25,12:38:13,訂貨 鯖魚兩箱
Account,林鈺婷,2024/09/25,12:39:03,星期五幫您送過去喔
User,屏市/老師養生飯包(XGUGZ1000),2024/10/14,12:36:22,訂貨 鯖魚兩箱
Account,林鈺婷,2024/10/14,12:37:06,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/10/14,12:44:39,冷凍四季豆，請報價
User,屏市/老師養生飯包(XGUGZ1000),2024/10/14,12:44:48,一箱10kg的
Account,林鈺婷,2024/10/14,12:45:39,"散裝的 一箱10公斤 660元
小包裝的 一箱10包10公斤 680元"
User,屏市/老師養生飯包(XGUGZ1000),2024/10/14,12:46:18,"好，訂貨

小包裝10公斤一箱"
Account,林鈺婷,2024/10/14,12:46:23,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/10/14,14:03:00,請問目前我們店配送的規格是哪一種？
Account,林鈺婷,2024/10/14,14:21:45,您好~是130/160 5公斤/無中骨
User,屏市/老師養生飯包(XGUGZ1000),2024/10/17,20:11:51,"訂貨

冷凍四季豆小包裝10公斤一箱"
Account,自動回應訊息,2024/10/17,20:11:51,貼圖已傳送
Account,自動回應訊息,2024/10/17,20:11:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/老師養生飯包(XGUGZ1000),2024/10/24,12:08:36,"蒲燒鯛魚75P、蒲燒鰻、紐澳良雞腿排

請報價"
Account,俐均,2024/10/24,12:28:54,"老闆您好
蒲燒鯛魚75p的目前缺貨
蒲燒鰻50p 一包196元
紐奧良雞腿排 6k/箱 880元"
Account,林鈺婷,2024/10/24,16:22:03,我們蒲燒有90p，一箱1250元，可以參考看看
User,屏市/老師養生飯包(XGUGZ1000),2024/10/28,13:53:44,可以先買一片樣品來看大小嗎？
User,屏市/老師養生飯包(XGUGZ1000),2024/10/28,13:55:06,"訂貨
蒲燒鰻魚一片
鯖魚兩箱
冷凍四季豆一箱"
Account,俐均,2024/10/28,16:54:07,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/11/07,10:35:04,鮭魚清肉有勞報價
Account,俐均,2024/11/07,10:43:46,"老闆好
鮭魚清肉營業用缺貨中
目前只有鮭魚清肉真空包裝170/200的規格 /1包/157元"
User,屏市/老師養生飯包(XGUGZ1000),2024/11/07,10:44:39,170/200指的是公克嗎？
User,屏市/老師養生飯包(XGUGZ1000),2024/11/07,10:45:51,"我要的是不帶皮，無刺的那種

不挑部位"
Account,俐均,2024/11/07,10:52:16,是的
Account,俐均,2024/11/07,10:52:42,照片已傳送
Account,俐均,2024/11/07,10:52:53,這是鮭魚清肉
Account,俐均,2024/11/07,10:53:10,照片已傳送
Account,俐均,2024/11/07,10:53:23,這是鮭魚片
Account,俐均,2024/11/07,10:55:06,"老闆不好意思
目前沒有不帶皮的鮭魚,只有真空包裝"
Account,林鈺婷,2024/11/07,16:07:30,"因為我們目前營業用的鮭魚，都缺貨中
上面報的，是真空包裝，單價會比較高
看上面有沒有適合用的，我們再報價給您"
User,屏市/老師養生飯包(XGUGZ1000),2024/11/07,19:57:12,"訂貨 
四季豆一箱"
Account,自動回應訊息,2024/11/07,19:57:13,貼圖已傳送
Account,自動回應訊息,2024/11/07,19:57:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/老師養生飯包(XGUGZ1000),2024/11/11,16:07:32,鯖魚一箱
Account,俐均,2024/11/11,16:09:53,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/11/15,04:06:37,"訂貨 
四季豆一箱"
Account,自動回應訊息,2024/11/15,04:06:38,貼圖已傳送
Account,自動回應訊息,2024/11/15,04:06:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/老師養生飯包(XGUGZ1000),2024/11/21,11:54:41,"訂貨 
鯖魚一箱
四季豆一箱"
Account,林鈺婷,2024/11/21,11:55:02,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/11/29,10:26:45,"訂貨 
四季豆一箱

來得及嗎？"
Account,林鈺婷,2024/11/29,10:45:28,老闆先幫您安排下星期一趕看看
User,屏市/老師養生飯包(XGUGZ1000),2024/12/02,11:55:00,"訂貨 
鯖魚一箱
四季豆一箱"
Account,林鈺婷,2024/12/02,11:56:23,老闆您好~今天有幫您安排送四季豆，明天還要再一箱嗎?
User,屏市/老師養生飯包(XGUGZ1000),2024/12/02,11:56:45,喔，那明天鯖魚2箱
Account,俐均,2024/12/02,12:32:52,貼圖已傳送
Account,王振華,2024/12/03,14:30:09,老闆好，我們司機到了，起問幾點過去下貨方便
User,屏市/老師養生飯包(XGUGZ1000),2024/12/03,15:03:37,四點
User,屏市/老師養生飯包(XGUGZ1000),2024/12/10,09:46:00,"訂貨 
四季豆一箱

來得及嗎？"
Account,林鈺婷,2024/12/10,09:47:08,今天幫您送過去喔
User,屏市/老師養生飯包(XGUGZ1000),2024/12/17,10:07:03,"訂貨

四季豆1
鯖魚1"
Account,林鈺婷,2024/12/17,10:18:55,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2024/12/26,12:56:32,"訂貨

四季豆1
鯖魚1"
Account,俐均,2024/12/26,14:24:24,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/01/06,12:10:41,"訂貨

四季豆1
"
Account,俐均,2025/01/06,12:28:48,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/01/13,10:45:36,"訂貨

鯖魚一箱"
Account,林鈺婷,2025/01/13,11:09:46,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/01/22,14:42:28,"訂貨
鯖魚一箱
四季豆一箱"
Account,俐均,2025/01/22,14:43:55,"老闆好
星期五幫您送過去"
User,屏市/老師養生飯包(XGUGZ1000),2025/02/08,12:01:24,"請問今天有有營業嗎？

下午是否方便去潮州場載鯖魚？"
Account,王振華,2025/02/08,19:23:25,老闆好，很抱歉我們今天沒補班
User,屏市/老師養生飯包(XGUGZ1000),2025/02/10,14:02:16,鯖魚，四季豆各一箱
Account,林鈺婷,2025/02/10,14:02:31,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/02/20,10:51:07,鯖魚，四季豆各一箱
Account,俐均,2025/02/20,11:00:11,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/02/28,10:55:00,鯖魚，四季豆各一箱
Account,林鈺婷,2025/02/28,10:56:41,"老闆早～不好意思 我們今天公休
下星期幫您送過去"
User,屏市/老師養生飯包(XGUGZ1000),2025/03/10,11:22:15,鯖魚，四季豆各一箱
Account,林鈺婷,2025/03/10,11:27:33,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/03/20,14:02:18,鯖魚一箱
Account,俐均,2025/03/20,14:02:46,貼圖已傳送
Account,林鈺婷,2025/03/24,12:25:11,老闆您好~請問今年有需要炸鱸魚嗎?
User,屏市/老師養生飯包(XGUGZ1000),2025/03/24,12:26:38,現作還是庫存呢？
Account,林鈺婷,2025/03/24,12:27:37,現做喔~因為這幾天生產線要安排生產，所以來詢問看看有沒有需求
User,屏市/老師養生飯包(XGUGZ1000),2025/03/24,12:30:00,請問一尾多少
Account,林鈺婷,2025/03/24,12:36:48,一尾175元
User,屏市/老師養生飯包(XGUGZ1000),2025/03/24,12:51:52,6尾
User,屏市/老師養生飯包(XGUGZ1000),2025/03/24,12:52:56,今年買氣不旺
Account,林鈺婷,2025/03/24,12:53:01,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/03/24,17:41:34,"炸鱸魚6
四季豆1箱"
Account,林鈺婷,2025/03/24,17:43:07,炸鱸魚還沒有這麼快完成，鱸魚的部分星期五幫您送可以嗎?
User,屏市/老師養生飯包(XGUGZ1000),2025/03/24,17:45:22,貼圖已傳送
User,屏市/老師養生飯包(XGUGZ1000),2025/04/07,10:06:21,"鯖魚一箱
四季豆一箱"
Account,林鈺婷,2025/04/07,10:08:13,老闆早~明天幫您送過去喔
User,屏市/老師養生飯包(XGUGZ1000),2025/04/09,11:34:56,"請提供
金目鱸魚片規格與報價，包含海水/淡水"
Account,林鈺婷,2025/04/09,12:43:10,照片已傳送
