帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/01,11:36:00,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/01,11:36:00,"享原味餐盒歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,11:38:46,貼圖已傳送
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,11:39:45,"享原味餐盒
0935703553
新興區黃海街42號"
Account,俐均,2024/04/01,11:40:42,老闆您好
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,11:41:03,你好想問鯖魚和鮭魚
Account,俐均,2024/04/01,11:41:31,照片已傳送
Account,俐均,2024/04/01,11:41:56,鮭魚目前只有單片真空包裝
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,11:43:40,嗯...單片重量是多少？
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,11:46:07,請問一次叫貨金額需要多少才能送？
Account,俐均,2024/04/01,12:14:50,超過5公斤就可以幫您送
Account,俐均,2024/04/01,12:23:54,"鮭魚片320/360   230元
            360/400   247元"
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,12:42:32,收到
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,12:42:37,感謝您
Account,俐均,2024/04/01,12:43:18,貼圖已傳送
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,16:47:24,請問鯖魚有樣品可以看嗎？是挪威的嗎？
Account,俐均,2024/04/01,16:48:20,"老闆娘您好
是挪威的"
Account,俐均,2024/04/01,16:48:30,請問您需要什麼規格呢?
User,新興/享原味餐盒(VMJHCZZZZ),2024/04/01,16:50:58,我之前買的是35片1000的，想換大一點的
