帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,大寮/家味香便當(RJV120000),2024/01/01,19:49:05,鹽魚，無骨雞排
Account,自動回應訊息,2024/01/01,19:49:06,貼圖已傳送
Account,自動回應訊息,2024/01/01,19:49:06,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/03,20:02:43,鹽魚
Account,自動回應訊息,2024/01/03,20:02:44,貼圖已傳送
Account,自動回應訊息,2024/01/03,20:02:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/09,22:02:56,鹽魚，無骨雞排
Account,自動回應訊息,2024/01/09,22:02:57,貼圖已傳送
Account,自動回應訊息,2024/01/09,22:02:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/14,10:17:43,鹽魚
Account,自動回應訊息,2024/01/14,10:17:44,貼圖已傳送
Account,自動回應訊息,2024/01/14,10:17:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/18,00:35:23,塩魚
Account,自動回應訊息,2024/01/18,00:35:24,貼圖已傳送
Account,自動回應訊息,2024/01/18,00:35:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/20,20:33:19,鹽魚，無骨雞排
Account,自動回應訊息,2024/01/20,20:33:20,貼圖已傳送
Account,自動回應訊息,2024/01/20,20:33:20,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/25,21:38:30,塩魚
Account,自動回應訊息,2024/01/25,21:38:30,貼圖已傳送
Account,自動回應訊息,2024/01/25,21:38:30,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/01/29,22:09:02,塩魚，無骨雞排
Account,自動回應訊息,2024/01/29,22:09:02,貼圖已傳送
Account,自動回應訊息,2024/01/29,22:09:02,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/02/04,22:15:00,鹽魚(1)，無骨雞排(2)，謝
Account,自動回應訊息,2024/02/04,22:15:01,貼圖已傳送
Account,自動回應訊息,2024/02/04,22:15:01,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/家味香便當(RJV120000),2024/02/05,13:36:26,以後麻煩司機送貨的時候問一下放哪裏
Account,俐均,2024/02/05,14:05:04,"老闆娘您好不好意思
因司機是新來的
已有請其它司機告知
謝謝"
