帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/14,11:44:52,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/03/14,11:44:52,"宏歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,潮州/昌師父(TGZVTZZZZ),2025/03/14,11:45:12,潮州昌師父便當
Account,林鈺婷,2025/03/14,11:49:37,貼圖已傳送
Account,林鈺婷,2025/03/14,11:49:46,您好~
User,潮州/昌師父(TGZVTZZZZ),2025/03/24,19:47:10,你好。我這邊昌師父。明天幫我送。玉米粒5包，四季豆3包
Account,自動回應訊息,2025/03/24,19:47:10,貼圖已傳送
Account,自動回應訊息,2025/03/24,19:47:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/昌師父(TGZVTZZZZ),2025/03/24,19:48:33,謝謝您信
Account,自動回應訊息,2025/03/24,19:48:33,貼圖已傳送
Account,自動回應訊息,2025/03/24,19:48:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/昌師父(TGZVTZZZZ),2025/04/01,13:19:12,你好 我這邊昌師父便當。明天幫我送5包玉米，5包四季豆。謝謝您
Account,俐均,2025/04/01,13:55:05,貼圖已傳送
User,潮州/昌師父(TGZVTZZZZ),2025/04/10,10:18:56,你好。這邊是昌師父。可以幫我送5包玉米，5包四季豆 謝謝🙏
Account,☆羅惠君☆,2025/04/10,10:19:33,貼圖已傳送
User,潮州/昌師父(TGZVTZZZZ),2025/04/23,17:20:22,你好 我這邊昌師父
User,潮州/昌師父(TGZVTZZZZ),2025/04/23,17:21:08,明天幫我送5包玉米粒，5包四季豆，1件旗魚肚
User,潮州/昌師父(TGZVTZZZZ),2025/04/23,17:21:11,感謝您
Account,☆羅惠君☆,2025/04/23,17:31:53,貼圖已傳送
User,潮州/昌師父(TGZVTZZZZ),2025/05/01,17:44:42,"你好。我這邊昌師父便當

幫我送5包四季豆，5包玉米粒

謝謝"
Account,俐均,2025/05/02,09:02:49,貼圖已傳送
User,潮州/昌師父(TGZVTZZZZ),2025/05/04,19:33:14,你好。這邊昌師父 明天幫我送5包玉米粒 謝謝
Account,自動回應訊息,2025/05/04,19:33:15,貼圖已傳送
Account,自動回應訊息,2025/05/04,19:33:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/昌師父(TGZVTZZZZ),2025/05/07,18:16:43,你好。明天幫我送 玉米粒2包，四季豆2包 ，謝謝
Account,自動回應訊息,2025/05/07,18:16:44,貼圖已傳送
Account,自動回應訊息,2025/05/07,18:16:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/昌師父(TGZVTZZZZ),2025/05/14,16:51:18,你好。明天幫我送5包玉米粒。謝謝
