帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,林邊/阿宏燒臘店(8CGX20000),2024/01/01,19:13:00,薄鹽鯖魚（160／200）3箱
Account,自動回應訊息,2024/01/01,19:13:00,貼圖已傳送
Account,自動回應訊息,2024/01/01,19:13:00,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,林邊/阿宏燒臘店(8CGX20000),2024/01/11,17:14:48,玉米粒1箱，三色1箱，薄鹽鯖魚（160／200）2箱
Account,俐均,2024/01/11,17:15:35,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/02/01,14:45:18,玉米粒1箱，三色1箱，薄鹽鯖魚（160／200）2箱
Account,俐均,2024/02/01,14:45:37,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/03/11,14:19:08,薄鹽鯖魚（160／200）2箱
Account,俐均,2024/03/11,14:25:02,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/04/12,04:25:47,薄鹽鯖魚（160／200）2箱
Account,自動回應訊息,2024/04/12,04:25:47,貼圖已傳送
Account,自動回應訊息,2024/04/12,04:25:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林邊/阿宏燒臘店(8CGX20000),2024/04/18,15:12:09,薄鹽鯖魚（160／200）2箱
Account,俐均,2024/04/18,16:07:12,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/06/17,19:53:34,薄鹽鯖魚（160／200）2箱
Account,自動回應訊息,2024/06/17,19:53:34,貼圖已傳送
Account,自動回應訊息,2024/06/17,19:53:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,林邊/阿宏燒臘店(8CGX20000),2024/07/22,14:55:07,紐西蘭敏豆1箱，三色1箱，薄鹽鯖魚（160／200）2箱
Account,林鈺婷,2024/07/22,15:18:31,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/08/01,17:23:16,青花椰菜1箱白花椰菜1箱紐西蘭敏豆2箱，三色1箱，薄鹽鯖魚（160／200）2箱
Account,俐均,2024/08/01,17:26:20,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/08/15,12:02:40,青花椰菜2箱紐西蘭敏豆2箱白花椰菜1箱
Account,俐均,2024/08/15,12:48:36,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/09/05,14:18:40,薄鹽鯖魚（160／200）2箱
Account,俐均,2024/09/05,14:36:12,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/09/23,15:03:09,薄鹽鯖魚（160／200）2箱
Account,林鈺婷,2024/09/23,15:07:26,貼圖已傳送
User,林邊/阿宏燒臘店(8CGX20000),2024/09/24,01:41:11,再加玉米一箱三色一箱
Account,自動回應訊息,2024/09/24,01:41:12,貼圖已傳送
