帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,佳冬/萬家香便當(JRV12Q200),2024/01/01,20:34:50,明天送，青花菜一件，鹹魚一件，地瓜一公斤二包，芋頭一包，就這樣謝謝。
Account,自動回應訊息,2024/01/01,20:34:51,貼圖已傳送
Account,自動回應訊息,2024/01/01,20:34:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/02,08:36:56,老闆娘不好意思~我們目前芋頭缺貨中
User,佳冬/萬家香便當(JRV12Q200),2024/01/05,09:46:49,今天送白花椰菜一件，鹹魚一件就好，謝謝。
Account,俐均,2024/01/05,09:51:20,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/01/08,22:35:27,明天送花椰菜一件，鹹魚一件就這樣，謝謝。
Account,自動回應訊息,2024/01/08,22:35:28,貼圖已傳送
Account,自動回應訊息,2024/01/08,22:35:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,佳冬/萬家香便當(JRV12Q200),2024/01/16,08:50:27,今天，白花椰菜一件，鹹魚一件，地瓜二包，謝謝。
Account,林鈺婷,2024/01/16,08:50:48,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/01/19,09:31:12,今天送青花菜，鹹魚一件，地瓜二包，一公斤的。
Account,俐均,2024/01/19,09:32:51,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/01/24,15:55:27,青花菜一件，芋頭有嗎？有的話拿一包，鹹魚一件。
User,佳冬/萬家香便當(JRV12Q200),2024/01/24,15:55:42,謝謝。
Account,俐均,2024/01/24,16:45:09,"老闆娘您好
星期五幫您送
謝謝您"
User,佳冬/萬家香便當(JRV12Q200),2024/01/30,22:55:36,2月2日星期五送鹹魚一件，白花椰菜一件，芋頭一包
Account,自動回應訊息,2024/01/30,22:55:36,貼圖已傳送
Account,自動回應訊息,2024/01/30,22:55:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,佳冬/萬家香便當(JRV12Q200),2024/02/05,23:56:33,鹹魚一件，芋頭一包，就這樣，謝謝。
Account,自動回應訊息,2024/02/05,23:56:33,貼圖已傳送
Account,自動回應訊息,2024/02/05,23:56:33,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,佳冬/萬家香便當(JRV12Q200),2024/02/20,08:59:38,今天送鹹魚和白花椰菜一件。謝謝。
Account,林鈺婷,2024/02/20,08:59:44,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/02/22,18:51:28,鹹魚就好，謝謝。
Account,自動回應訊息,2024/02/22,18:51:29,貼圖已傳送
Account,自動回應訊息,2024/02/22,18:51:29,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,佳冬/萬家香便當(JRV12Q200),2024/02/29,14:53:38,鹹魚就好。
Account,俐均,2024/02/29,14:54:31,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/03/04,18:08:23,虱目魚肚大片的嗎？如果大片的先拿10片。白花椰菜一件，就這樣。謝謝。
Account,王振華,2024/03/05,00:10:59,老闆娘好，虱目魚是有刺的可以嗎？
User,佳冬/萬家香便當(JRV12Q200),2024/03/05,08:30:10,可以
Account,俐均,2024/03/05,08:55:50,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/03/07,20:51:44,鹹魚一件，芋頭一包就好，謝謝。
Account,自動回應訊息,2024/03/07,20:51:44,貼圖已傳送
Account,自動回應訊息,2024/03/07,20:51:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,佳冬/萬家香便當(JRV12Q200),2024/03/11,14:14:31,魚肚二包，鹹魚一件，白花椰菜一件。
Account,俐均,2024/03/11,14:15:36,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/03/15,09:23:17,白花椰菜一件，虱目魚肚二包就好。謝謝。
Account,林鈺婷,2024/03/15,09:26:02,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/03/18,15:08:31,請問100_120是幾條。
User,佳冬/萬家香便當(JRV12Q200),2024/03/18,15:08:40,白口
Account,俐均,2024/03/18,15:09:40,約77尾
User,佳冬/萬家香便當(JRV12Q200),2024/03/18,15:26:05,拿很小喔？
User,佳冬/萬家香便當(JRV12Q200),2024/03/18,15:26:32,那很小喔？
Account,林鈺婷,2024/03/18,15:26:45,照片已傳送
Account,林鈺婷,2024/03/18,15:26:54,最小的那尾就是100/120的比例圖
User,佳冬/萬家香便當(JRV12Q200),2024/03/18,15:48:14,好一件白口，冰心地瓜一包，就這樣。謝謝。
Account,林鈺婷,2024/03/18,15:53:31,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/03/21,22:54:27,明天鹹魚一件，冰心地瓜三包，這樣就好
Account,自動回應訊息,2024/03/21,22:54:28,貼圖已傳送
Account,自動回應訊息,2024/03/21,22:54:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/03/25,15:48:21,虱目魚肚，二包就好。
Account,俐均,2024/03/25,15:48:27,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/03/28,16:05:37,鹹魚一件就好
Account,俐均,2024/03/28,16:07:12,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/04/01,19:59:32,明天鹹魚一件，二包的虱目魚。謝謝。
Account,自動回應訊息,2024/04/01,19:59:32,貼圖已傳送
Account,自動回應訊息,2024/04/01,19:59:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/04/12,00:20:43,鯖魚一件就好
Account,自動回應訊息,2024/04/12,00:20:43,貼圖已傳送
Account,自動回應訊息,2024/04/12,00:20:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/04/15,17:34:07,玉米一箱900元嗎？虱目魚肚三包。
Account,俐均,2024/04/15,17:36:50,"老闆娘您好
玉米一箱900元"
Account,俐均,2024/04/15,17:43:11,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/04/18,18:18:18,鹹魚一件，虱目魚二包，謝謝。
Account,自動回應訊息,2024/04/18,18:18:19,貼圖已傳送
Account,自動回應訊息,2024/04/18,18:18:19,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/04/22,16:44:55,請問玉米半件有幾包。
Account,俐均,2024/04/22,16:45:22,大約7.5包
Account,俐均,2024/04/22,16:45:30,一箱15包
User,佳冬/萬家香便當(JRV12Q200),2024/04/22,16:46:13,拿8包就好，虱目魚拿三包，就這樣，謝謝。
Account,林鈺婷,2024/04/22,16:51:59,老闆娘~我們玉米粒散拿的話一包會多5元
Account,林鈺婷,2024/04/22,16:52:12,看要不要考慮一次拿一箱會比較划算
User,佳冬/萬家香便當(JRV12Q200),2024/04/22,19:35:15,沒關係，冰箱放不下，有一台冰箱壞了要修理，師傅沒空。
Account,自動回應訊息,2024/04/22,19:35:15,貼圖已傳送
Account,自動回應訊息,2024/04/22,19:35:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/04/25,18:15:02,玉米五包，芋頭一包就好。
Account,自動回應訊息,2024/04/25,18:15:02,貼圖已傳送
Account,自動回應訊息,2024/04/25,18:15:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/04/30,09:09:02,鹹魚就好一件。
Account,俐均,2024/04/30,09:10:11,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/04/30,16:43:02,星期五，拿玉米一件，鹹魚一件
Account,林鈺婷,2024/04/30,16:43:53,貼圖已傳送
Account,王振華,2024/05/01,00:25:31,老闆娘好，請問鯖魚要原來的，還是要特價的
User,佳冬/萬家香便當(JRV12Q200),2024/05/02,18:01:49,鯖魚還是照原來的，不要特價品。
Account,俐均,2024/05/02,18:02:01,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/05/07,00:47:57,虱目魚肚，四包，謝謝。
Account,自動回應訊息,2024/05/07,00:47:58,貼圖已傳送
Account,自動回應訊息,2024/05/07,00:47:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/05/10,09:06:44,今天送玉米六包，鹹魚一件
Account,俐均,2024/05/10,09:07:08,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/05/13,18:01:51,玉米一件，虱目魚三包。
Account,俐均,2024/05/13,18:02:00,貼圖已傳送
User,佳冬/萬家香便當(JRV12Q200),2024/05/16,23:01:52,玉米六包，鹹魚一件就這樣子。
Account,自動回應訊息,2024/05/16,23:01:53,貼圖已傳送
Account,自動回應訊息,2024/05/16,23:01:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/05/20,22:01:45,地瓜二包，虱目魚四包就這樣。謝謝。
Account,自動回應訊息,2024/05/20,22:01:45,貼圖已傳送
Account,自動回應訊息,2024/05/20,22:01:45,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,佳冬/萬家香便當(JRV12Q200),2024/05/27,18:11:35,地瓜一包，鹹魚一件，玉米六包，謝謝。
Account,自動回應訊息,2024/05/27,18:11:36,貼圖已傳送
