帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/上格便當(GE1200000),2024/01/02,09:38:08,一箱玉米鯖魚一箱
Account,俐均,2024/01/02,09:40:20,貼圖已傳送
Account,俐均,2024/01/02,09:41:13,"老闆您好
請問幫您送甜玉米嗎?"
Account,俐均,2024/01/02,09:41:23,目前有優惠
Account,俐均,2024/01/02,09:41:27,一箱550元
Account,俐均,2024/01/02,09:41:34,一件10公斤
User,內埔/上格便當(GE1200000),2024/01/08,09:21:24,鯖魚一箱
Account,林鈺婷,2024/01/08,09:23:35,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/01/15,09:15:44,鯖魚一箱
Account,林鈺婷,2024/01/15,09:16:04,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/01/17,20:19:37,明天一箱鯖魚
Account,自動回應訊息,2024/01/17,20:19:37,貼圖已傳送
Account,自動回應訊息,2024/01/17,20:19:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/上格便當(GE1200000),2024/01/31,14:07:08,明天幫我出鯖魚5公斤的一箱
Account,俐均,2024/01/31,14:07:17,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/02/04,21:09:12,明天幫我出鯖魚5公斤的一箱
Account,自動回應訊息,2024/02/04,21:09:12,貼圖已傳送
Account,自動回應訊息,2024/02/04,21:09:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/上格便當(GE1200000),2024/02/21,20:44:57,五公斤的鯖魚幫我送兩箱
Account,自動回應訊息,2024/02/21,20:44:58,貼圖已傳送
Account,自動回應訊息,2024/02/21,20:44:58,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/02/22,08:40:24,"老闆您好
5K的缺貨幫您送6K的好嗎?"
User,內埔/上格便當(GE1200000),2024/02/22,08:52:23,好的(好滴)
User,內埔/上格便當(GE1200000),2024/03/10,17:07:56,鯖魚一箱
Account,自動回應訊息,2024/03/10,17:07:57,貼圖已傳送
Account,自動回應訊息,2024/03/10,17:07:57,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/上格便當(GE1200000),2024/03/18,09:41:54,幫我送一箱鯖魚
Account,林鈺婷,2024/03/18,09:43:02,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/03/20,14:34:53,幫我送一箱鯖魚
Account,林鈺婷,2024/03/20,14:38:51,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/03/21,11:19:28,下禮拜一幫我送兩箱5k的
Account,俐均,2024/03/21,11:21:30,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/04/02,21:57:49,5k鯖魚一箱
Account,自動回應訊息,2024/04/02,21:57:50,貼圖已傳送
Account,自動回應訊息,2024/04/02,21:57:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/上格便當(GE1200000),2024/04/11,09:16:05,五 k鯖魚一箱
Account,俐均,2024/04/11,09:16:22,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/04/15,09:33:13,幫我送一箱5k鯖魚
Account,俐均,2024/04/15,09:37:16,貼圖已傳送
Account,俐均,2024/04/15,10:49:08,"老闆您好
鯖魚80/100缺貨
幫您送100/130的好嗎？"
User,內埔/上格便當(GE1200000),2024/04/16,09:18:52,100到130的太大了不然幫我換6K的鯖魚
Account,林鈺婷,2024/04/16,09:19:24,老闆不好意思 80/100 5K和6K的目前都缺貨中
User,內埔/上格便當(GE1200000),2024/04/18,09:19:32,5k的鯖魚有貨嗎
Account,林鈺婷,2024/04/18,09:20:04,80/100的目前沒有，還是老闆要考慮100/130的，我們目前有做優惠
User,內埔/上格便當(GE1200000),2024/04/21,22:41:09,明天幫我送一箱5k鯖魚
Account,自動回應訊息,2024/04/21,22:41:09,貼圖已傳送
Account,自動回應訊息,2024/04/21,22:41:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/上格便當(GE1200000),2024/04/24,17:42:42,明天幫我送一箱5k鯖魚
Account,林鈺婷,2024/04/24,17:42:58,貼圖已傳送
User,內埔/上格便當(GE1200000),2024/04/29,08:49:27,我要一箱鯖魚5k的
