帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/01/07,14:18:25,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,自動回應訊息,2024/01/07,14:18:25,貼圖已傳送
Account,自動回應訊息,2024/01/07,14:18:25,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/01/11,13:56:13,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,俐均,2024/01/11,13:59:07,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/01/18,08:08:28,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩早上送兩箱，
謝謝，"
Account,自動回應訊息,2024/01/18,08:08:29,貼圖已傳送
Account,自動回應訊息,2024/01/18,08:08:29,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/01/25,14:17:44,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,俐均,2024/01/25,14:18:31,貼圖已傳送
Account,林鈺婷,2024/01/26,15:11:43,老闆娘您好~我們司機已經到門口了
Account,林鈺婷,2024/01/26,15:11:50,請問有人可以收貨嗎?
Account,林鈺婷,2024/01/26,15:16:04,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/01/31,13:41:00,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,俐均,2024/01/31,14:00:33,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/02/05,23:01:32,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送4箱，
謝謝，"
Account,自動回應訊息,2024/02/05,23:01:32,貼圖已傳送
Account,自動回應訊息,2024/02/05,23:01:32,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/02/15,20:09:44,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,自動回應訊息,2024/02/15,20:09:44,貼圖已傳送
Account,自動回應訊息,2024/02/15,20:09:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/02/21,09:02:01,"南華路151-5號，
鼎香燒雞腿，
挪威青魚100/130
6k規格的，
麻煩今天可以送兩箱，謝謝，"
Account,林鈺婷,2024/02/21,09:02:08,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/02/22,15:31:36,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,林鈺婷,2024/02/22,15:32:26,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/02/22,20:29:41,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6規格再加一箱，
總共三箱，
麻煩明天早上送來來，謝謝，"
Account,自動回應訊息,2024/02/22,20:29:41,貼圖已傳送
Account,自動回應訊息,2024/02/22,20:29:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/02/26,13:48:58,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,俐均,2024/02/26,14:45:14,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/03,17:27:14,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,自動回應訊息,2024/03/03,17:27:15,貼圖已傳送
Account,自動回應訊息,2024/03/03,17:27:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/07,14:30:11,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,俐均,2024/03/07,14:33:14,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/11,15:30:27,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
Account,林鈺婷,2024/03/11,15:41:04,貼圖已傳送
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/14,09:40:45,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/14,09:41:14,今天可以送來嗎？
Account,林鈺婷,2024/03/14,09:43:40,今天幫您送過去喔
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/19,09:41:36,"鼎香燒雞腿，
南華路151-5號，
挪威青魚100/130
6k規格的，
麻煩明天早上送兩箱，謝謝，"
User,鳳山/鼎香燒雞腿(2VGRW0000),2024/03/19,09:41:47,今天可以送來嗎？
Account,林鈺婷,2024/03/19,09:55:20,貼圖已傳送
