帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,鳳山/好食日輕食(CGBFG1200),2024/01/08,14:58:34,"你好 鯖魚100/130 一箱
1080 對嗎？ "
Account,林鈺婷,2024/01/08,14:59:20,沒錯喔~
User,鳳山/好食日輕食(CGBFG1200),2024/01/08,14:59:33,我要送鳳山 八德路336號
User,鳳山/好食日輕食(CGBFG1200),2024/01/08,14:59:47,不知道什麼時間可以配送呢
Account,林鈺婷,2024/01/08,15:00:21,您好~鳳山區我們星期一到五都有送貨喔
Account,林鈺婷,2024/01/08,15:01:04,當天要的貨，最晚當天早上8點前跟我們說，訂貨的話傳LINE就可以了
User,鳳山/好食日輕食(CGBFG1200),2024/01/09,20:29:50,"你好 那我要訂 這個 
明天幫我送到"
Account,自動回應訊息,2024/01/09,20:29:50,貼圖已傳送
Account,自動回應訊息,2024/01/09,20:29:50,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/09,23:27:43,貼圖已傳送
User,鳳山/好食日輕食(CGBFG1200),2024/01/10,07:46:02,謝謝 
Account,自動回應訊息,2024/01/10,07:46:03,貼圖已傳送
Account,自動回應訊息,2024/01/10,07:46:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/好食日輕食(CGBFG1200),2024/01/10,09:59:18,你好 不知道今天魚大概會是早上送達還是下午呢？
Account,林鈺婷,2024/01/10,09:59:45,稍等幫您跟司機確認一下
Account,林鈺婷,2024/01/10,10:07:43,司機大約中午的時候到
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:04:52,我要一樣的鯖魚*2 
Account,林鈺婷,2024/01/15,17:05:12,貼圖已傳送
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:06:19,請問 豬肉片是哪個部位
Account,林鈺婷,2024/01/15,17:06:34,後腿肉的部分喔
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:06:56,前跟後有差嗎
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:07:47,玉米粒如果 散包*2 多少錢呢？
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:08:02,另外想看 玉米塊的樣子
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:08:19,不知道明天可不可以看看
Account,林鈺婷,2024/01/15,17:08:58,後腿肉比較結實，油脂比較少，筋也比較少
Account,林鈺婷,2024/01/15,17:09:03,一包65元喔
Account,林鈺婷,2024/01/15,17:09:12,可以喔，明天請司機一起帶過去給您看
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,17:09:56,所以三包就是60*3+10 這樣算嗎？
Account,林鈺婷,2024/01/15,17:11:32,散箱出貨一包+5元喔
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,20:45:49,這個可以有少少的試吃看看嗎
Account,自動回應訊息,2024/01/15,20:45:50,貼圖已傳送
Account,自動回應訊息,2024/01/15,20:45:50,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/好食日輕食(CGBFG1200),2024/01/15,20:46:06,了解 謝謝 有需要我會再跟你說
Account,自動回應訊息,2024/01/15,20:46:07,貼圖已傳送
Account,自動回應訊息,2024/01/15,20:46:07,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/15,23:11:53,豬肉片明天帶一點過去讓您試，玉米粒要試作，這次可以算您一包60元
User,鳳山/好食日輕食(CGBFG1200),2024/01/16,00:04:15,"好的 謝謝你 

另外還有玉米塊想要看唷 因為不確定是不是心裡想的那種"
Account,自動回應訊息,2024/01/16,00:04:15,貼圖已傳送
Account,自動回應訊息,2024/01/16,00:04:15,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/16,00:47:42,那玉米粒3包，帶玉米塊看對吧！
User,鳳山/好食日輕食(CGBFG1200),2024/01/16,07:47:36,好的 謝謝
Account,自動回應訊息,2024/01/16,07:47:37,貼圖已傳送
Account,自動回應訊息,2024/01/16,07:47:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/好食日輕食(CGBFG1200),2024/01/19,16:02:10,你好 想請問豬肉片可以一次叫4包就好嗎？
Account,林鈺婷,2024/01/19,16:06:18,可以豬肉片搭配其他東西，只要當次送貨的量有達到五公斤就會幫您送
User,鳳山/好食日輕食(CGBFG1200),2024/01/24,14:04:49,要一箱鯖魚+ 三包豬肉片 
Account,俐均,2024/01/24,14:05:02,貼圖已傳送
User,鳳山/好食日輕食(CGBFG1200),2024/01/29,17:51:51,豬肉片10包 
Account,林鈺婷,2024/01/29,17:52:01,貼圖已傳送
User,鳳山/好食日輕食(CGBFG1200),2024/02/04,16:23:11,十包 豬肉片
Account,自動回應訊息,2024/02/04,16:23:12,貼圖已傳送
Account,自動回應訊息,2024/02/04,16:23:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/好食日輕食(CGBFG1200),2024/02/06,15:02:04,鯖魚一箱 謝謝
Account,林鈺婷,2024/02/06,15:09:01,貼圖已傳送
User,鳳山/好食日輕食(CGBFG1200),2024/02/16,21:38:18,十包 豬肉片
Account,自動回應訊息,2024/02/16,21:38:19,貼圖已傳送
Account,自動回應訊息,2024/02/16,21:38:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/16,23:11:11,好的，星期一會送去
User,鳳山/好食日輕食(CGBFG1200),2024/02/17,09:18:51,"不好意思 不知道星期一可不可以早一點送到 因為沒有注意到時間 今天不配送 
星期一會擔心就空空了"
Account,自動回應訊息,2024/02/17,09:18:51,貼圖已傳送
Account,自動回應訊息,2024/02/17,09:18:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/17,20:52:40,好的，會請司機安排
User,鳳山/好食日輕食(CGBFG1200),2024/02/20,21:03:09,鯖魚 2箱  豬肉片10包 
Account,自動回應訊息,2024/02/20,21:03:10,貼圖已傳送
Account,自動回應訊息,2024/02/20,21:03:10,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,鳳山/好食日輕食(CGBFG1200),2024/02/22,22:46:03,你好 明天沒有訂貨，但不知道方不方便有經過的話，可以給我看看虱目魚肚（無刺）跟鱸魚 一兩片試煮看看呢？ 
Account,自動回應訊息,2024/02/22,22:46:04,貼圖已傳送
Account,自動回應訊息,2024/02/22,22:46:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/22,23:27:33,貼圖已傳送
Account,林鈺婷,2024/02/23,08:40:09,貼圖已傳送
User,鳳山/好食日輕食(CGBFG1200),2024/02/29,13:47:50,你好 想請問 鱸魚跟虱目魚的價格
Account,俐均,2024/02/29,13:58:30,"老闆娘您好
"
Account,俐均,2024/02/29,14:00:46,請問詢問鱸魚片還是魚柳條呢?
User,鳳山/好食日輕食(CGBFG1200),2024/02/29,14:00:57,鱸魚片
Account,俐均,2024/02/29,14:01:02,虱目魚肚嗎?
User,鳳山/好食日輕食(CGBFG1200),2024/02/29,14:01:07,跟虱目魚肚
Account,俐均,2024/02/29,14:01:24,目前缺貨中
Account,俐均,2024/02/29,14:04:02,魚肚需大約幾G的呢?
User,鳳山/好食日輕食(CGBFG1200),2024/02/29,14:04:43,有尺寸表可以提供嗎
Account,俐均,2024/02/29,14:06:10,"80/100
100/120
120/140
147/170"
