帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/井田屋(RWJBGXX00),2024/01/02,20:00:18,鯖魚一件謝謝
Account,自動回應訊息,2024/01/02,20:00:19,貼圖已傳送
Account,自動回應訊息,2024/01/02,20:00:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/02,23:21:23,老闆謝謝，星期五會送去
User,屏市/井田屋(RWJBGXX00),2024/01/05,13:06:04,請問有幫我送貨嗎？
User,屏市/井田屋(RWJBGXX00),2024/01/05,13:31:40,因今日有事店休無人收貨請見諒
Account,俐均,2024/01/05,13:37:58,"有送到囉~
謝謝"
User,屏市/井田屋(RWJBGXX00),2024/01/05,13:39:22,收到了謝謝您
User,屏市/井田屋(RWJBGXX00),2024/02/04,22:08:08,鯖魚一件
Account,自動回應訊息,2024/02/04,22:08:08,貼圖已傳送
Account,自動回應訊息,2024/02/04,22:08:08,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/02/05,08:40:23,"老闆 您好
明天請司機您送過去~"
User,屏市/井田屋(RWJBGXX00),2024/02/23,03:56:40,鯖魚一件謝謝
Account,自動回應訊息,2024/02/23,03:56:41,貼圖已傳送
Account,自動回應訊息,2024/02/23,03:56:41,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,屏市/井田屋(RWJBGXX00),2024/03/18,14:07:07,鯖魚一件謝謝
Account,俐均,2024/03/18,14:12:39,貼圖已傳送
User,屏市/井田屋(RWJBGXX00),2024/04/01,15:11:21,鯖魚一件
Account,俐均,2024/04/01,15:15:00,貼圖已傳送
Account,俐均,2024/04/01,15:15:00,貼圖已傳送
Account,林鈺婷,2024/04/11,14:59:21,"老闆娘您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚M 每公斤調漲30元 一箱價格為960元(sparkle)
造成不便，尚請海涵見諒"
User,屏市/井田屋(RWJBGXX00),2024/04/13,01:34:46,4／16鯖魚兩件
Account,自動回應訊息,2024/04/13,01:34:47,貼圖已傳送
Account,自動回應訊息,2024/04/13,01:34:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/井田屋(RWJBGXX00),2024/05/13,14:38:36,鯖魚一件
Account,俐均,2024/05/13,14:44:05,貼圖已傳送
User,屏市/井田屋(RWJBGXX00),2024/05/24,01:30:58,鯖魚一件謝謝
Account,自動回應訊息,2024/05/24,01:30:59,貼圖已傳送
Account,自動回應訊息,2024/05/24,01:30:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/井田屋(RWJBGXX00),2024/06/03,14:08:17,鯖魚一件謝謝
Account,俐均,2024/06/03,14:08:23,貼圖已傳送
Account,林鈺婷,2024/10/14,16:02:26,照片已傳送
User,屏市/井田屋(RWJBGXX00),2024/11/04,17:11:56,請問現在鯖魚一件是多少
Account,林鈺婷,2024/11/04,17:12:56,M的一箱是1120元
User,屏市/井田屋(RWJBGXX00),2024/11/04,17:13:50,收到謝謝您
Account,林鈺婷,2024/11/04,17:19:15,貼圖已傳送
User,屏市/井田屋(RWJBGXX00),2025/02/02,23:51:44,鯖魚一件謝謝您
Account,自動回應訊息,2025/02/02,23:51:45,"(love letter)春節期間公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在2/3(一)初六 陸續安排為您出貨
(snake)敬祝蛇年行大運 財源滾滾來(dollar symbol)"
Account,林鈺婷,2025/02/03,08:56:05,老闆娘早~明天幫您送過去
User,屏市/井田屋(RWJBGXX00),2025/02/04,14:27:26,請問今天何時送到
User,屏市/井田屋(RWJBGXX00),2025/02/04,14:27:46,等等要休息了
Account,林鈺婷,2025/02/04,14:27:55,不好意思~稍等一下，跟司機聯絡中
User,屏市/井田屋(RWJBGXX00),2025/02/04,14:28:09,貼圖已傳送
Account,俐均,2025/02/04,14:29:24,老闆娘您好...司機說上午10點多就送達
User,屏市/井田屋(RWJBGXX00),2025/02/04,14:41:04,可是我沒有收到
Account,俐均,2025/02/04,14:45:16,"老闆娘不好意思
司機送錯地方,請問下午幾點營業呢?我們補送過去"
User,屏市/井田屋(RWJBGXX00),2025/02/04,14:49:07,5:30
Account,俐均,2025/02/04,15:33:13,"不好意思
明天補送過去,謝謝"
User,屏市/井田屋(RWJBGXX00),2025/02/20,20:04:04,鯖魚一件謝謝您
Account,自動回應訊息,2025/02/20,20:04:04,貼圖已傳送
Account,自動回應訊息,2025/02/20,20:04:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/井田屋(RWJBGXX00),2025/04/01,10:54:34,好哦鯖魚一件
Account,俐均,2025/04/01,10:54:40,貼圖已傳送
Account,林鈺婷,2025/04/01,11:10:23,老闆娘不好意思~我們司機今天出門了，明天幫您送過去
User,屏市/井田屋(RWJBGXX00),2025/04/01,11:18:50,好哦謝謝
