帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/07/15,15:39:47,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/07/15,15:39:47,"鄭豐源歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,潮州/潮豐自助餐(TZY5H0000),2024/08/01,23:09:13,無赤虱目魚肚1相
Account,自動回應訊息,2024/08/01,23:09:13,貼圖已傳送
Account,自動回應訊息,2024/08/01,23:09:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/08/02,00:03:58,老闆好，請問您的店名、地址及連絡電話
User,潮州/潮豐自助餐(TZY5H0000),2024/08/02,00:42:30,潮豐
Account,自動回應訊息,2024/08/02,00:42:30,貼圖已傳送
Account,自動回應訊息,2024/08/02,00:42:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/潮豐自助餐(TZY5H0000),2024/08/02,00:42:48,自助餐
Account,自動回應訊息,2024/08/02,00:42:49,貼圖已傳送
Account,自動回應訊息,2024/08/02,00:42:49,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/08/02,08:37:04,老闆您好~請問是要小規格的還是大規格的呢?
User,潮州/潮豐自助餐(TZY5H0000),2024/08/14,22:11:25,"無赤虱目魚肚1,鮭魚1"
Account,自動回應訊息,2024/08/14,22:11:25,貼圖已傳送
Account,自動回應訊息,2024/08/14,22:11:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/潮豐自助餐(TZY5H0000),2024/08/19,23:09:37,"無赤虱目魚肚1,鬼頭刀1"
Account,自動回應訊息,2024/08/19,23:09:38,貼圖已傳送
Account,自動回應訊息,2024/08/19,23:09:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/潮豐自助餐(TZY5H0000),2024/08/26,07:55:17,虱目魚肚1鮭魚1
Account,自動回應訊息,2024/08/26,07:55:17,貼圖已傳送
Account,自動回應訊息,2024/08/26,07:55:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/潮豐自助餐(TZY5H0000),2024/08/29,23:39:07,"虱目魚肚1,鮭魚1"
Account,自動回應訊息,2024/08/29,23:39:08,貼圖已傳送
Account,自動回應訊息,2024/08/29,23:39:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/08/30,00:51:49,老闆好，鮭魚尾缺貨
User,潮州/潮豐自助餐(TZY5H0000),2024/08/30,00:54:03,換鬼頭刀
Account,自動回應訊息,2024/08/30,00:54:04,貼圖已傳送
