帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,三民/江益魚羹(RUME00000),2024/01/05,05:58:51,鹹魚四件，謝謝
Account,自動回應訊息,2024/01/05,05:58:52,貼圖已傳送
Account,自動回應訊息,2024/01/05,05:58:52,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/江益魚羹(RUME00000),2024/01/14,22:19:28,鹹魚四件，謝謝
Account,自動回應訊息,2024/01/14,22:19:28,貼圖已傳送
Account,自動回應訊息,2024/01/14,22:19:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/江益魚羹(RUME00000),2024/01/19,17:26:26,星期一，鹹魚四件，謝謝
Account,林鈺婷,2024/01/19,17:28:14,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/01/28,16:56:36,星期三，鹹魚四件，謝謝
Account,自動回應訊息,2024/01/28,16:56:36,貼圖已傳送
Account,自動回應訊息,2024/01/28,16:56:36,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,三民/江益魚羹(RUME00000),2024/02/01,16:54:10,星期一，鹹魚四件，謝謝
Account,俐均,2024/02/01,16:56:39,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/02/13,18:07:54,鹹魚四件，謝謝
Account,俐均,2024/02/14,08:39:37,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/02/21,17:02:19,鹹魚四件，謝謝
Account,俐均,2024/02/21,17:05:03,貼圖已傳送
Account,王振華,2024/02/22,00:26:13,謝謝老闆娘，星期五會送去
User,三民/江益魚羹(RUME00000),2024/02/22,13:20:50,我今天急需耶......
User,三民/江益魚羹(RUME00000),2024/02/22,13:20:59,今天沒辦法送嗎？
User,三民/江益魚羹(RUME00000),2024/02/22,13:24:41,可以幫忙趕一下嗎？
Account,林鈺婷,2024/02/22,13:33:32,聯絡司機中喔，稍等一下
Account,林鈺婷,2024/02/22,14:01:19,晚點幫您送過去喔
User,三民/江益魚羹(RUME00000),2024/02/22,15:28:21,好的，感謝❤️
User,三民/江益魚羹(RUME00000),2024/02/27,17:29:17,鹹魚四件，星期四送可以，謝謝
Account,俐均,2024/02/27,17:30:49,"老闆娘您好
請問有急用嗎?
幫您安排星期五送好嗎?"
User,三民/江益魚羹(RUME00000),2024/02/27,17:33:58,不好意思，剛好明天會用完，星期五會來不及
Account,俐均,2024/02/27,17:34:22,好的
Account,俐均,2024/02/27,17:34:24,收到
Account,俐均,2024/02/27,17:34:30,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/02/27,17:34:36,對不起，再麻煩你們了！！
User,三民/江益魚羹(RUME00000),2024/02/27,17:35:03,貼圖已傳送
Account,俐均,2024/02/27,17:35:17,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/03/05,17:10:05,鹹魚3件，謝謝
Account,俐均,2024/03/05,17:12:20,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/03/18,04:38:24,鹹魚4件，謝謝
Account,自動回應訊息,2024/03/18,04:38:24,貼圖已傳送
Account,自動回應訊息,2024/03/18,04:38:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,三民/江益魚羹(RUME00000),2024/03/21,05:57:10,鹹魚4件，星期五可以，謝謝
Account,自動回應訊息,2024/03/21,05:57:10,貼圖已傳送
Account,自動回應訊息,2024/03/21,05:57:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,三民/江益魚羹(RUME00000),2024/03/21,16:53:11,抱歉，更改成下星期一再送4箱鹹魚即可，謝謝
Account,俐均,2024/03/21,16:55:40,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/03/24,14:09:47,你好，上次業務有提到可以做土魠魚的魚條，麻煩星期一的時候送100斤過來，謝謝
Account,自動回應訊息,2024/03/24,14:09:48,貼圖已傳送
Account,自動回應訊息,2024/03/24,14:09:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,王振華,2024/03/25,00:32:08,老闆好，先瞭解您的規格，核算成本再跟您報價
User,三民/江益魚羹(RUME00000),2024/03/25,16:10:15,"如果明天有貨，那就麻煩明天送3箱鹹魚過來
如果還沒有貨，明天就先送一箱無骨的，並再看看星期三會不會有貨，謝謝"
Account,俐均,2024/03/25,16:11:10,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/03/26,16:57:07,請問明天有貨嗎？
User,三民/江益魚羹(RUME00000),2024/03/26,16:57:59,鹹魚有骨的，如果有貨送4箱，如果沒有送1箱，謝謝
Account,林鈺婷,2024/03/26,17:35:29,貼圖已傳送
User,三民/江益魚羹(RUME00000),2024/04/11,11:52:03,星期一，鹹魚4件，謝謝
Account,俐均,2024/04/11,11:52:26,貼圖已傳送
