帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,新北/好味道排骨大王(CJ2QE2J00,2024/01/13,22:57:30,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,自動回應訊息,2024/01/13,22:57:31,貼圖已傳送
Account,自動回應訊息,2024/01/13,22:57:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,新北/好味道排骨大王(CJ2QE2J00,2024/01/31,10:39:12,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,俐均,2024/01/31,10:41:51,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/01/31,11:17:21,貼圖已傳送
Account,俐均,2024/01/31,11:25:51,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/02/19,23:38:05,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,自動回應訊息,2024/02/19,23:38:05,貼圖已傳送
Account,自動回應訊息,2024/02/19,23:38:05,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/07,15:20:37,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,俐均,2024/03/07,15:21:27,"老闆您好
明天幫您寄好嗎?"
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/07,15:21:42,後天會到那
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/07,15:21:45,嗎
Account,俐均,2024/03/07,15:21:50,會喔
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/07,15:21:55,可以
Account,俐均,2024/03/07,15:22:06,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/07,15:22:07,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/15,10:36:58,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,俐均,2024/03/15,10:52:55,今天寄出
Account,俐均,2024/03/15,10:52:59,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/03/15,10:53:09,謝謝
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/01,12:46:33,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,俐均,2024/04/01,13:01:19,貼圖已傳送
Account,林鈺婷,2024/04/11,11:37:55,"老闆您好，因大環境成本持續上漲，本公司不得已調整鯖魚價格，
(sparkle)自4/18(四)起，鯖魚S 每公斤調漲20元 一箱價格為920元(sparkle)
造成不便，尚請海涵見諒"
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:40:11,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:42:11,4/18後含運是3960對嗎
Account,林鈺婷,2024/04/11,11:43:05,是的喔~不好意思
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:45:23,那可以幫我出8箱嗎
Account,林鈺婷,2024/04/11,11:46:46,今天幫您寄可以嗎?
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:47:10,12箱好了
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:47:27,3640*3=10920對嗎
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:47:41,可以
Account,俐均,2024/04/11,11:52:50,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:53:48,金額沒錯吧
Account,俐均,2024/04/11,11:57:21,對的
User,新北/好味道排骨大王(CJ2QE2J00,2024/04/11,11:57:33,貼圖已傳送
Account,俐均,2024/04/11,11:57:40,貼圖已傳送
Account,林鈺婷,2024/05/31,11:54:05,照片已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/07/08,11:53:08,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,俐均,2024/07/08,11:53:15,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/07/08,11:53:18,3960對嗎
Account,俐均,2024/07/08,11:57:57,"是的
謝謝"
User,新北/好味道排骨大王(CJ2QE2J00,2024/07/08,11:58:05,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/07/26,13:39:47,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,林鈺婷,2024/07/26,14:02:28,下星期一幫您寄喔 謝謝
User,新北/好味道排骨大王(CJ2QE2J00,2024/07/26,15:52:12,好
Account,俐均,2024/07/29,11:31:20,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/08/13,11:52:33,"我想訂薄鹽鯖魚s號的4箱
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,林鈺婷,2024/08/13,12:03:17,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/09/05,11:16:42,"我想訂薄鹽鯖魚s號的4箱
共3960
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,林鈺婷,2024/09/05,11:23:21,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/09/30,19:08:00,"我想訂薄鹽鯖魚s號的4箱
共3960
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,自動回應訊息,2024/09/30,19:08:01,貼圖已傳送
Account,自動回應訊息,2024/09/30,19:08:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新北/好味道排骨大王(CJ2QE2J00,2024/09/30,19:08:18,颱風過寄就可以
Account,自動回應訊息,2024/09/30,19:08:19,貼圖已傳送
Account,自動回應訊息,2024/09/30,19:08:19,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/01,12:46:54,請問魚出貨了嗎？
Account,林鈺婷,2024/10/01,12:47:34,我們今天颱風假休息，還沒寄出喔
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/01,12:47:37,我怕來的時候停班課，我們也休息
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/01,12:48:01,沒關係，等颱風走在出貨就好
Account,林鈺婷,2024/10/04,11:42:14,老闆不好意思~因為今天物流休息沒有收貨，安排下星期一幫您寄出
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/04,11:42:53,好的，您們辛苦了
Account,林鈺婷,2024/10/04,11:43:18,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/08,12:35:06,請問魚幫我寄出了嗎
Account,俐均,2024/10/08,12:36:56,"老闆好
昨天有寄出"
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/08,12:37:15,謝謝
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/08,12:37:16,貼圖已傳送
Account,俐均,2024/10/08,12:37:20,貼圖已傳送
Account,林鈺婷,2024/10/14,15:58:31,照片已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/14,20:17:36,這樣S的1箱多少
Account,自動回應訊息,2024/10/14,20:17:37,貼圖已傳送
Account,自動回應訊息,2024/10/14,20:17:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/10/15,01:26:42,老闆好，1箱1040元
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/25,10:50:54,"我想訂薄鹽鯖魚s號的20箱
共19800
新北市永和區中正路548-2號
好味道排骨大王0223883877"
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/25,10:59:55,11/1起4箱4160含運280共4440
Account,俐均,2024/10/25,11:00:57,"老闆好
請問明天店裡有人可以收貨嗎?"
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/25,11:01:51,有
Account,俐均,2024/10/25,11:03:31,"收到
今天幫您寄出
謝謝"
User,新北/好味道排骨大王(CJ2QE2J00,2024/10/25,11:03:43,貼圖已傳送
Account,俐均,2024/10/25,11:04:36,貼圖已傳送
Account,林鈺婷,2024/11/07,11:21:37,您好，因為雙11期間，貨運物流量較大，因此訂單可能會有延遲到貨的情況。如有需求，建議提前下單~謝謝
User,新北/好味道排骨大王(CJ2QE2J00,2025/02/21,13:48:33,"我想訂薄鹽鯖魚s號的4箱

新北市永和區中正路548-2號
好味道排骨大王0223883877"
User,新北/好味道排骨大王(CJ2QE2J00,2025/02/21,13:48:43,這樣多少錢
Account,林鈺婷,2025/02/21,14:02:00,SUP6CL3
Account,林鈺婷,2025/02/21,14:02:18,您好~這樣總共4440元，請問今天幫您寄方便嗎?
User,新北/好味道排骨大王(CJ2QE2J00,2025/02/21,14:02:52,好的，現在1箱是多少
Account,林鈺婷,2025/02/21,14:04:39,現在一箱是1040元
User,新北/好味道排骨大王(CJ2QE2J00,2025/02/21,14:06:07,"我想訂薄鹽鯖魚s號的4箱
4160+運費280=4440
新北市永和區中正路548-2號
好味道排骨大王0223883877"
User,新北/好味道排骨大王(CJ2QE2J00,2025/02/21,14:06:10,貼圖已傳送
Account,林鈺婷,2025/02/21,14:06:15,貼圖已傳送
Account,林鈺婷,2025/02/21,14:06:20,今天幫您寄出喔
User,新北/好味道排骨大王(CJ2QE2J00,2025/02/21,14:06:27,好的
Account,林鈺婷,2025/02/21,14:07:47,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2025/03/20,14:44:25,"我想訂薄鹽鯖魚s號的4箱
4160+運費280=4440
新北市永和區中正路548-2號
好味道排骨大王0223883877"
Account,林鈺婷,2025/03/20,14:46:56,貼圖已傳送
User,新北/好味道排骨大王(CJ2QE2J00,2025/03/20,14:48:06,貼圖已傳送
