帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,長治/進來旺(RXJY5H000),2024/01/07,17:06:44,你好 明天要一箱銀鯰魚跟一箱花椰菜 謝謝(謝謝)
Account,自動回應訊息,2024/01/07,17:06:44,貼圖已傳送
Account,自動回應訊息,2024/01/07,17:06:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/01/14,14:38:54,你好 明天要一箱銀鯰魚跟一箱花椰菜還有上次拿的烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/01/14,14:38:54,貼圖已傳送
Account,自動回應訊息,2024/01/14,14:38:54,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/01/21,16:29:04,你好 明天要一箱銀鯰魚跟一箱花椰菜還有上次拿的烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/01/21,16:29:04,貼圖已傳送
Account,自動回應訊息,2024/01/21,16:29:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/01/28,16:52:06,你好 明天要一箱銀鯰魚跟一箱花椰菜還有一箱烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/01/28,16:52:06,貼圖已傳送
Account,自動回應訊息,2024/01/28,16:52:06,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/02/15,01:10:43,你好 明天要一箱銀鯰魚跟一箱花椰菜還有一箱烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/02/15,01:10:44,貼圖已傳送
Account,自動回應訊息,2024/02/15,01:10:44,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/02/22,01:17:03,你好 明天要一箱銀鯰魚跟一箱花椰菜還有一箱烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/02/22,01:17:04,貼圖已傳送
Account,自動回應訊息,2024/02/22,01:17:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/03/03,14:51:48,你好 明天要一箱銀鯰魚跟一箱花椰菜還有一箱烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/03/03,14:51:49,貼圖已傳送
Account,自動回應訊息,2024/03/03,14:51:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/進來旺(RXJY5H000),2024/03/11,08:30:07,你好 今天要一箱銀鯰魚跟一箱花椰菜還有一箱烏魚 謝謝(謝謝)
Account,林鈺婷,2024/03/11,08:31:13,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/03/18,08:49:35,今天要一箱烏魚 一箱鬼頭刀 一箱花椰菜 謝謝(謝謝)
Account,林鈺婷,2024/03/18,08:58:26,老闆早~請問鬼頭刀要哪一種的?
User,長治/進來旺(RXJY5H000),2024/03/18,09:17:43,有哪幾種呢 還是可能就麻煩他帶來看一下
User,長治/進來旺(RXJY5H000),2024/03/18,09:17:48,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/03/18,09:18:14,可能跟烏魚的尺寸差不多之類的 因為他之前有拿來不過不知道多大
Account,林鈺婷,2024/03/18,09:18:37,好的~我再請司機一起帶過去給您看一下
User,長治/進來旺(RXJY5H000),2024/03/18,09:18:47,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/03/25,08:54:20,你好 今天要一箱銀鯰魚跟一箱花椰菜還有一箱烏魚 謝謝(謝謝)
Account,林鈺婷,2024/03/25,09:01:40,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/04/07,16:36:26,明天要 一箱花椰菜 一箱銀鯰魚 一箱烏魚 謝謝(謝謝)
Account,自動回應訊息,2024/04/07,16:36:26,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,長治/進來旺(RXJY5H000),2024/04/15,09:04:23,今天要 一箱花椰菜 一箱銀鯰魚 一箱烏魚 謝謝(謝謝) 還來得及嗎🥲
Account,俐均,2024/04/15,09:11:55,老闆您好
Account,俐均,2024/04/15,09:11:57,可以喔
Account,俐均,2024/04/15,09:12:00,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/04/15,09:12:24,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/04/22,08:02:32,今天要 一箱花椰菜 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/04/22,08:02:33,貼圖已傳送
Account,自動回應訊息,2024/04/22,08:02:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/04/29,04:35:07,今天要 一箱花椰菜 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/04/29,04:35:07,貼圖已傳送
Account,自動回應訊息,2024/04/29,04:35:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/05/06,07:58:59,今天要 一箱花椰菜 一箱銀鯰魚 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/05/06,07:58:59,貼圖已傳送
Account,自動回應訊息,2024/05/06,07:58:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/05/13,08:05:59,今天要 一箱花椰菜 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/05/13,08:05:59,貼圖已傳送
Account,自動回應訊息,2024/05/13,08:05:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/05/16,08:25:20,今天要 一箱花椰菜 一箱銀鯰魚 一箱烏魚 謝謝(謝謝) 
Account,林鈺婷,2024/05/16,08:28:03,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/05/23,08:07:30,你好～今天要 一箱花椰菜 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/05/23,08:07:31,貼圖已傳送
Account,自動回應訊息,2024/05/23,08:07:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/05/30,07:03:49,今天要 一箱花椰菜 一箱銀鯰魚 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/05/30,07:03:50,貼圖已傳送
Account,自動回應訊息,2024/05/30,07:03:50,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/06/13,08:06:08,今天要 一箱花椰菜 一箱烏魚 謝謝(謝謝) 
Account,自動回應訊息,2024/06/13,08:06:08,貼圖已傳送
Account,自動回應訊息,2024/06/13,08:06:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/06/13,08:21:39,"老闆您好
烏魚目前缺貨"
User,長治/進來旺(RXJY5H000),2024/06/13,08:24:06,那改一箱銀鯰魚 謝謝(謝謝) 
Account,林鈺婷,2024/06/13,08:28:14,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/06/24,08:03:22,今天要 一箱花椰菜 一箱烏魚 謝謝(謝謝)  烏魚沒貨的話就銀鯰魚一箱 ～
Account,自動回應訊息,2024/06/24,08:03:22,貼圖已傳送
Account,自動回應訊息,2024/06/24,08:03:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/06/24,08:30:36,老闆烏魚目前沒貨，先幫您送銀鯰魚過去喔
User,長治/進來旺(RXJY5H000),2024/06/24,08:31:26,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/07/01,08:36:08,今天要 一箱花椰菜 一箱銀鯰魚 謝謝(謝謝) 
Account,林鈺婷,2024/07/01,08:44:41,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/07/08,09:34:19,想問一下那個鯛魚片一箱的價格 感謝你(emoji)
Account,俐均,2024/07/08,09:39:15,"老闆好
特級鯛魚片200/250G單片100元
30入/箱"
User,長治/進來旺(RXJY5H000),2024/07/08,09:44:39,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/07/11,07:29:09,今天要 一箱花椰菜 一箱銀鯰魚 謝謝(謝謝) 
Account,自動回應訊息,2024/07/11,07:29:10,貼圖已傳送
Account,自動回應訊息,2024/07/11,07:29:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/07/22,08:40:45,今天要 一箱花椰菜 一箱銀鯰魚 謝謝(謝謝) 
Account,林鈺婷,2024/07/22,08:49:05,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/08/01,08:03:12,今天要 一箱花椰菜 一箱銀鯰魚 謝謝(謝謝) 
Account,自動回應訊息,2024/08/01,08:03:12,貼圖已傳送
Account,自動回應訊息,2024/08/01,08:03:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/08/08,07:33:09,今天要 一箱白花椰菜、一箱綠花椰菜、一箱銀鯰魚 謝謝(謝謝) 
Account,自動回應訊息,2024/08/08,07:33:10,貼圖已傳送
Account,自動回應訊息,2024/08/08,07:33:10,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,長治/進來旺(RXJY5H000),2024/08/08,08:26:53,另外請問一下一箱苦瓜多少錢呢
Account,林鈺婷,2024/08/08,08:27:29,您好~目前只有散裝的，一箱550元喔
User,長治/進來旺(RXJY5H000),2024/08/08,08:28:04,那再一箱苦瓜 謝謝(謝謝)
Account,林鈺婷,2024/08/08,08:28:49,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/08/15,08:51:20,今天要 一箱白花椰菜、一箱綠花椰菜、一箱苦瓜 謝謝(謝謝) 
Account,俐均,2024/08/15,08:52:23,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/08/19,08:46:56,今天要 一箱銀鯰魚就好 謝謝(謝謝) 
Account,俐均,2024/08/19,08:48:59,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/08/26,08:48:12,今天要 一箱銀鯰魚、一箱白花椰菜 謝謝(謝謝) 
Account,林鈺婷,2024/08/26,09:04:29,貼圖已傳送
User,長治/進來旺(RXJY5H000),2024/08/29,09:01:27,今天要一箱白花椰菜 一箱苦瓜 謝謝(謝謝) 不好意思有點晚(emoji)
Account,林鈺婷,2024/08/29,09:03:37,老闆不好意思~我們苦瓜新近的一批有漲價，一箱700元，請問有需要嗎?
User,長治/進來旺(RXJY5H000),2024/08/29,09:18:50,貼圖已傳送
