帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:10
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/23,11:57:26,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/23,11:57:26,"毓翔🐻歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏東市/虹美廚房(CATZ00000),2024/04/23,11:57:41,Hi
Account,林鈺婷,2024/04/23,11:57:55,您好~
User,屏東市/虹美廚房(CATZ00000),2024/04/23,11:59:59,"虹美廚房
(08)7385101~2
屏東縣屏東市豐榮街32號"
User,屏東市/虹美廚房(CATZ00000),2024/04/23,12:03:01,4/26 鯖魚8箱
User,屏東市/虹美廚房(CATZ00000),2024/04/23,12:03:05,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/04/23,12:04:58,3號秋刀魚3箱 
Account,林鈺婷,2024/04/23,12:05:22,不好意思~我們目前只有秋刀4號
User,屏東市/虹美廚房(CATZ00000),2024/04/23,12:05:46,4號秋刀魚3箱
User,屏東市/虹美廚房(CATZ00000),2024/04/23,12:07:28,"不好意思 我整理一下 
4/26
鯖魚10箱
4號秋刀魚3箱"
User,屏東市/虹美廚房(CATZ00000),2024/04/23,12:07:37,確定了 謝謝
Account,林鈺婷,2024/04/23,12:15:49,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/05/02,12:33:18,"5/7  星期二
虹美廚房
鯖魚8箱"
Account,俐均,2024/05/02,12:38:04,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/05/13,11:33:07,"5/14 虹美廚房
鯖魚8箱
秋刀魚3箱"
Account,俐均,2024/05/13,11:41:50,貼圖已傳送
Account,俐均,2024/05/13,12:03:30,"請問統編10888759
正確嗎?"
Account,俐均,2024/05/13,12:04:34,台頭是虹美廚房嗎?
User,屏東市/虹美廚房(CATZ00000),2024/05/13,13:58:41,是的
Account,俐均,2024/05/13,14:01:03,貼圖已傳送
Account,林鈺婷,2024/05/14,09:14:12,請問你們是抬頭是虹美廚坊還是虹美廚房
User,屏東市/虹美廚房(CATZ00000),2024/05/14,09:15:18,坊
Account,林鈺婷,2024/05/14,09:17:42,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/05/17,13:05:32,"5/21 虹美廚坊
鯖魚s號8箱"
Account,俐均,2024/05/17,14:03:08,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/05/24,11:26:52,"5/28 虹美廚坊
鯖魚s號10箱
秋刀魚2箱"
Account,林鈺婷,2024/05/24,11:46:39,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/06/03,11:51:37,"6/4（二）虹美廚坊
鯖魚s號4箱"
Account,俐均,2024/06/03,11:53:31,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/06/11,12:43:53,"6/14 （五）虹美廚坊
秋刀魚3箱
鯖魚s號8箱"
Account,俐均,2024/06/11,12:44:03,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/06/11,12:47:15,請問一下有扁魚干嗎
Account,俐均,2024/06/11,12:49:03,"老闆娘不好意思
我們沒有扁魚干"
User,屏東市/虹美廚房(CATZ00000),2024/06/11,14:04:57,貼圖已傳送
Account,俐均,2024/06/11,14:05:55,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/06/18,22:33:15,"6/21 虹美廚坊
鯖魚s號10箱"
Account,自動回應訊息,2024/06/18,22:33:15,貼圖已傳送
Account,自動回應訊息,2024/06/18,22:33:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏東市/虹美廚房(CATZ00000),2024/06/28,11:15:45,"7/2 虹美廚坊
秋刀魚2箱
鯖魚s號8箱"
Account,俐均,2024/06/28,11:16:01,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/07/08,11:52:54,"7/9 虹美廚坊
鯖魚s號10箱"
Account,俐均,2024/07/08,11:53:25,貼圖已傳送
User,屏東市/虹美廚房(CATZ00000),2024/07/15,12:31:03,"7/16 （二）虹美廚坊
鯖魚s號8箱
秋刀魚2箱"
