帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/01,12:08:17,白花菜一箱
Account,俐均,2024/01/02,08:44:25,貼圖已傳送
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:01:38,白花菜一箱
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:02:07,照片已傳送
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:02:27,魚一箱
Account,俐均,2024/01/04,14:02:32,貼圖已傳送
Account,俐均,2024/01/04,14:03:38,老闆娘您好
Account,俐均,2024/01/04,14:03:46,白花菜要不要送2件
Account,俐均,2024/01/04,14:03:52,會有折扣
Account,俐均,2024/01/04,14:03:55,100元
Account,俐均,2024/01/04,14:04:06,青花菜也可以
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:05:06,那個+1
Account,俐均,2024/01/04,14:09:49,白花嗎?
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:14:38,1白+1青
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:15:16,兩箱1000塊對嗎
Account,林鈺婷,2024/01/04,14:16:17,兩箱花椰菜有再加購一個品項的話是1000元沒錯
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/04,14:17:13,Ok
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/15,11:52:52,想問你們銀魚現在一盒多少
Account,林鈺婷,2024/01/15,11:55:04,照片已傳送
Account,林鈺婷,2024/01/15,11:55:27,我們目前是這種野生銀魚(水晶魚)
Account,林鈺婷,2024/01/15,12:04:25,"有分大規格(大約6公分)和小規格(大約3公分)
一盒都是300克150元"
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/15,12:15:03,白花一箱青花一箱
Account,林鈺婷,2024/01/15,12:19:14,貼圖已傳送
Account,林鈺婷,2024/01/15,12:32:30,老闆娘不好意思~我們白花菜目前沒有小包裝的，散裝的可以嗎?
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/15,14:08:04,那目前都不要有在送就好
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/15,14:08:19,小包比較好用
Account,林鈺婷,2024/01/15,14:08:54,貼圖已傳送
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/18,20:11:37,照片已傳送
Account,自動回應訊息,2024/01/18,20:11:38,貼圖已傳送
Account,自動回應訊息,2024/01/18,20:11:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/18,20:11:50,請問你們有這個嗎
Account,自動回應訊息,2024/01/18,20:11:51,貼圖已傳送
Account,自動回應訊息,2024/01/18,20:11:51,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/18,20:11:56,什麼賣
Account,自動回應訊息,2024/01/18,20:11:56,貼圖已傳送
Account,自動回應訊息,2024/01/18,20:11:56,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,東港/黑祥鮮魚湯(CVVMW0001),2024/01/18,20:12:33,明天有白花跟青花嗎各一
Account,自動回應訊息,2024/01/18,20:12:34,貼圖已傳送
