帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,東港/臨海釣具店(XC2R20000),2024/01/02,07:52:02,"秋刀魚3號
1箱
謝謝"
Account,自動回應訊息,2024/01/02,07:52:03,貼圖已傳送
Account,自動回應訊息,2024/01/02,07:52:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,東港/臨海釣具店(XC2R20000),2024/01/12,08:11:13,"秋刀魚3號
1箱
謝謝"
Account,自動回應訊息,2024/01/12,08:11:13,貼圖已傳送
Account,自動回應訊息,2024/01/12,08:11:13,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/12,08:28:29,老闆早~之前的秋刀3號已經售完，今天請司機帶另外一種過去給您看看
User,東港/臨海釣具店(XC2R20000),2024/01/12,08:29:55,好
Account,林鈺婷,2024/01/12,08:30:15,貼圖已傳送
User,東港/臨海釣具店(XC2R20000),2024/01/12,08:30:20,貼圖已傳送
User,東港/臨海釣具店(XC2R20000),2024/01/29,22:24:34,"秋刀魚3號
1箱
謝謝"
Account,自動回應訊息,2024/01/29,22:24:34,貼圖已傳送
Account,自動回應訊息,2024/01/29,22:24:34,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/29,23:11:02,老闆娘好，秋刀魚目前只有4號的
User,東港/臨海釣具店(XC2R20000),2024/01/29,23:11:22,👌
User,東港/臨海釣具店(XC2R20000),2024/01/29,23:11:27,可以
User,東港/臨海釣具店(XC2R20000),2024/01/29,23:11:46,請問什麼時候會有3號？
Account,王振華,2024/01/29,23:26:05,目前還不確定，抱歉
User,東港/臨海釣具店(XC2R20000),2024/01/29,23:27:21,"了解！
明天麻煩給我一箱秋刀魚4號.謝謝！"
Account,王振華,2024/01/29,23:29:40,貼圖已傳送
User,東港/臨海釣具店(XC2R20000),2024/01/29,23:29:58,貼圖已傳送
Account,自動回應訊息,2024/01/29,23:29:59,貼圖已傳送
