帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/06/27,12:07:10,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/06/27,12:07:10,"葉麗瓊歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/06/27,12:07:17,貼圖已傳送
Account,俐均,2024/06/27,12:07:36,老闆娘您好
Account,俐均,2024/06/27,12:07:40,請問店名
User,仁武/鑫萬三早午餐(VJNYJH000),2024/06/27,12:14:00,仁武萬三
Account,俐均,2024/06/27,14:47:03,請問有電話地址嗎?
User,仁武/鑫萬三早午餐(VJNYJH000),2024/06/27,15:38:50,"07-3734484
高雄市仁武區鳳仁路170之2號"
Account,俐均,2024/06/27,15:52:38,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/07,11:33:34,"鯖魚*2
鮭魚1
冷凍青花2件
星期二到"
Account,自動回應訊息,2024/07/07,11:33:35,貼圖已傳送
Account,自動回應訊息,2024/07/07,11:33:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/08,11:43:19,"鯖魚*2
鮭魚2
冷凍青花2件
星期二到"
Account,俐均,2024/07/08,11:56:07,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/10,13:42:59,鮭魚1箱
Account,俐均,2024/07/10,14:05:31,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/15,09:44:11,"鯖魚*2
三色豆1件
冷凍白花2件"
Account,林鈺婷,2024/07/15,09:49:52,明天幫您送過去喔謝謝🙏
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/15,09:58:08,👌謝謝
Account,俐均,2024/07/15,11:43:18,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/23,04:51:11,"鯖魚*2
冷凍三色豆1件"
Account,自動回應訊息,2024/07/23,04:51:11,貼圖已傳送
Account,自動回應訊息,2024/07/23,04:51:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/07/31,14:24:30,鯖魚*2
Account,俐均,2024/07/31,14:24:41,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/05,09:32:36,"冷凍三色豆1件
冷凍青花1件"
Account,林鈺婷,2024/08/05,09:33:54,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/12,13:48:27,"冷凍青花1件
冷凍三色豆1件"
Account,林鈺婷,2024/08/12,14:00:58,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/14,13:42:57,"冷凍青花1件
鯖魚1"
Account,林鈺婷,2024/08/14,14:00:39,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/19,09:40:17,請問肉魚1箱的價格是多少？
Account,俐均,2024/08/19,09:44:59,"老闆娘您好
肉魚120/150 一箱10公斤 1350元"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/19,09:52:12,知道了 謝謝
Account,俐均,2024/08/19,10:01:34,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/21,17:29:06,"冷凍三色豆1件
冷凍青花1件"
Account,林鈺婷,2024/08/21,17:29:32,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/27,12:56:36,"冷凍青花1件
鯖魚2箱"
Account,俐均,2024/08/27,14:03:57,"老闆娘好
請問有急用嗎?
星期四幫您送"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/27,14:18:59,👌
Account,俐均,2024/08/27,14:20:53,貼圖已傳送
Account,俐均,2024/08/27,14:22:07,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/08/29,13:40:45,星期二叫的貨怎麼沒有送來？
Account,林鈺婷,2024/08/29,14:03:47,老闆娘您好~今天有幫您安排送貨喔
Account,林鈺婷,2024/09/02,11:38:40,"三色豆*1箱
青花菜*1箱
鯖魚一箱"
Account,林鈺婷,2024/09/02,11:39:05,"明天幫您送過去喔，老闆娘麻煩以後叫貨傳這邊喔
另外戎的魚店的帳號是給一般散客用的"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/02,11:58:31,哈哈😂
Account,俐均,2024/09/02,12:57:23,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/09,12:27:59,"星期二到
鯖魚
青花1件
四季豆1件
冷凍玉米粒5包"
Account,俐均,2024/09/09,12:44:45,"老闆娘好
請問鯖魚1件嗎?"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/09,12:45:45,對
Account,俐均,2024/09/09,12:45:59,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/11,14:00:33,鯖魚1
Account,林鈺婷,2024/09/11,15:00:04,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/18,13:50:18,"冷凍青花1件
冷凍皇帝豆*3包
冷凍三色豆1件
鰈魚1
鯖魚1"
Account,俐均,2024/09/18,14:19:46,"老闆娘好
鰈魚100/120的規格目前缺貨中,幫您送120/150的規格好嗎?"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/18,15:37:30,不要，等有貨再送了
Account,林鈺婷,2024/09/18,15:44:34,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/23,13:56:51,"冷凍青花1件
冷凍白花1件"
Account,林鈺婷,2024/09/23,14:03:07,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/24,10:00:22,追加魚塊1箱、鬼頭刀1 箱
Account,林鈺婷,2024/09/24,10:13:09,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/09/25,14:06:17,"鯖魚2
三色豆1件

另一單：冰心地瓜1kg 付現"
Account,林鈺婷,2024/09/25,14:06:28,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/10/07,13:54:19,"冷凍玉米粒5包
冷凍青花1件
鯖魚1箱"
User,仁武/鑫萬三早午餐(VJNYJH000),2024/10/07,14:06:40,知道
Account,林鈺婷,2024/10/07,14:09:23,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/10/14,09:20:36," 星期二到：
冷凍白花1件
冷凍三色豆1件
鯖魚1"
Account,林鈺婷,2024/10/14,09:26:37,貼圖已傳送
User,仁武/鑫萬三早午餐(VJNYJH000),2024/10/16,14:34:56,鯖魚2
Account,林鈺婷,2024/10/16,14:42:33,貼圖已傳送
