帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,前金/新味精緻便當(VJR512000),2024/01/02,15:01:32,"鯖魚四
台灣玉米粒一箱"
User,前金/新味精緻便當(VJR512000),2024/01/02,15:01:46,"鯖魚四
台灣甜玉米粒一箱"
Account,林鈺婷,2024/01/02,15:03:24,貼圖已傳送
User,前金/新味精緻便當(VJR512000),2024/01/04,15:58:43,"鯖魚四
台灣甜玉米粒一箱"
Account,林鈺婷,2024/01/04,15:59:28,貼圖已傳送
User,前金/新味精緻便當(VJR512000),2024/01/04,16:00:57,你們還沒有肉魚嗎
Account,俐均,2024/01/04,16:01:26,"老闆娘您好
目前還是缺貨"
User,前金/新味精緻便當(VJR512000),2024/01/06,23:19:52,鯖魚四
Account,自動回應訊息,2024/01/06,23:19:53,貼圖已傳送
Account,自動回應訊息,2024/01/06,23:19:53,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前金/新味精緻便當(VJR512000),2024/01/09,10:15:33,不要再給我瘦的魚
User,前金/新味精緻便當(VJR512000),2024/01/09,10:15:57,我要11月12月的魚
User,前金/新味精緻便當(VJR512000),2024/01/09,10:16:20,現在還有9月的魚
User,前金/新味精緻便當(VJR512000),2024/01/09,10:16:45,照片已傳送
Account,林鈺婷,2024/01/09,10:32:04,老闆娘不好意思～明天過去跟您換
User,前金/新味精緻便當(VJR512000),2024/01/09,15:34:11,鯖魚四
Account,林鈺婷,2024/01/09,15:34:23,貼圖已傳送
User,前金/新味精緻便當(VJR512000),2024/01/09,15:35:17,玉米一箱
Account,林鈺婷,2024/01/09,15:41:06,貼圖已傳送
User,前金/新味精緻便當(VJR512000),2024/01/11,22:21:49,鯖魚四
Account,自動回應訊息,2024/01/11,22:21:49,貼圖已傳送
Account,自動回應訊息,2024/01/11,22:21:49,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前金/新味精緻便當(VJR512000),2024/01/12,18:30:59,你們的玉米又換了嗎
Account,自動回應訊息,2024/01/12,18:30:59,貼圖已傳送
Account,自動回應訊息,2024/01/12,18:30:59,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前金/新味精緻便當(VJR512000),2024/01/12,18:31:17,有一個味道
Account,自動回應訊息,2024/01/12,18:31:18,貼圖已傳送
Account,自動回應訊息,2024/01/12,18:31:18,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前金/新味精緻便當(VJR512000),2024/01/12,18:31:43,我剩下的玉米都退給你們
Account,自動回應訊息,2024/01/12,18:31:44,貼圖已傳送
