帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,武聖（988）,2024/05/14,17:42:53,貼圖已傳送
User,武聖（988）,2025/04/15,20:49:00,前鎮搶先雞 明天要海苔柳葉魚一箱
Account,自動回應訊息,2025/04/15,20:49:00,貼圖已傳送
Account,自動回應訊息,2025/04/15,20:49:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/15,20:50:15,"2箱日式豬排
3箱咕咾肉
蓁寶 看能不能明天送"
Account,自動回應訊息,2025/04/15,20:50:16,貼圖已傳送
Account,自動回應訊息,2025/04/15,20:50:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/15,23:10:46,豬耳朵二包，烏郭魚40p一箱，芋頭二包，佳珍
Account,自動回應訊息,2025/04/15,23:10:46,貼圖已傳送
Account,自動回應訊息,2025/04/15,23:10:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/15,23:12:30,好味道 魷味條二包 鯖魚一箱
Account,自動回應訊息,2025/04/15,23:12:31,貼圖已傳送
Account,自動回應訊息,2025/04/15,23:12:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/16,07:13:02,照片已傳送
Account,自動回應訊息,2025/04/16,07:13:03,貼圖已傳送
Account,自動回應訊息,2025/04/16,07:13:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/16,07:17:50,越南肉魚1.2號各一箱 白口魚6.7號各一箱 蒲燒腹排75P一箱 無骨🐔排60P一箱 自帶🙏
Account,自動回應訊息,2025/04/16,07:17:51,貼圖已傳送
Account,自動回應訊息,2025/04/16,07:17:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/16,08:11:14,追加鯖魚M號4K的一盒
Account,自動回應訊息,2025/04/16,08:11:15,貼圖已傳送
Account,自動回應訊息,2025/04/16,08:11:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/16,08:12:27,看能不能今天出貨
Account,自動回應訊息,2025/04/16,08:12:28,貼圖已傳送
Account,自動回應訊息,2025/04/16,08:12:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/16,11:47:21,三民區上好自助餐明天要鯖魚三箱
Account,俐均,2025/04/16,11:49:06,貼圖已傳送
User,武聖（988）,2025/04/16,12:32:33,楠梓區新都自助餐明天要秋刀2號一箱
Account,☆羅惠君☆,2025/04/16,12:53:03,貼圖已傳送
User,武聖（988）,2025/04/17,07:35:15,鯖魚160/200 130/160 200/240 100/130都五K各一箱 黑鯧4/5 3/4各一箱 烏魚少赤130/160一箱 特級鱸魚280/320片五片 永新厚切豬排50P一箱 自帶🙏
Account,自動回應訊息,2025/04/17,07:35:16,貼圖已傳送
Account,自動回應訊息,2025/04/17,07:35:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/17,19:45:27,三民區 福弟 明天要午仔魚一夜干20尾
Account,自動回應訊息,2025/04/17,19:45:28,貼圖已傳送
Account,自動回應訊息,2025/04/17,19:45:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/17,19:46:50,宇詠丞明天要鯖魚整尾五箱
Account,自動回應訊息,2025/04/17,19:46:51,貼圖已傳送
Account,自動回應訊息,2025/04/17,19:46:51,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/17,22:03:27,布穀鳥 要鱸魚50尾
Account,自動回應訊息,2025/04/17,22:03:28,貼圖已傳送
Account,自動回應訊息,2025/04/17,22:03:28,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/18,07:02:33,赤宗200/250一箱 紐奧良腿排50P一箱 白口魚6號一箱 越南肉魚1.2.3號各一箱 自帶🙏
Account,自動回應訊息,2025/04/18,07:02:34,貼圖已傳送
Account,自動回應訊息,2025/04/18,07:02:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/18,07:36:39,再追加鰻魚片10片
Account,自動回應訊息,2025/04/18,07:36:40,貼圖已傳送
Account,自動回應訊息,2025/04/18,07:36:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/18,12:08:14,小味園星期一要鯖魚箱玉米粒一箱
Account,林鈺婷,2025/04/18,12:09:46,貼圖已傳送
User,武聖（988）,2025/04/20,17:59:29,三民區福弟 鰻魚20片 鯖魚一箱
User,武聖（988）,2025/04/21,07:33:31,越南肉魚1號2號各一箱 白帶魚津永4/5一箱 秋刀1號2號各一箱 自帶🙏
Account,自動回應訊息,2025/04/21,07:33:32,貼圖已傳送
Account,自動回應訊息,2025/04/21,07:33:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/21,22:35:35,"4箱日式豬排
4箱咕咾肉
2箱鯖魚130/160 5K
蓁寶"
Account,自動回應訊息,2025/04/21,22:35:35,貼圖已傳送
Account,自動回應訊息,2025/04/21,22:35:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/22,07:53:15,鯖魚160/200 130/160 200/240 100/130都五K各一箱 越南肉魚1號 2號各一箱 白口魚5號 6號各一箱 烏魚少赤130/160一箱 永新厚切豬排50P一箱 自帶🙏
Account,自動回應訊息,2025/04/22,07:53:16,貼圖已傳送
Account,自動回應訊息,2025/04/22,07:53:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/22,22:26:45,前鎮搶先🐔 要海苔柳葉魚一箱
Account,自動回應訊息,2025/04/22,22:26:46,貼圖已傳送
Account,自動回應訊息,2025/04/22,22:26:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/22,22:27:34,豬耳朵二包，烏郭魚40p一箱，芋頭二包，佳珍自助餐
Account,自動回應訊息,2025/04/22,22:27:35,貼圖已傳送
Account,自動回應訊息,2025/04/22,22:27:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,武聖（988）,2025/04/23,08:53:16,扁鱈切丁一包 明谷無骨雞排60P 70P各一箱 炙燒去骨腿排50P的一箱  虱目魚排一箱 冷凍魚排一箱 鐵路大60一箱 小卷圈一箱 自帶🙏
Account,俐均,2025/04/23,09:00:44,貼圖已傳送
User,武聖（988）,2025/04/24,08:30:33,鯖魚160/200 130/160 200/240 100/130 80/100 60/80 都五K各一箱 白口魚5號 6號各一箱 烏魚少赤130/160一箱 自帶🙏
User,武聖（988）,2025/04/24,08:31:09,蓁寶 咕咾肉4箱
Account,林鈺婷,2025/04/24,08:33:10,貼圖已傳送
User,武聖（988）,2025/04/24,21:12:37,京記鮮魚湯  要鱸魚一箱
Account,自動回應訊息,2025/04/24,21:12:38,貼圖已傳送
Account,自動回應訊息,2025/04/24,21:12:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
