帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/10/16,18:54:53,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/10/16,18:54:53,"陳羽庭歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/16,18:55:52,豐闔家自由店
Account,自動回應訊息,2024/10/16,18:55:52,貼圖已傳送
Account,自動回應訊息,2024/10/16,18:55:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/10/17,08:35:03,"老闆您好
"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/17,14:16:26,明天厚切2件
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/17,14:16:28,貼圖已傳送
Account,林鈺婷,2024/10/17,14:16:33,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/20,17:07:28,1件鯖魚
Account,自動回應訊息,2024/10/20,17:07:29,貼圖已傳送
Account,自動回應訊息,2024/10/20,17:07:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/10/20,19:44:35,店長好，請問厚切要嗎？我們星期二沒跑市區
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/20,20:10:24,我星期五有叫兩件了，星期三送2件
Account,自動回應訊息,2024/10/20,20:10:25,貼圖已傳送
Account,自動回應訊息,2024/10/20,20:10:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/10/20,20:11:49,好的，謝謝您
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/22,14:02:48,"厚切+2
感謝"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/22,14:02:51,貼圖已傳送
Account,林鈺婷,2024/10/22,14:04:36,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/24,14:03:09,先不用
Account,俐均,2024/10/24,14:03:20,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/25,13:40:13,"星期一 厚切+2
感謝"
Account,俐均,2024/10/25,15:28:52,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/10/29,19:35:46,"厚切+2 鯖魚+1
感謝"
Account,自動回應訊息,2024/10/29,19:35:46,貼圖已傳送
Account,自動回應訊息,2024/10/29,19:35:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/01,11:03:53,"星期一 厚切+2
感謝"
Account,林鈺婷,2024/11/01,11:10:44,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/05,14:02:28,先不用，感謝
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/05,14:02:30,貼圖已傳送
Account,林鈺婷,2024/11/05,14:02:33,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/07,14:03:57, 厚切+2  感謝
Account,俐均,2024/11/07,14:15:55,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/07,19:35:54,不好意思我厚切改+3
Account,自動回應訊息,2024/11/07,19:35:55,貼圖已傳送
Account,自動回應訊息,2024/11/07,19:35:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/07,19:35:58,貼圖已傳送
Account,自動回應訊息,2024/11/07,19:35:58,貼圖已傳送
Account,自動回應訊息,2024/11/07,19:35:58,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/10,16:01:16,先不用，感謝
Account,自動回應訊息,2024/11/10,16:01:16,貼圖已傳送
Account,自動回應訊息,2024/11/10,16:01:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:10:36,不好意思今天方便送2箱厚切嗎？
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:10:38,貼圖已傳送
Account,林鈺婷,2024/11/11,12:11:31,因為今天司機都出門了~請問是甚麼時候要用到呢?
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:12:05,那明天可以嗎？
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:12:19,因為臨時有訂單，抱歉
Account,林鈺婷,2024/11/11,12:23:50,您好~今天有幫您調到一箱送過去
Account,林鈺婷,2024/11/11,12:23:59,但司機大約2點多到，可以等他一下嗎?
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:44:47,方便請他幫我放冰箱就好嗎？
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:44:49,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,12:44:50,貼圖已傳送
Account,林鈺婷,2024/11/11,12:48:29,那貨款的部分是下次再跟您收嗎?
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,13:01:26,對，不好意思，因為我們下班了
Account,林鈺婷,2024/11/11,13:01:33,貼圖已傳送
User,左營/豐闔家開伙(ZCRDCYUZZ),2024/11/11,13:01:47,貼圖已傳送
