帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,內埔/清美簡餐(FARH00000),2024/01/11,21:56:28,請問你們玉米粒和豬肉片 一箱售價多少？
Account,自動回應訊息,2024/01/11,21:56:28,貼圖已傳送
Account,自動回應訊息,2024/01/11,21:56:28,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/01/11,23:18:54,"老闆娘好，玉米粒一包一公斤，一箱10包，一包55元，優惠到1月12號
豬肉片一包一公斤，一箱12包，一包160元"
User,內埔/清美簡餐(FARH00000),2024/01/14,14:25:55,"一箱鯖魚
5包玉米粒"
Account,自動回應訊息,2024/01/14,14:25:55,貼圖已傳送
Account,自動回應訊息,2024/01/14,14:25:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/清美簡餐(FARH00000),2024/02/02,01:24:37,幫我送一箱鯖魚感謝🙏🏻
Account,自動回應訊息,2024/02/02,01:24:37,貼圖已傳送
Account,自動回應訊息,2024/02/02,01:24:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/02/02,08:38:15,老闆娘您好~請問有急用嗎?下星期一幫您送過去方便嗎
Account,俐均,2024/02/02,11:48:08,"老闆娘您好
A的目前缺貨
幫您送5K的好嗎?"
User,內埔/清美簡餐(FARH00000),2024/02/02,12:29:57,之前是多大的？
Account,俐均,2024/02/02,12:31:43,"不好意思
目前6K有貨了"
Account,俐均,2024/02/02,12:31:55,剛好今天有產出
User,內埔/清美簡餐(FARH00000),2024/02/02,12:51:46,好
Account,俐均,2024/02/02,14:09:28,貼圖已傳送
User,內埔/清美簡餐(FARH00000),2024/02/04,23:56:12,你好 記得幫我送鯖魚唷🙏🏻
Account,自動回應訊息,2024/02/04,23:56:12,貼圖已傳送
Account,自動回應訊息,2024/02/04,23:56:12,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/清美簡餐(FARH00000),2024/03/11,20:17:04,請問虱目魚肚多大
Account,自動回應訊息,2024/03/11,20:17:04,貼圖已傳送
Account,自動回應訊息,2024/03/11,20:17:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,內埔/清美簡餐(FARH00000),2024/03/11,20:17:24,幫我送鯖魚一箱
Account,自動回應訊息,2024/03/11,20:17:24,貼圖已傳送
Account,自動回應訊息,2024/03/11,20:17:24,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/03/12,00:01:10,老闆娘好，請問您虱目魚肚是要無刺還是有刺的
Account,林鈺婷,2024/03/12,08:45:59,星期四幫您送過去喔
Account,俐均,2024/03/12,09:10:02,有刺的虱目魚肚200~250克
User,內埔/清美簡餐(FARH00000),2024/03/12,10:18:18,我要無刺的
User,內埔/清美簡餐(FARH00000),2024/03/12,10:18:41,它是整支的嗎
User,內埔/清美簡餐(FARH00000),2024/03/12,10:18:53,還是半片的
Account,林鈺婷,2024/03/12,10:27:13,無刺的目前都是整片的喔
User,內埔/清美簡餐(FARH00000),2024/03/12,13:56:51,好幫我也送一箱
Account,俐均,2024/03/12,14:04:41,貼圖已傳送
Account,俐均,2024/03/13,16:26:55,"老闆娘您好
幫您出20片好嗎?
這目前是單包裝的"
User,內埔/清美簡餐(FARH00000),2024/03/14,10:04:38,貼圖已傳送
User,內埔/清美簡餐(FARH00000),2024/03/15,12:33:17,照片已傳送
User,內埔/清美簡餐(FARH00000),2024/03/15,12:33:34,不好意思 你們如果單包裝 價格不一樣怎麼沒告知？
User,內埔/清美簡餐(FARH00000),2024/03/15,12:33:56,虱目魚
User,內埔/清美簡餐(FARH00000),2024/03/15,12:35:34,請問無刺價格比較貴是嗎？
Account,俐均,2024/03/15,12:37:41,"老闆娘您好
不好意思
我們有刺與無刺的價格不同
若您覺得太貴
我們再請司機收回"
User,內埔/清美簡餐(FARH00000),2024/03/26,16:03:19,一箱鯖魚和一箱玉米粒謝謝🙏🏻
Account,林鈺婷,2024/03/26,16:03:55,星期四幫您送過去喔
Account,林鈺婷,2024/03/26,16:04:24,我們玉米粒目前原本已經售完了，目前是剩台灣的玉米粒 一公斤65元方便嗎?
User,內埔/清美簡餐(FARH00000),2024/03/27,14:11:47,那可以拿6公斤就好嗎
Account,林鈺婷,2024/03/27,14:13:30,因為我們是一箱15公斤 優惠975元(1公斤65元)
Account,林鈺婷,2024/03/27,14:13:37,如果只拿6公斤 一包是70元
User,內埔/清美簡餐(FARH00000),2024/03/27,15:28:07,好的 瞭解 那幫我送鯖魚即可謝謝你🙏🏻
Account,俐均,2024/03/27,15:48:36,貼圖已傳送
User,內埔/清美簡餐(FARH00000),2024/04/02,01:19:52,你好 請問你們有鱸魚嗎？一箱售價多少？是無刺的嗎？
Account,自動回應訊息,2024/04/02,01:19:52,貼圖已傳送
Account,自動回應訊息,2024/04/02,01:19:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,內埔/清美簡餐(FARH00000),2024/04/02,01:24:35,還有鮭魚一箱售價多少？
Account,自動回應訊息,2024/04/02,01:24:35,貼圖已傳送
Account,自動回應訊息,2024/04/02,01:24:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/02,09:07:21,"老闆娘您好
有鱸魚切塊(少刺)一箱5公斤/850元
鮭魚目前只有鮭魚片單包真空包裝"
User,內埔/清美簡餐(FARH00000),2024/04/02,14:03:16,請問有圖片可以參考嗎
User,內埔/清美簡餐(FARH00000),2024/04/02,16:12:29,鱸魚一箱
