帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,前金/銅享自立店(WV12YX200),2024/01/02,14:43:32,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/01/02,14:46:47,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/01/09,15:32:43,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/01/09,15:33:02,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/01/17,21:09:21,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/01/17,21:09:22,貼圖已傳送
Account,自動回應訊息,2024/01/17,21:09:22,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前金/銅享自立店(WV12YX200),2024/01/24,18:07:27,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/01/25,08:32:24,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/01/30,15:20:37,"自立銅享
鯖魚160／200三箱
敏豆一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/01/30,16:07:37,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/02/13,20:11:49,"自立銅享
鯖魚160／200三箱
白花椰一箱
青花椰一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/02/13,20:11:49,"(love letter)02/08(四)-02/13(二)春節連假期間，休假6天，暫無專人服務
(telephone)如有緊急問題請聯絡 王經理 0988001988  
(blue check mark)訂單將會在2/14(三)陸續為您安排出貨"
User,前金/銅享自立店(WV12YX200),2024/02/20,15:08:47,"自立銅享
鯖魚160／200三箱
玉米粒一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/02/20,15:09:10,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/02/25,16:41:03,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/02/25,16:41:03,貼圖已傳送
Account,自動回應訊息,2024/02/25,16:41:03,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,前金/銅享自立店(WV12YX200),2024/03/05,14:42:06,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/03/05,14:42:26,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/03/12,15:08:44,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/03/12,15:12:25,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/03/19,16:09:13,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/03/19,16:12:31,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/03/26,14:40:23,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/03/26,14:44:02,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/04/07,16:26:45,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/04/07,16:26:45,"(love letter)04/04(四)-04/07(日)清明連假期間，休假4天，暫無專人服務
(telephone)如果有緊急問題請聯絡客服專線0988001988  
(blue check mark)訂單將會在4/08(一)陸續為您安排出貨"
User,前金/銅享自立店(WV12YX200),2024/04/15,10:19:43,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/04/15,10:35:21,好
Account,俐均,2024/04/15,10:36:02,"老闆娘您好
請麻煩下次最晚要8:30分前下單
感謝"
User,前金/銅享自立店(WV12YX200),2024/04/15,10:37:32,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/04/15,10:37:40,貼圖已傳送
Account,俐均,2024/04/15,10:39:11,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/04/21,16:05:08,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/04/21,16:05:08,貼圖已傳送
Account,自動回應訊息,2024/04/21,16:05:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/04/28,15:23:37,"自立銅享
鯖魚160／200四箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/04/28,15:23:37,貼圖已傳送
Account,自動回應訊息,2024/04/28,15:23:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/05/02,14:58:21,"自立銅享
綠花椰菜二箱
白花椰菜一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/05/02,15:05:23,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/05/06,10:39:52,"自立銅享
鯖魚160／200三箱
敏豆二箱
玉米粒一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
User,前金/銅享自立店(WV12YX200),2024/05/06,10:40:17,明天送
Account,俐均,2024/05/06,11:14:46,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/05/06,16:53:44,自立銅享改星期三送
Account,林鈺婷,2024/05/06,16:55:42,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/05/14,15:59:58,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/05/14,16:22:28,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/05/21,15:48:10,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/05/21,15:50:17,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/05/28,15:22:21,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/05/28,15:24:05,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/06/04,20:01:10,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/06/04,20:01:11,貼圖已傳送
Account,自動回應訊息,2024/06/04,20:01:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/06/16,16:15:33,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/06/16,16:15:33,貼圖已傳送
Account,自動回應訊息,2024/06/16,16:15:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/06/25,15:18:17,"自立銅享
鯖魚160／200三箱
白花椰菜二箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/06/25,15:18:24,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/07/02,22:57:29,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/07/02,22:57:30,貼圖已傳送
Account,自動回應訊息,2024/07/02,22:57:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/07/09,17:49:52,"自立銅享
鯖魚160／200二箱
玉米粒一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/07/10,08:29:53,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/07/16,15:26:23,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,俐均,2024/07/16,15:57:11,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/07/18,15:04:31,"自立銅享
綠花椰三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/07/18,15:06:57,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/07/29,09:09:57,"自立銅享
鯖魚160／200三箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/07/29,09:22:19,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/07/30,15:26:35,"自立銅享
鯖魚160／200三箱
綠花椰菜二箱
敏豆一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/07/30,15:38:55,貼圖已傳送
User,前金/銅享自立店(WV12YX200),2024/08/04,17:37:43,"自立銅享
綠花椰菜三箱
敏豆二箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/08/04,17:37:43,貼圖已傳送
Account,自動回應訊息,2024/08/04,17:37:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/08/07,08:08:42,"自立銅享
鯖魚160／200三箱
綠花椰菜二箱
敏豆一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,自動回應訊息,2024/08/07,08:08:43,貼圖已傳送
Account,自動回應訊息,2024/08/07,08:08:43,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,前金/銅享自立店(WV12YX200),2024/08/09,09:42:36,"自立銅享
綠花椰菜二箱
敏豆一箱
高雄市前金區
自立一路23號
銅享鐵路便當"
Account,林鈺婷,2024/08/09,09:44:58,老闆不好意思～我們青花菜中，幫您換白花菜可以嗎？
User,前金/銅享自立店(WV12YX200),2024/08/09,09:54:26,那先不用送了
Account,林鈺婷,2024/08/09,10:01:49,請問四季豆要幫您送嗎？
