帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:15
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,長治/呱呱便當(EE1200000),2024/01/03,18:06:45,"你好 明天要鯖魚2
無骨雞排（60p）2謝謝"
Account,俐均,2024/01/04,08:30:52,貼圖已傳送
User,長治/呱呱便當(EE1200000),2024/01/17,16:12:23,"你好 明天要
無骨雞排（60p)1箱，（70p）1箱
鯖魚1
謝謝"
Account,俐均,2024/01/17,16:13:50,貼圖已傳送
User,長治/呱呱便當(EE1200000),2024/01/24,14:02:01,"你好 明天鯖魚1
無骨雞排60p*2
謝謝"
Account,林鈺婷,2024/01/24,14:02:09,貼圖已傳送
User,長治/呱呱便當(EE1200000),2024/02/04,16:02:18,"你好 鯖魚1
無骨雞排（60）1
無骨雞排（70）1
謝謝"
Account,自動回應訊息,2024/02/04,16:02:19,貼圖已傳送
Account,自動回應訊息,2024/02/04,16:02:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/呱呱便當(EE1200000),2024/02/17,12:55:00,"你好 我要無骨雞排2
鯖魚1
謝謝"
Account,自動回應訊息,2024/02/17,12:55:01,貼圖已傳送
Account,自動回應訊息,2024/02/17,12:55:01,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,王振華,2024/02/17,20:45:00,謝謝您，星期一會送去
Account,俐均,2024/02/19,08:42:15,"老闆娘您好
請問無骨雞排2要送60的還是70P的呢?
"
User,長治/呱呱便當(EE1200000),2024/02/23,15:15:56,"你好 鯖魚1
無骨雞排（70p）1
謝謝"
Account,俐均,2024/02/23,15:27:15,貼圖已傳送
