帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/02/25,19:56:02,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/02/25,19:56:02,"麗枝歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/甲一飯包(RUZ100000),2025/02/25,19:56:10,你好
Account,自動回應訊息,2025/02/25,19:56:11,貼圖已傳送
Account,自動回應訊息,2025/02/25,19:56:11,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/02/25,19:58:30,"我是大豐二路甲一飯包
的大姐
三月份開始接手起來營業
"
Account,自動回應訊息,2025/02/25,19:58:30,貼圖已傳送
Account,自動回應訊息,2025/02/25,19:58:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/02/25,23:21:54,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/02/26,15:46:08,"抱歉
我需要冷凍菜價格參考
謝謝"
Account,林鈺婷,2025/02/26,15:48:00,照片已傳送
Account,林鈺婷,2025/02/26,15:48:24,這是我們的冷凍蔬菜價格~可以參考看看
Account,林鈺婷,2025/02/26,15:48:30,檔案已傳送
Account,林鈺婷,2025/02/26,15:49:40,"另外這是我們的報價單，上面業務的名字打錯了，如果有問題
業務請找吳先生: 0983-117-791"
Account,林鈺婷,2025/02/26,15:50:55,"988 DM目錄，點擊網址即可查看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
User,三民/甲一飯包(RUZ100000),2025/02/26,16:45:01,謝謝
User,三民/甲一飯包(RUZ100000),2025/02/27,14:59:01,"我這邊是大豐甲一
若我需要星期一進貨
星期六貨星期日打賴品項嗎？
"
Account,林鈺婷,2025/02/27,14:59:53,都可以喔~只要當天早上8點前傳給我們就好
User,三民/甲一飯包(RUZ100000),2025/02/27,15:06:15,瞭解，謝謝
User,三民/甲一飯包(RUZ100000),2025/03/02,18:25:35,"需要麻煩你明天送，謝謝


冷凍菜
青花，玉米粒，毛豆仁
都一箱要包裝的

無骨香酥雞我訂70片的兩箱
謝謝


"
Account,自動回應訊息,2025/03/02,18:25:36,貼圖已傳送
Account,自動回應訊息,2025/03/02,18:25:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/03/03,09:29:15,若來的急，請幫我再加一包杏鮑菇，
User,三民/甲一飯包(RUZ100000),2025/03/03,09:29:25,謝謝
Account,俐均,2025/03/03,09:33:22,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/03,09:36:41,謝謝
User,三民/甲一飯包(RUZ100000),2025/03/04,17:10:46,明天需要送貨，晚點傳，謝謝
Account,林鈺婷,2025/03/04,17:11:26,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/05,09:25:02,抱歉忘記傳了
Account,林鈺婷,2025/03/05,09:29:08,請問需要甚麼?
User,三民/甲一飯包(RUZ100000),2025/03/05,09:30:07,"我要三箱無骨香酥雞
        三箱熟烤棒棒腿
        一箱四季豆包裝的
        一箱白花椰菜包裝的"
User,三民/甲一飯包(RUZ100000),2025/03/05,09:31:17,無骨香酥雞是50片裝的
User,三民/甲一飯包(RUZ100000),2025/03/05,09:31:29,謝謝
User,三民/甲一飯包(RUZ100000),2025/03/05,09:31:57,"還有熟烤棒棒腿是要蜜汁口味的
謝謝"
Account,林鈺婷,2025/03/05,09:33:13,不好意思~我們熟考棒腿目前只有阿里山口味和醬燒
User,三民/甲一飯包(RUZ100000),2025/03/05,11:45:19,"抱歉，我看錯數量
所以我請吳大哥退一箱醬燒棒棒腿回去，謝謝您!
"
Account,俐均,2025/03/05,11:55:11,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/06,16:29:44,晚點再傳嘿
User,三民/甲一飯包(RUZ100000),2025/03/06,16:29:47,謝謝
Account,俐均,2025/03/06,16:30:25,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/06,23:40:13,"星期五暫不進貨
星期日再傳星期一的貨物
謝謝"
Account,自動回應訊息,2025/03/06,23:40:14,貼圖已傳送
Account,自動回應訊息,2025/03/06,23:40:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/03/06,23:46:38,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/06,23:46:55,(Brown bow)
Account,自動回應訊息,2025/03/06,23:46:56,貼圖已傳送
Account,自動回應訊息,2025/03/06,23:46:56,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/03/10,08:02:45,"一箱醬燒
一包杏鮑菇
謝謝"
Account,自動回應訊息,2025/03/10,08:02:46,貼圖已傳送
Account,自動回應訊息,2025/03/10,08:02:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/03/10,08:03:17,醬燒棒棒腿
Account,自動回應訊息,2025/03/10,08:03:18,貼圖已傳送
Account,自動回應訊息,2025/03/10,08:03:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/03/12,07:52:39,"杏鮑菇兩包
青花菜一箱（包裝）
無骨香酥雞一箱（50）
可以拿一包芋丸嗎
沒看到你們配菜價格"
Account,自動回應訊息,2025/03/12,07:52:39,貼圖已傳送
Account,自動回應訊息,2025/03/12,07:52:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/03/13,11:06:05,"老闆娘您好~請問大概要哪一類的配菜呢?
有成本考量嗎?可以另外報價給您"
User,三民/甲一飯包(RUZ100000),2025/03/14,09:45:28,"我要訂貨
一直忘記傳
請等等我"
Account,林鈺婷,2025/03/14,09:47:27,司機要出門了喔~請問要甚麼?
User,三民/甲一飯包(RUZ100000),2025/03/17,07:40:40,"星期一醬燒棒棒腿兩箱
杏鮑菇一包
謝謝"
Account,自動回應訊息,2025/03/17,07:40:40,貼圖已傳送
Account,自動回應訊息,2025/03/17,07:40:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/03/17,08:30:27,貼圖已傳送
Account,林鈺婷,2025/03/17,10:39:21,老闆娘 不好意思 目前剩175支 先幫您送過去
User,三民/甲一飯包(RUZ100000),2025/03/18,08:00:37,"抱歉啊！昨天說話聲激動了點
....很抱歉...."
Account,自動回應訊息,2025/03/18,08:00:37,貼圖已傳送
Account,自動回應訊息,2025/03/18,08:00:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/03/18,08:31:51,不會不會~我們比較不好意思
User,三民/甲一飯包(RUZ100000),2025/03/18,08:34:19,(heart)
User,三民/甲一飯包(RUZ100000),2025/03/19,11:24:24,"好，晚點看怎樣
謝謝"
Account,林鈺婷,2025/03/19,15:31:08,老闆娘您好~請問有需要水煮蛋嗎?
User,三民/甲一飯包(RUZ100000),2025/03/19,15:43:28,"我先訂1包50顆試試看
若可以
我日後再訂，謝謝"
Account,林鈺婷,2025/03/19,15:46:05,幫您安排星期五送過去喔，謝謝
User,三民/甲一飯包(RUZ100000),2025/03/19,15:48:29,"好
幫我注意品質，謝謝"
Account,林鈺婷,2025/03/19,17:14:00,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/23,14:02:06,請問魚排是什麼魚
Account,王振華,2025/03/23,22:52:44,有鯰魚排和虱目魚排兩種
User,三民/甲一飯包(RUZ100000),2025/03/23,23:48:33,"半香雞（50）片兩箱
青花一箱
毛豆仁5包
冷凍魚排1箱（鯰魚）"
Account,自動回應訊息,2025/03/23,23:48:34,貼圖已傳送
Account,自動回應訊息,2025/03/23,23:48:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/03/24,12:59:07,"今天叫冷凍魚排
先炸四片試吃
魚腥味很重沒辦法接受
請問可以退貨嗎？
還是有別的產品建議"
Account,林鈺婷,2025/03/24,14:02:30,"我請司機星期三過去收方便嗎?
還是要用看看虱目魚排"
User,三民/甲一飯包(RUZ100000),2025/03/24,16:11:39,"現在才發現半香雞只給我一箱
....
"
User,三民/甲一飯包(RUZ100000),2025/03/24,16:12:04,是算一箱的錢，但是我的訂單量不夠
User,三民/甲一飯包(RUZ100000),2025/03/24,16:13:10,"請下次幫我注意一下
貨來的時候忙沒注意
謝謝"
Account,林鈺婷,2025/03/24,16:13:23,不好意思~明天幫您送過去來得及嗎?
User,三民/甲一飯包(RUZ100000),2025/03/24,16:23:13,"今天下午的訂餐
沒關係，我找好久，先忙
晚點說，感謝您"
Account,林鈺婷,2025/03/24,16:28:49,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/25,10:01:47,"魚排可以換無骨香酥雞（50片的）
我再補差價可以嗎？"
User,三民/甲一飯包(RUZ100000),2025/03/25,10:05:21,抱歉，造成你們的困擾！
User,三民/甲一飯包(RUZ100000),2025/03/25,10:05:24,(hands together)
Account,林鈺婷,2025/03/25,10:06:01,我星期三請司機帶過去跟您換
User,三民/甲一飯包(RUZ100000),2025/03/25,10:27:27,(heart)
User,三民/甲一飯包(RUZ100000),2025/03/26,08:41:37,"一箱鐵路大排60片

這有50片的嗎？"
User,三民/甲一飯包(RUZ100000),2025/03/26,08:41:59,"沒有就60片
謝謝"
User,三民/甲一飯包(RUZ100000),2025/03/26,08:46:15,來的及有水煮蛋嗎
Account,林鈺婷,2025/03/26,08:46:47,"今天沒辦法了~不好意思
現在訂，星期五幫您送"
User,三民/甲一飯包(RUZ100000),2025/03/26,08:47:03,好
User,三民/甲一飯包(RUZ100000),2025/03/26,08:47:06,謝謝
Account,林鈺婷,2025/03/26,12:30:08,老闆娘請問星期五水煮蛋有需要嗎?現在一顆是5.5元
User,三民/甲一飯包(RUZ100000),2025/03/26,13:58:08,忘記把魚排退給弟弟了
User,三民/甲一飯包(RUZ100000),2025/03/26,13:58:28,星期五請提醒我，謝謝
Account,林鈺婷,2025/03/26,14:01:33,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/26,14:01:52,(hands together)
Account,林鈺婷,2025/03/26,16:02:36,您好~剛剛有電話聯絡，星期五幫您送100顆喔，謝謝
User,三民/甲一飯包(RUZ100000),2025/03/26,16:48:21,(okay)
User,三民/甲一飯包(RUZ100000),2025/03/27,23:19:07,"一箱玉米
一包杏鮑菇
謝謝"
Account,自動回應訊息,2025/03/27,23:19:07,貼圖已傳送
Account,自動回應訊息,2025/03/27,23:19:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/03/28,09:56:08,不好意思
User,三民/甲一飯包(RUZ100000),2025/03/28,09:56:28,司機出門了嗎
Account,林鈺婷,2025/03/28,09:56:36,請問需要甚麼?
Account,林鈺婷,2025/03/28,09:56:41,還來得及!
User,三民/甲一飯包(RUZ100000),2025/03/28,09:56:55,青花一箱，謝謝
Account,俐均,2025/03/28,09:57:56,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/28,09:58:06,3Q
User,三民/甲一飯包(RUZ100000),2025/03/31,10:00:24,司機出門了嗎？
Account,☆羅惠君☆,2025/03/31,10:01:18,還沒喔! 請問還有需要什麼?
User,三民/甲一飯包(RUZ100000),2025/03/31,10:01:37,無骨香酥雞一箱
User,三民/甲一飯包(RUZ100000),2025/03/31,10:01:51,還有鐵路大排
User,三民/甲一飯包(RUZ100000),2025/03/31,10:02:32,水煮蛋星期三才有嗎？
User,三民/甲一飯包(RUZ100000),2025/03/31,10:02:59,若還有杏鮑菇，請再給我一袋
User,三民/甲一飯包(RUZ100000),2025/03/31,10:03:21,謝謝
Account,林鈺婷,2025/03/31,10:03:25,對~今天訂星期三才有
User,三民/甲一飯包(RUZ100000),2025/03/31,10:03:48,"好的
我先訂100個"
Account,林鈺婷,2025/03/31,10:04:29,只剩B的可以嗎?
Account,林鈺婷,2025/03/31,10:04:59,現在蛋價是5.6元/顆喔，請問一樣100粒嗎?
User,三民/甲一飯包(RUZ100000),2025/03/31,10:05:14,B的是..
User,三民/甲一飯包(RUZ100000),2025/03/31,10:05:26,Ok
Account,林鈺婷,2025/03/31,10:05:51,品質比較差一點，一包120元
User,三民/甲一飯包(RUZ100000),2025/03/31,10:06:38,"好，先用，謝謝
星期三幫我留兩包，謝謝"
Account,林鈺婷,2025/03/31,10:10:50,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/31,10:11:36,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/03/31,10:35:29,謝謝100顆
Account,林鈺婷,2025/03/31,11:19:30,貼圖已傳送
User,三民/甲一飯包(RUZ100000),2025/04/02,08:16:57,"今天請幫我送兩包杏鮑菇
一箱青花菜
謝謝"
Account,自動回應訊息,2025/04/02,08:16:57,貼圖已傳送
Account,自動回應訊息,2025/04/02,08:16:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/04/02,08:19:17,還有一箱無骨香酥雞
Account,自動回應訊息,2025/04/02,08:19:17,貼圖已傳送
Account,自動回應訊息,2025/04/02,08:19:17,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/甲一飯包(RUZ100000),2025/04/02,08:19:41,50片的
Account,自動回應訊息,2025/04/02,08:19:42,貼圖已傳送
