帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/03/19,09:07:36,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/03/19,09:07:37,"吳振泰歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,新興/方寸之間(ZH5R00000),2025/03/20,22:30:14,明天一箱
Account,自動回應訊息,2025/03/20,22:30:15,貼圖已傳送
Account,自動回應訊息,2025/03/20,22:30:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/03/20,23:03:06,老闆好請問您的店名和地址
Account,林鈺婷,2025/03/21,08:33:26,老闆您好~請問是方寸之間對嗎?
User,新興/方寸之間(ZH5R00000),2025/03/21,08:51:22,是
Account,林鈺婷,2025/03/21,08:53:18,貼圖已傳送
User,新興/方寸之間(ZH5R00000),2025/03/22,08:02:37,有沒刺的嗎？
Account,自動回應訊息,2025/03/22,08:02:37,貼圖已傳送
Account,自動回應訊息,2025/03/22,08:02:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/03/22,12:57:41,老闆好，有無刺的
Account,王振華,2025/03/22,13:06:40,"100～120克，50／片
120～140克，60／片
140～170克，70／片
180～200克，85／片
200～220克，90／片
240～280克，100／片
280～320克，115元／片"
Account,王振華,2025/03/22,13:07:09,以上規格讓老闆參考
User,新興/方寸之間(ZH5R00000),2025/03/25,18:01:11,"無刺的虱目魚能買幾片？試試看嗎？
140 ～200各2片"
User,新興/方寸之間(ZH5R00000),2025/03/25,18:01:36,明天鯖魚2箱一起送
Account,王振華,2025/03/26,00:38:40,好的
User,新興/方寸之間(ZH5R00000),2025/04/06,16:50:11,"明天暫時不要，謝謝
"
Account,自動回應訊息,2025/04/06,16:50:12,"(love letter)清明連假公休，不送貨，暫無專人服務，造成困擾請見諒
(blue check mark)訂單將會在4/7(一) 陸續安排為您出貨"
User,新興/方寸之間(ZH5R00000),2025/04/08,14:04:08,暫時不要，謝謝
Account,俐均,2025/04/08,14:04:19,貼圖已傳送
User,新興/方寸之間(ZH5R00000),2025/04/10,22:48:28,"明天鯖魚一箱
"
Account,自動回應訊息,2025/04/10,22:48:29,貼圖已傳送
Account,自動回應訊息,2025/04/10,22:48:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新興/方寸之間(ZH5R00000),2025/04/16,08:10:02,無刺虱目魚肚20片
Account,自動回應訊息,2025/04/16,08:10:03,貼圖已傳送
Account,自動回應訊息,2025/04/16,08:10:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新興/方寸之間(ZH5R00000),2025/04/17,17:02:07,明天鯖魚2箱
Account,林鈺婷,2025/04/17,17:36:43,貼圖已傳送
User,新興/方寸之間(ZH5R00000),2025/04/22,22:57:01,星期五送兩箱
Account,自動回應訊息,2025/04/22,22:57:01,貼圖已傳送
Account,自動回應訊息,2025/04/22,22:57:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新興/方寸之間(ZH5R00000),2025/04/24,22:06:06,明天虱目魚肚10片鯖魚1箱
Account,自動回應訊息,2025/04/24,22:06:07,貼圖已傳送
Account,自動回應訊息,2025/04/24,22:06:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,新興/方寸之間(ZH5R00000),2025/04/30,07:55:29,我們叫的有優惠嗎？今天1箱
Account,自動回應訊息,2025/04/30,07:55:30,貼圖已傳送
Account,自動回應訊息,2025/04/30,07:55:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/04/30,08:36:22,"老闆 您好
優惠的是裸裝團膳用的,您使用的是真空的沒有優惠
不好意思,今天一樣安排司機幫您送一箱過去
謝謝您~"
User,新興/方寸之間(ZH5R00000),2025/05/02,07:04:29,今天1箱
