帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,台中/楊家燒肉飯(URGBZ0000),2024/01/03,22:00:17,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,自動回應訊息,2024/01/03,22:00:18,貼圖已傳送
Account,自動回應訊息,2024/01/03,22:00:18,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,台中/楊家燒肉飯(URGBZ0000),2024/01/04,08:54:30,記得今天幫我寄出喔
User,台中/楊家燒肉飯(URGBZ0000),2024/01/04,08:54:36,謝謝你
Account,俐均,2024/01/04,08:59:50,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/01/11,17:43:05,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,俐均,2024/01/11,17:43:44,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/01/24,09:54:03,"幫我寄鯖魚
一樣是四盒（M)
"
User,台中/楊家燒肉飯(URGBZ0000),2024/01/24,09:54:10,可以今天寄出嗎？
Account,林鈺婷,2024/01/24,09:55:18,今天幫你寄喔
User,台中/楊家燒肉飯(URGBZ0000),2024/01/24,09:55:28,謝謝你
User,台中/楊家燒肉飯(URGBZ0000),2024/02/01,15:29:10,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,俐均,2024/02/01,15:29:32,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/02/14,10:14:50,"幫我寄鯖魚
一樣是四盒（M)
"
User,台中/楊家燒肉飯(URGBZ0000),2024/02/14,10:14:57,可以今天寄出嗎？
User,台中/楊家燒肉飯(URGBZ0000),2024/02/14,10:15:02,貼圖已傳送
Account,林鈺婷,2024/02/14,10:15:40,明天幫您寄出喔，今天黑貓還沒開始收貨，不好意思
User,台中/楊家燒肉飯(URGBZ0000),2024/02/14,10:15:59,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/02/20,22:06:19,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,自動回應訊息,2024/02/20,22:06:19,貼圖已傳送
Account,自動回應訊息,2024/02/20,22:06:19,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,台中/楊家燒肉飯(URGBZ0000),2024/03/03,21:17:38,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,自動回應訊息,2024/03/03,21:17:38,貼圖已傳送
Account,自動回應訊息,2024/03/03,21:17:38,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,08:13:40,請問有幫我寄出嗎？
Account,自動回應訊息,2024/03/05,08:13:40,貼圖已傳送
Account,自動回應訊息,2024/03/05,08:13:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/03/05,08:29:04,有的
Account,俐均,2024/03/05,08:29:07,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,08:32:47,謝謝你
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,11:33:22,方便通電話嗎？
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,11:33:34,我要打幾號？
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,11:35:05,因為今天沒有收貨款
Account,俐均,2024/03/05,11:40:53,不好意思
Account,俐均,2024/03/05,11:41:29,照片已傳送
Account,俐均,2024/03/05,11:41:57,"匯完再麻煩傳明細或後5碼
感謝您"
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,11:48:04,等我休息在幫你匯喔
Account,俐均,2024/03/05,11:57:58,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,15:40:09,照片已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,15:40:20,在麻煩查一下喔
User,台中/楊家燒肉飯(URGBZ0000),2024/03/05,15:40:42,謝謝喔
Account,俐均,2024/03/05,15:43:35,貼圖已傳送
User,台中/楊家燒肉飯(URGBZ0000),2024/03/14,00:00:53,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,自動回應訊息,2024/03/14,00:00:54,貼圖已傳送
Account,自動回應訊息,2024/03/14,00:00:54,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,台中/楊家燒肉飯(URGBZ0000),2024/03/14,16:14:00,請問有幫我寄出嗎？
Account,俐均,2024/03/14,16:16:53,有的
User,台中/楊家燒肉飯(URGBZ0000),2024/03/20,21:22:20,"幫我寄鯖魚
一樣是四盒（M)
麻煩明天幫我寄出
謝謝喔"
Account,自動回應訊息,2024/03/20,21:22:20,貼圖已傳送
Account,自動回應訊息,2024/03/20,21:22:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
