帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/11,22:01:52,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/11/11,22:01:52,"叫我傑傑歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏市/寓健餐盒(MRHC00000),2024/11/11,22:03:38,您好！
Account,自動回應訊息,2024/11/11,22:03:39,貼圖已傳送
Account,自動回應訊息,2024/11/11,22:03:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/寓健餐盒(MRHC00000),2024/11/11,22:03:51,請問鯖魚一箱多少呢？
Account,自動回應訊息,2024/11/11,22:03:52,貼圖已傳送
Account,自動回應訊息,2024/11/11,22:03:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/11/11,23:39:09,您好，請問您的店名及地址
User,屏市/寓健餐盒(MRHC00000),2024/11/12,10:52:47,"您好！ 抱歉昨晚早早入睡沒能及時回覆！

屏東市林森路5-1號 
寓健餐盒"
Account,王振華,2024/11/12,11:14:11,老闆好，星期五過去拜訪 順帶兩種規格讓您參考
Account,林鈺婷,2024/11/15,15:22:39,檔案已傳送
Account,林鈺婷,2024/11/15,15:24:01,老闆您好~這是我們的報價單，給您參考看看
User,屏市/寓健餐盒(MRHC00000),2024/11/18,16:44:41,明天不需要唷！ 有需要的話我會聯絡您！ 感謝
Account,林鈺婷,2024/11/18,16:47:27,貼圖已傳送
User,屏市/寓健餐盒(MRHC00000),2024/11/19,18:03:12,您好！
User,屏市/寓健餐盒(MRHC00000),2024/11/19,18:03:17,"80/100
160/200
200/240"
User,屏市/寓健餐盒(MRHC00000),2024/11/19,18:03:27,請問鯖魚這三種規格的差別是什麼呢？
Account,林鈺婷,2024/11/19,18:06:29,"規格的差別喔
80/100就是鯖魚一片在80-100克之間"
Account,林鈺婷,2024/11/19,18:06:43,160/200、200/240比較大片
User,屏市/寓健餐盒(MRHC00000),2024/11/19,18:09:54,原來如此！ 我知道了 感謝您
Account,林鈺婷,2024/11/19,18:12:12,貼圖已傳送
User,屏市/寓健餐盒(MRHC00000),2024/11/28,22:07:14,"需要一箱鯖魚喔！ 80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2024/11/28,22:07:15,貼圖已傳送
Account,自動回應訊息,2024/11/28,22:07:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/11/28,23:35:22,貼圖已傳送
User,屏市/寓健餐盒(MRHC00000),2025/02/06,14:14:11,您好！請問80/100現在有貨嗎？
Account,俐均,2025/02/06,14:21:45,"老闆好
目前80 /100的5K沒有貨，6K有貨"
User,屏市/寓健餐盒(MRHC00000),2025/02/06,14:58:55,收到 我詢問一下 下午再回覆您！
Account,俐均,2025/02/06,16:01:37,貼圖已傳送
User,屏市/寓健餐盒(MRHC00000),2025/02/06,17:21:13,您好！請問是剩下六公斤的嗎～
Account,俐均,2025/02/06,17:44:01,是的
User,屏市/寓健餐盒(MRHC00000),2025/02/06,18:11:15,方便詢問價格嗎？
Account,自動回應訊息,2025/02/06,18:11:16,貼圖已傳送
Account,自動回應訊息,2025/02/06,18:11:16,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/02/06,23:51:19,您好，請問要詢問什麼產品
User,屏市/寓健餐盒(MRHC00000),2025/03/24,20:40:48,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2025/03/24,20:40:48,貼圖已傳送
Account,自動回應訊息,2025/03/24,20:40:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/寓健餐盒(MRHC00000),2025/03/27,19:19:28,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2025/03/27,19:19:29,貼圖已傳送
Account,自動回應訊息,2025/03/27,19:19:29,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2025/03/28,08:40:51,"老闆您好不好意思80/100-6K目前缺貨中,幫您送5K的好嗎?一箱是1150元(規格是一樣的)"
User,屏市/寓健餐盒(MRHC00000),2025/03/28,10:45:13,可以喔～
Account,俐均,2025/03/28,10:54:12,貼圖已傳送
User,屏市/寓健餐盒(MRHC00000),2025/04/07,19:30:08,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2025/04/07,19:30:08,貼圖已傳送
Account,自動回應訊息,2025/04/07,19:30:08,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/寓健餐盒(MRHC00000),2025/04/14,20:01:40,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2025/04/14,20:01:41,貼圖已傳送
Account,自動回應訊息,2025/04/14,20:01:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/寓健餐盒(MRHC00000),2025/04/17,17:55:51,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,林鈺婷,2025/04/17,17:59:33,貼圖已傳送
User,屏市/寓健餐盒(MRHC00000),2025/04/21,21:03:32,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2025/04/21,21:03:33,貼圖已傳送
Account,自動回應訊息,2025/04/21,21:03:33,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/寓健餐盒(MRHC00000),2025/04/24,18:51:25,"您好！需要一箱鯖魚～
80/100的規格

寓健餐盒 屏東市林森路5-1號"
Account,自動回應訊息,2025/04/24,18:51:26,貼圖已傳送
Account,自動回應訊息,2025/04/24,18:51:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
