帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/03/14,13:34:59,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/03/14,13:34:59,"陳燕美歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,三民/大福自助餐(2ZY5HZZZZ),2024/03/14,13:35:05,貼圖已傳送
Account,俐均,2024/03/14,14:01:15,老闆娘您好
Account,俐均,2024/03/14,14:01:35,方便提供店家名稱.電話及地址
User,三民/大福自助餐(2ZY5HZZZZ),2024/03/18,00:02:36,"大福自助美食
熱河二街70號
07-322-3166"
Account,自動回應訊息,2024/03/18,00:02:37,貼圖已傳送
Account,自動回應訊息,2024/03/18,00:02:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
User,三民/大福自助餐(2ZY5HZZZZ),2024/03/28,13:58:44,大福自助餐
Account,俐均,2024/03/28,13:59:21,您好
User,三民/大福自助餐(2ZY5HZZZZ),2024/04/11,17:50:53,"鹹魚
吳郭魚
"
Account,俐均,2024/04/11,17:51:46,貼圖已傳送
User,三民/大福自助餐(2ZY5HZZZZ),2024/04/11,17:52:16,裹粉柳葉魚1箱
Account,俐均,2024/04/11,17:52:27,貼圖已傳送
Account,俐均,2024/04/29,12:35:38,"老闆娘您好
5/1我們公休
請問明天需不需要幫您送貨呢?"
User,三民/大福自助餐(2ZY5HZZZZ),2024/12/12,17:27:38,秋刀魚1
Account,俐均,2024/12/12,17:40:25,貼圖已傳送
User,三民/大福自助餐(2ZY5HZZZZ),2024/12/21,23:14:04,"星期一送
挪威鯖魚片200/240 1件
鬼頭刀尾40片1件
肉魚拿一件來看看"
Account,自動回應訊息,2024/12/21,23:14:05,貼圖已傳送
Account,自動回應訊息,2024/12/21,23:14:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/12/23,08:44:28,"老闆娘好
請問是送優惠的200/240-5K的嗎?
一箱930元"
User,三民/大福自助餐(2ZY5HZZZZ),2024/12/25,18:22:32,秋刀魚1
Account,自動回應訊息,2024/12/25,18:22:32,貼圖已傳送
Account,自動回應訊息,2024/12/25,18:22:32,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,三民/大福自助餐(2ZY5HZZZZ),2025/01/07,19:30:55,鹹魚
Account,自動回應訊息,2025/01/07,19:30:56,貼圖已傳送
