帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/05,14:57:41,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/05,14:57:41,"Cena歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,鼓山/La one pizza,2025/05/05,14:57:47,你好
User,鼓山/La one pizza,2025/05/05,14:57:53,La one pizza 
Account,林鈺婷,2025/05/05,14:59:39,老闆您好~
User,鼓山/La one pizza,2025/05/05,14:59:54,你好
User,鼓山/La one pizza,2025/05/05,15:00:18,下次訂貨再傳這邊
Account,林鈺婷,2025/05/05,15:01:50,您好~請問有訂2盒M嗎?
User,鼓山/La one pizza,2025/05/05,15:02:04,是的
User,鼓山/La one pizza,2025/05/05,15:02:05,謝謝
Account,林鈺婷,2025/05/05,15:02:38,安排星期三幫您送過去方便嗎?
User,鼓山/La one pizza,2025/05/05,15:03:06,沒有問題
Account,林鈺婷,2025/05/05,15:04:01,"發票請問是開這個嗎?
抬頭：天毓餐飲股份有限公司 
統編：90959734  

帳單都幫您統一送高雄市前鎮區復興四路12號5樓之17對嗎?"
User,鼓山/La one pizza,2025/05/05,15:15:42,地址是高雄市鼓山區翠華路391號二樓
User,鼓山/La one pizza,2025/05/05,15:16:27,送的地址是上面那個
User,鼓山/La one pizza,2025/05/05,15:17:05,帳單寄這裡沒錯
Account,林鈺婷,2025/05/05,16:22:57,貼圖已傳送
User,鼓山/La one pizza,2025/05/06,14:06:27,不是已經安排禮拜三送了嗎
Account,俐均,2025/05/06,14:08:26,"老闆好
這是我們的電腦自動問貨訊息,若已有下訂,可不用理會,謝謝"
User,鼓山/La one pizza,2025/05/06,16:52:18,收到
User,鼓山/La one pizza,2025/05/23,23:20:15,麻煩兩箱L鯖魚
Account,自動回應訊息,2025/05/23,23:20:15,貼圖已傳送
Account,自動回應訊息,2025/05/23,23:20:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/05/23,23:47:33,謝謝老闆，星期一會送去
User,鼓山/La one pizza,2025/05/23,23:57:56,謝謝
Account,自動回應訊息,2025/05/23,23:57:56,貼圖已傳送
Account,自動回應訊息,2025/05/23,23:57:56,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,☆羅惠君☆,2025/05/26,08:29:06,貼圖已傳送
User,鼓山/La one pizza,2025/06/15,16:09:59,麻煩兩箱L鯖魚
User,鼓山/La one pizza,2025/06/15,16:10:05,謝謝
Account,林鈺婷,2025/06/16,08:36:03,貼圖已傳送
User,鼓山/La one pizza,2025/07/03,17:59:52,麻煩兩箱L鯖魚
Account,自動回應訊息,2025/07/03,17:59:53,貼圖已傳送
Account,自動回應訊息,2025/07/03,17:59:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鼓山/La one pizza,2025/07/03,17:59:54,謝謝
Account,自動回應訊息,2025/07/03,17:59:54,貼圖已傳送
Account,自動回應訊息,2025/07/03,17:59:54,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
