帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/30,10:53:03,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/30,10:53:03,"樂咖歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏東市/飽可夢（1DA000000),2025/05/30,10:55:21,"你好我是屏東飽可夢
我要叫貨
靖魚2箱
鱸魚1箱

請問哈克魚一箱多少"
Account,林鈺婷,2025/05/30,11:23:41,老闆娘不好意思 我們今天公休 下星期二幫您送過去
User,屏東市/飽可夢（1DA000000),2025/05/30,11:26:58,好
User,屏東市/飽可夢（1DA000000),2025/06/01,15:02:32,"屏東飽可夢自助餐
更改
靖魚1箱
鱸魚1箱"
Account,☆羅惠君☆,2025/06/02,08:32:51,"老闆娘早安
明天幫您送過去"
User,屏東市/飽可夢（1DA000000),2025/06/02,08:33:10,嗯嗯
Account,☆羅惠君☆,2025/06/02,12:24:08,"老闆娘 拍謝 鱸魚清肉60/80的沒了
幫您送小點的40/60的好嗎?"
User,屏東市/飽可夢（1DA000000),2025/06/02,12:36:03,我們原本叫甚麼款式的
Account,☆羅惠君☆,2025/06/02,12:36:15,60/80的
User,屏東市/飽可夢（1DA000000),2025/06/02,12:36:30,"如果沒當初叫的款式先不用送
我晚點確認星期五在送"
User,屏東市/飽可夢（1DA000000),2025/06/02,12:36:34,Okk
Account,☆羅惠君☆,2025/06/02,12:37:59,那明天就只過去1箱鯖魚 對嗎
User,屏東市/飽可夢（1DA000000),2025/06/02,12:40:16,"60／80一箱多少
40／60一箱多少

你們哈克魚一箱多少"
User,屏東市/飽可夢（1DA000000),2025/06/02,12:41:43,老闆娘要了解價錢
Account,☆羅惠君☆,2025/06/02,12:44:21,60／80跟40／60  一箱5公斤 都800元
User,屏東市/飽可夢（1DA000000),2025/06/02,12:45:28,那你一樣送40／60的給我
User,屏東市/飽可夢（1DA000000),2025/06/02,12:45:33,明天一樣現送
Account,☆羅惠君☆,2025/06/02,12:48:12,"哈克魚
100/120 10KG/箱1050元
120/150 10KG/箱1200元
150/180 10KG/箱1150元"
Account,☆羅惠君☆,2025/06/02,12:48:35,好的
User,屏東市/飽可夢（1DA000000),2025/06/02,17:19:50,"屏東飽可夢自助餐
更改
靖魚1箱
鱸魚1箱
鮭魚1箱
蒲燒秋刀1箱"
User,屏東市/飽可夢（1DA000000),2025/06/02,17:19:55,更正喔
User,屏東市/飽可夢（1DA000000),2025/06/02,17:20:09,"明天送的
這些你們都有嗎"
User,屏東市/飽可夢（1DA000000),2025/06/02,17:20:31,照片已傳送
User,屏東市/飽可夢（1DA000000),2025/06/02,17:20:37,蒲燒秋刀這個
User,屏東市/飽可夢（1DA000000),2025/06/02,17:21:26,你們有電話嗎
Account,俐均,2025/06/02,17:21:43,08-7807373
User,屏東市/飽可夢（1DA000000),2025/06/02,17:22:52,"屏東飽可夢自助餐
更改
靖魚1箱
鱸魚1箱"
User,屏東市/飽可夢（1DA000000),2025/06/02,17:22:54,一樣這樣
User,屏東市/飽可夢（1DA000000),2025/06/02,17:22:58,不變
Account,俐均,2025/06/02,17:23:36,收到
User,屏東市/飽可夢（1DA000000),2025/06/03,19:24:34,請問你們鱸魚清肉最高規格多少
Account,自動回應訊息,2025/06/03,19:24:35,貼圖已傳送
Account,自動回應訊息,2025/06/03,19:24:35,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏東市/飽可夢（1DA000000),2025/06/03,19:24:43,有比60／80還要大的嗎
Account,自動回應訊息,2025/06/03,19:24:44,貼圖已傳送
Account,自動回應訊息,2025/06/03,19:24:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2025/06/04,08:42:01,"老闆不好意思
目前較大的規格都沒有貨了,目前只剩40/60的規格"
User,屏東市/飽可夢（1DA000000),2025/06/04,10:29:22,你們有肉魚嗎
Account,☆羅惠君☆,2025/06/04,10:29:44,有的
User,屏東市/飽可夢（1DA000000),2025/06/04,10:30:51,"星期五送
白帶魚
烏魚

各1箱"
Account,☆羅惠君☆,2025/06/04,10:34:56,"中國肉魚
100/120 $1000/箱10k
120/150 $1350/箱10k
150/180 $1400/箱10k
180/200 $1600/箱10k"
User,屏東市/飽可夢（1DA000000),2025/06/04,10:35:46,他們之前叫甚麼尺寸的
User,屏東市/飽可夢（1DA000000),2025/06/04,10:36:21,有跟你們叫過嗎
Account,☆羅惠君☆,2025/06/04,10:39:40,之前用過100/120
User,屏東市/飽可夢（1DA000000),2025/06/04,10:44:15,那就100／120的
Account,☆羅惠君☆,2025/06/04,10:44:36,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/04,12:56:51,紅盤有嗎有的話1箱
Account,林鈺婷,2025/06/04,12:58:28,沒有紅盤~請問赤宗可以嗎?
User,屏東市/飽可夢（1DA000000),2025/06/04,13:00:20,赤璋號
User,屏東市/飽可夢（1DA000000),2025/06/04,13:00:47,"那星期五就是
白帶1
烏魚1
刺宗1"
Account,☆羅惠君☆,2025/06/04,14:02:02,貼圖已傳送
Account,☆羅惠君☆,2025/06/04,14:31:40,還有中國肉魚100/120 的
User,屏東市/飽可夢（1DA000000),2025/06/04,14:33:08,肉魚目前不用
User,屏東市/飽可夢（1DA000000),2025/06/04,14:33:22,"那星期五就是
白帶1
烏魚1
刺宗1
目前這三種就好"
Account,☆羅惠君☆,2025/06/04,14:33:45,好的
User,屏東市/飽可夢（1DA000000),2025/06/09,13:12:34,"明天送
鱸魚清肉1（40／60）
靖魚1
烏魚1（上禮拜來的版型）"
Account,林鈺婷,2025/06/09,14:06:04,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/11,19:40:12,"星期五送
白帶魚1"
Account,☆羅惠君☆,2025/06/12,08:17:18,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/12,14:31:18,你們吻仔魚一箱大概多少
Account,☆羅惠君☆,2025/06/12,14:36:56,"老闆不好意思
散裝出貨1包200克 135元 "
User,屏東市/飽可夢（1DA000000),2025/06/12,14:38:11,"星期五送
白帶魚1
吻仔魚1包200客"
Account,☆羅惠君☆,2025/06/12,14:59:22,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/14,11:55:03,"下禮拜二送
哈克1
靖魚2
鱸魚清肉40／60。1箱
烏魚1
"
User,屏東市/飽可夢（1DA000000),2025/06/15,16:51:46,"下禮拜二送
哈克1
靖魚2
鱸魚清肉40／60。2箱
烏魚2
"
Account,☆羅惠君☆,2025/06/16,09:16:01,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/18,23:23:21,"我想請問一下
我們叫的靖魚能夠對切嗎
跟目錄的切塊有相同嗎"
Account,自動回應訊息,2025/06/18,23:23:22,貼圖已傳送
Account,自動回應訊息,2025/06/18,23:23:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏東市/飽可夢（1DA000000),2025/06/18,23:26:06,目錄上的靖魚切塊跟我叫的靖魚切片規格有一樣嗎？？
Account,自動回應訊息,2025/06/18,23:26:07,貼圖已傳送
Account,自動回應訊息,2025/06/18,23:26:07,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/06/19,08:30:43,不太一樣喔~目錄上的是我們常規產品 切完一片約40-60克
User,屏東市/飽可夢（1DA000000),2025/06/19,11:11:27,"明天送
白帶魚1
赤章1"
Account,☆羅惠君☆,2025/06/19,12:40:00,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/23,14:21:12,"烏魚1
靖魚1"
Account,☆羅惠君☆,2025/06/23,14:44:46,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/26,13:24:22,"明天送
鱸魚清肉1
靖魚1
白帶魚1
哈克魚120／150。1箱"
User,屏東市/飽可夢（1DA000000),2025/06/26,14:01:17,"明天送
鱸魚清肉1
靖魚1
白帶魚1
哈克魚120／150。1箱"
User,屏東市/飽可夢（1DA000000),2025/06/26,14:01:29,6／27的
Account,☆羅惠君☆,2025/06/26,14:04:00,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/06/30,14:02:37,"烏魚1
赤章1
靖魚1"
Account,☆羅惠君☆,2025/06/30,14:22:49,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/07/03,16:07:28,"明天
靖魚1
哈克1（跟上次的版型）
烏魚1"
Account,☆羅惠君☆,2025/07/03,16:22:57,貼圖已傳送
User,屏東市/飽可夢（1DA000000),2025/07/03,16:44:36,"白帶魚1
鱸魚清肉1"
Account,林鈺婷,2025/07/03,16:45:10,貼圖已傳送
