帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/01/22,14:12:44,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/01/22,14:12:44,"🎀蘇貞文（阿呆）🎀歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,潮州/花里路貓餐館(CXXAHE000),2025/01/22,14:15:28,貼圖已傳送
Account,俐均,2025/01/22,14:18:11,老闆娘您好
User,潮州/花里路貓餐館(CXXAHE000),2025/01/22,14:18:46,你好
Account,俐均,2025/01/22,14:20:10,https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA
Account,俐均,2025/01/22,14:21:33,"這是我們的產品目錄,給您參考"
Account,俐均,2025/01/22,14:21:35,謝謝
Account,俐均,2025/01/22,17:51:13,"方便留店家名稱,電話.地址"
User,潮州/花里路貓餐館(CXXAHE000),2025/01/22,17:54:20,"花里路貓餐館
0981979176
屏東縣潮州鎮新生路102號"
Account,俐均,2025/01/23,10:55:59,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,15:26:32,照片已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,15:27:08,"可以麻煩報價給我嗎？
梅花豬肉片跟豬五花"
Account,林鈺婷,2025/02/21,15:29:00,"我們目前只有豬五花 一包一公斤245元
另外有豬肉片 一包一公斤180元"
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,15:54:55,豬肉肉片是組合肉嗎
Account,林鈺婷,2025/02/21,15:58:12,不是喔
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,15:59:29,台灣豬對嗎
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,16:00:45,我禮拜一可以先去買一包豬肉片回來試嗎？
Account,林鈺婷,2025/02/21,16:01:22,台灣豬沒錯喔
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,16:01:29,了解
Account,林鈺婷,2025/02/21,16:01:54,可以喔~大概甚麼時候過來提前跟我們說一聲就可以了，還是我請業務過去拜訪，順便帶過去也可以
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,16:03:14,可是我都下午四點才會到店裡
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,16:03:30,禮拜一我中午大概兩三點就會在店裡可以請業務過來也行
Account,林鈺婷,2025/02/21,16:14:43,我請業務要過去前跟您聯絡
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,16:21:02,好👌所以是禮拜一嗎？
Account,林鈺婷,2025/02/21,16:33:38,我請司機星期一過去，謝謝
User,潮州/花里路貓餐館(CXXAHE000),2025/02/21,17:14:03,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:14:41,"你好請問我今天下午可以過去自取
三包梅花豬肉片
二包牛肉片
二包冷凍花椰菜"
Account,林鈺婷,2025/04/01,11:15:10,可以喔
Account,林鈺婷,2025/04/01,11:15:26,要來之前在跟我們說一下，不然怕會久等
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:15:34,可以麻煩再傳一次地址給我
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:15:37,謝謝
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:16:04,你們的冷凍牛肉片有牛五花嗎還是都是一般的牛肉肉片
Account,林鈺婷,2025/04/01,11:16:57,"潮州鎮潮州路1152號
我們門口有在施工，車進來的時候要注意一下"
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:17:10,好
Account,林鈺婷,2025/04/01,11:17:14,牛肉沒有五花的，不好意思
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:17:33,牛肉片一包多少錢
Account,林鈺婷,2025/04/01,11:20:00,一包240元
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,11:20:26,一公斤裝嗎
Account,林鈺婷,2025/04/01,14:13:56,一公斤裝的對喔
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,15:50:14,請問我最晚幾點之前要取貨
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,15:50:34,我要抓時間從開車過去
Account,林鈺婷,2025/04/01,15:50:47,我們營業到5點
User,潮州/花里路貓餐館(CXXAHE000),2025/04/01,15:50:56,好👌了解
User,潮州/花里路貓餐館(CXXAHE000),2025/04/11,12:30:02,你好請問今天下午四點過後可以幫我送5包梅花豬肉片嗎？
User,潮州/花里路貓餐館(CXXAHE000),2025/04/11,12:30:05,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/04/11,14:00:31,還是我自己過去自取？
User,潮州/花里路貓餐館(CXXAHE000),2025/04/11,14:00:37,貼圖已傳送
Account,☆羅惠君☆,2025/04/11,14:05:59,"老闆 剛已跟司機聯繫上會幫您送過去喔
"
User,潮州/花里路貓餐館(CXXAHE000),2025/04/11,14:25:43,貼圖已傳送
Account,俐均,2025/04/11,14:26:00,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,09:47:21,"你好請問今天下午四點後可以幫我送
6包梅花豬肉片
5包冷凍花椰菜"
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,09:47:55,貼圖已傳送
Account,林鈺婷,2025/04/17,09:55:56,您好～我們目前只有豬五花 沒有梅花豬可以嗎？
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,12:22:55,明天會有嗎？
Account,林鈺婷,2025/04/17,12:25:16,我們沒有賣梅花豬喔~只有豬五花
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,12:26:36,照片已傳送
Account,林鈺婷,2025/04/17,12:27:00,這是豬肉片喔~
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,12:27:22,我之前都是拿這個
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,12:27:31,所以這個有嗎？
Account,林鈺婷,2025/04/17,12:27:52,有的喔
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,12:28:46,"豬肉片6包
冷凍花椰菜5包"
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,12:30:32,下午四點可以幫我送嗎？
Account,林鈺婷,2025/04/17,12:35:55,可以喔~下午請司機幫您送過去
User,潮州/花里路貓餐館(CXXAHE000),2025/04/17,13:42:01,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/04/29,19:37:57,"明天星期三下午四點可以幫我送
豬肉片3包
花椰菜3包
謝謝😊"
Account,自動回應訊息,2025/04/29,19:37:57,貼圖已傳送
Account,自動回應訊息,2025/04/29,19:37:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:25:32,請問今天下午會幫我送嗎
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:25:33,貼圖已傳送
Account,林鈺婷,2025/04/30,10:40:20,今天下午幫您送過去喔
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:42:13,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:42:28,豬肉片5包好了
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:43:04,你們星期四沒送貨對吧
Account,林鈺婷,2025/04/30,10:50:04,我們星期四公休喔 不好意思
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:58:19,好
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:58:26,好那麻煩下午幫我送豬肉片五包謝謝
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:58:36,還有花椰菜三包
User,潮州/花里路貓餐館(CXXAHE000),2025/04/30,10:58:39,貼圖已傳送
Account,林鈺婷,2025/04/30,11:02:27,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/07/03,15:07:19,請問等一下可以幫我送5包豬肉片嗎？
User,潮州/花里路貓餐館(CXXAHE000),2025/07/03,15:17:30,還有那個預炸三姐雞翅可以叫一包嗎？想試炸
Account,☆羅惠君☆,2025/07/03,15:18:31,貼圖已傳送
User,潮州/花里路貓餐館(CXXAHE000),2025/07/03,15:18:36,貼圖已傳送
