帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,小港/金上味快餐(RGJQEDH00),2024/01/02,14:24:24,鹹魚2件。鲽魚1件，柳葉鱼1件
Account,林鈺婷,2024/01/02,14:26:03,貼圖已傳送
Account,林鈺婷,2024/01/02,15:53:03,老闆娘您好先幫您送小一個規格的方便嗎?
User,小港/金上味快餐(RGJQEDH00),2024/01/02,18:36:31,貼圖已傳送
Account,自動回應訊息,2024/01/02,18:36:31,貼圖已傳送
Account,自動回應訊息,2024/01/02,18:36:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小港/金上味快餐(RGJQEDH00),2024/01/07,13:55:38,鲽鱼2件，鹹魚1件
Account,自動回應訊息,2024/01/07,13:55:39,貼圖已傳送
Account,自動回應訊息,2024/01/07,13:55:39,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小港/金上味快餐(RGJQEDH00),2024/01/07,17:34:55,帕頭一件
Account,自動回應訊息,2024/01/07,17:34:56,貼圖已傳送
Account,自動回應訊息,2024/01/07,17:34:56,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小港/金上味快餐(RGJQEDH00),2024/01/15,14:54:49,帕頭I件，鹹'鱼2件
Account,林鈺婷,2024/01/15,14:56:34,貼圖已傳送
User,小港/金上味快餐(RGJQEDH00),2024/01/18,18:47:08,鹹魚.鲽鱼。各一件。玉米10包
Account,自動回應訊息,2024/01/18,18:47:09,貼圖已傳送
Account,自動回應訊息,2024/01/18,18:47:09,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,小港/金上味快餐(RGJQEDH00),2024/01/25,14:46:01,鹹鱼2件，鲽鱼一件，淡小卷1件
Account,林鈺婷,2024/01/25,14:48:05,老闆娘不好意思~我們淡小卷已經售完了
User,小港/金上味快餐(RGJQEDH00),2024/01/29,15:00:35,鹹魚2件，鲽鱼1件，帕頭1件
Account,林鈺婷,2024/01/29,15:04:48,貼圖已傳送
User,小港/金上味快餐(RGJQEDH00),2024/02/05,10:16:24,帕頭一件。鹹魚二件(今天早上)送
Account,林鈺婷,2024/02/05,10:24:34,老闆娘，下次盡量8點前叫貨喔，不然怕司機出門來不及
User,小港/金上味快餐(RGJQEDH00),2024/02/05,12:48:09,OK
User,小港/金上味快餐(RGJQEDH00),2024/02/05,12:48:17,貼圖已傳送
Account,俐均,2024/02/05,12:48:24,貼圖已傳送
User,小港/金上味快餐(RGJQEDH00),2024/02/16,09:57:54,鲽鱼，鹹魚，帕頭各一件，四色豆5包今天早上
User,小港/金上味快餐(RGJQEDH00),2024/02/16,09:58:34,不好意思，過年休息貨看不準
Account,林鈺婷,2024/02/16,10:01:37,貼圖已傳送
User,小港/金上味快餐(RGJQEDH00),2024/02/20,15:21:54,"鹹鱼2件，鲽鱼一件
小卷一件，"
