帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,新園/鳳日自助餐(ZBY5H0000),2024/01/08,14:35:48,玉米一箱
Account,俐均,2024/01/08,14:35:54,貼圖已傳送
User,新園/鳳日自助餐(ZBY5H0000),2024/01/15,14:33:49,蝶魚。玉米
Account,林鈺婷,2024/01/15,14:34:29,貼圖已傳送
User,新園/鳳日自助餐(ZBY5H0000),2024/01/15,14:34:47,裹粉腿肉一箱多少錢
Account,林鈺婷,2024/01/15,14:35:41,一箱50片 880元
User,新園/鳳日自助餐(ZBY5H0000),2024/01/15,14:36:36,一箱
Account,林鈺婷,2024/01/15,14:37:15,貼圖已傳送
User,新園/鳳日自助餐(ZBY5H0000),2024/01/18,22:15:42,裹粉腿肉
Account,自動回應訊息,2024/01/18,22:15:42,貼圖已傳送
Account,自動回應訊息,2024/01/18,22:15:43,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,新園/鳳日自助餐(ZBY5H0000),2024/01/18,22:16:56,3公斤豬肉片
Account,自動回應訊息,2024/01/18,22:16:56,貼圖已傳送
Account,自動回應訊息,2024/01/18,22:16:56,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,新園/鳳日自助餐(ZBY5H0000),2024/01/22,14:42:50,裹粉腿肉
User,新園/鳳日自助餐(ZBY5H0000),2024/01/22,14:43:14,玉米
Account,俐均,2024/01/22,14:43:45,貼圖已傳送
User,新園/鳳日自助餐(ZBY5H0000),2024/01/25,14:52:36,裹粉腿肉
Account,林鈺婷,2024/01/25,14:54:41,貼圖已傳送
