帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/06/06,14:06:25,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/06/06,14:06:25,"莊美蓮歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏市/榮味自助餐(BJY5H0000),2025/06/06,14:06:40,榮味
Account,林鈺婷,2025/06/06,14:06:58,老闆娘您好~
Account,林鈺婷,2025/06/06,14:55:55,"老闆您好~我們的DM目錄，可以參考看看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing
"
User,屏市/榮味自助餐(BJY5H0000),2025/06/06,20:51:03,好
Account,自動回應訊息,2025/06/06,20:51:04,貼圖已傳送
Account,自動回應訊息,2025/06/06,20:51:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/榮味自助餐(BJY5H0000),2025/06/30,14:14:38,不用謝謝
User,屏市/榮味自助餐(BJY5H0000),2025/07/03,14:13:36,沒有謝謝
Account,俐均,2025/07/03,14:17:13,貼圖已傳送
