帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,1東港2屏市/沾武士(高雄不顯示金額),2024/01/15,18:31:03,"毛豆仁一箱
鯖魚一箱"
Account,自動回應訊息,2024/01/15,18:31:04,貼圖已傳送
Account,自動回應訊息,2024/01/15,18:31:04,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1東港2屏市/沾武士(高雄不顯示金額),2024/01/17,14:06:37,豬肉是一公斤160嗎
Account,林鈺婷,2024/01/17,14:08:14,一包一公斤160元
User,1東港2屏市/沾武士(高雄不顯示金額),2024/01/17,14:08:29,有松阪嗎
Account,林鈺婷,2024/01/17,14:11:11,目前沒有喔~不好意思
User,1東港2屏市/沾武士(高雄不顯示金額),2024/01/18,13:25:10,"豬肉一包
牛肉一包
玉米粒一箱
青花菜一箱"
Account,林鈺婷,2024/01/18,14:02:46,貼圖已傳送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/01/23,12:31:44,照片已傳送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/01/23,12:31:58,豬肉片很多碎肉片
Account,林鈺婷,2024/01/23,12:34:44,老闆娘不好意思，我們會再跟廠商反應
User,1東港2屏市/沾武士(高雄不顯示金額),2024/02/01,21:10:11,"白花菜一箱（袋裝）
青花菜一箱（袋裝）"
Account,自動回應訊息,2024/02/01,21:10:11,貼圖已傳送
Account,自動回應訊息,2024/02/01,21:10:11,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1東港2屏市/沾武士(高雄不顯示金額),2024/02/03,17:50:39,鯖魚一箱
Account,自動回應訊息,2024/02/03,17:50:40,貼圖已傳送
Account,自動回應訊息,2024/02/03,17:50:40,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,俐均,2024/02/05,08:37:15,老闆娘您好星期二幫您送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/02/22,14:14:40,青花菜一箱
Account,俐均,2024/02/22,14:14:51,貼圖已傳送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/02/29,14:10:16,鯖魚一箱
Account,俐均,2024/02/29,14:10:29,貼圖已傳送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/05,00:30:34,"青花菜一箱
毛豆仁一箱"
Account,自動回應訊息,2024/03/05,00:30:35,貼圖已傳送
Account,自動回應訊息,2024/03/05,00:30:35,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/11,20:41:48,鯖魚一箱
Account,自動回應訊息,2024/03/11,20:41:48,貼圖已傳送
Account,自動回應訊息,2024/03/11,20:41:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/12,13:26:50,有紫色的花椰菜嗎
Account,俐均,2024/03/12,14:02:04,"老闆娘您好
沒有紫色的花椰菜"
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/14,14:11:13,玉米粒一箱
Account,林鈺婷,2024/03/14,14:11:26,貼圖已傳送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/14,22:14:47,青花菜在一箱
Account,自動回應訊息,2024/03/14,22:14:48,貼圖已傳送
Account,自動回應訊息,2024/03/14,22:14:48,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,俐均,2024/03/15,08:51:06,"老闆娘您好
青花菜目前缺貨`
下星期一會到貨"
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/15,09:56:10,好！那下禮拜二在幫我送
Account,林鈺婷,2024/03/15,10:00:50,貼圖已傳送
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/15,13:52:25,你好 我們今天有叫玉米粒
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/15,13:53:41,他送貨 然後錢沒拿走😂
Account,俐均,2024/03/15,13:55:20,請問營業到幾點呢?
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/15,13:55:33,14:00
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/15,13:55:39,還是要下禮拜二再拿
Account,俐均,2024/03/15,13:56:31,好的
User,1東港2屏市/沾武士(高雄不顯示金額),2024/03/15,13:56:39,好 那你在記錄一下
