帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2025/05/07,14:40:21,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2025/05/07,14:40:21,"   陳孟琳歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/08,11:53:40,原禾食廚房
Account,☆羅惠君☆,2025/05/08,11:55:00,老闆您好 
Account,林鈺婷,2025/05/08,12:00:55,"您好~這是988 DM目錄，點擊網址即可查看
https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing"
Account,林鈺婷,2025/05/12,09:28:42,老闆您好~請問里肌豬排用的還可以嗎?
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/12,12:50:40,里肌口感太軟了，不太喜歡
Account,林鈺婷,2025/05/12,15:24:23,了解~謝謝您
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:02:34,挪威薄鹽鯖魚無骨（160-200）1箱
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:07:09,蒲燒鯛魚90P的1箱
Account,☆羅惠君☆,2025/05/19,14:08:19,"老闆拍謝
90P的沒庫存了，75P的好嗎"
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:16:03,75放餐盒裡太大了，而且油脂好像比較多
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:16:15,想說這一次試看看90的
Account,林鈺婷,2025/05/19,14:16:33,還是110P的可以嗎?
Account,林鈺婷,2025/05/19,14:16:57,因為90P的廠商還來不及送
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:18:43,110不知道會不會太小片？
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:19:01,90廠商那邊進貨再送好了
Account,林鈺婷,2025/05/19,14:29:33,貼圖已傳送
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:39:43,請問一下你們其他產品可以試吃的嗎？
Account,俐均,2025/05/19,14:40:35,請問需要什麼產品呢?
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:41:49,"醬燒棒腿
鐵路大排"
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:42:59,請問牛肉片可以訂一包的嗎？
Account,俐均,2025/05/19,14:43:23,可以喔~
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:44:30,"一包牛肉片
一包豬五花肉片"
Account,俐均,2025/05/19,14:46:47,"明天幫您送
鯖魚160-200-5K1箱
牛肉片*1包
豬五花肉片*1包
試吃醬燒棒腿,鐵路大排
請問這樣對嗎?"
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,14:47:22,對
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,15:06:27,白帶魚上面寫3/4、4/5、5/6是什麼意思？
Account,俐均,2025/05/19,15:17:01,"3/4是一斤600克約3~4片左右
4/5是一斤600克約4~5片左右
5/6是一斤600克約5~6片左右"
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/19,15:18:14,鮭魚條肉的價錢是多少？
Account,俐均,2025/05/19,15:31:18,一盒205元
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/22,14:02:46,蒲燒鯛魚90的有貨了嗎？
Account,☆羅惠君☆,2025/05/22,14:03:19,仍缺貨中
User,鳳山/原禾食廚房(MCGTZ0000),2025/05/22,14:03:30,好
User,鳳山/原禾食廚房(MCGTZ0000),2025/06/10,00:06:15,"鯖魚一件
蒲燒鯛魚腹一件
牛肉片2包"
Account,自動回應訊息,2025/06/10,00:06:15,貼圖已傳送
Account,自動回應訊息,2025/06/10,00:06:15,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鳳山/原禾食廚房(MCGTZ0000),2025/06/10,10:32:25,不好意思，請問今天會送嗎？
Account,林鈺婷,2025/06/10,10:36:24,今天有幫您安排送貨喔
User,鳳山/原禾食廚房(MCGTZ0000),2025/06/10,10:36:46,貼圖已傳送
User,鳳山/原禾食廚房(MCGTZ0000),2025/06/16,12:34:00,一箱鯖魚
Account,俐均,2025/06/16,12:34:12,貼圖已傳送
User,鳳山/原禾食廚房(MCGTZ0000),2025/06/16,12:34:48,貼圖已傳送
User,鳳山/原禾食廚房(MCGTZ0000),2025/06/25,11:39:46,一箱鯖魚
Account,☆羅惠君☆,2025/06/25,11:41:16,貼圖已傳送
User,鳳山/原禾食廚房(MCGTZ0000),2025/07/02,14:35:37,"一件浦燒鯛魚
一件鯖魚"
Account,☆羅惠君☆,2025/07/02,14:37:46,貼圖已傳送
