帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/11/28,13:23:48,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/11/28,13:23:48,"青爭王令歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,鹽埔/慶宗自助餐(FYY5H0000),2024/11/28,13:24:02,慶宗自助餐
Account,林鈺婷,2024/11/28,14:10:47,老闆娘您好~
User,鹽埔/慶宗自助餐(FYY5H0000),2024/12/23,10:09:29,"今天可以幫我送白帶魚
大尺寸的 1箱"
Account,林鈺婷,2024/12/23,10:26:31,貼圖已傳送
Account,林鈺婷,2024/12/23,10:27:37,老闆您好～下次儘量幫我8點前叫貨喔，不然怕來不及
User,鹽埔/慶宗自助餐(FYY5H0000),2024/12/23,12:13:31,貼圖已傳送
Account,林鈺婷,2024/12/23,12:19:05,早上有致電，因為司機已經出門來不及，改星期四幫您送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/01/01,09:04:28,"明天可以幫我送
白帶魚 大尺寸1箱"
Account,王振華,2025/01/01,23:38:19,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/01/15,16:43:00,回來在叫貨 ，目前人在韓國
Account,俐均,2025/01/15,17:44:24,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/01/22,09:28:27,"2/3 （一）
白帶1箱（大尺寸）"
Account,俐均,2025/01/22,10:46:17,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/06,06:09:39,今天 白帶1箱 大尺寸
Account,自動回應訊息,2025/02/06,06:09:39,貼圖已傳送
Account,自動回應訊息,2025/02/06,06:09:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/12,18:01:51,"白帶1箱 大尺寸
"
Account,俐均,2025/02/13,08:32:08,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/20,09:39:24,"今天要白帶魚1箱大尺寸
鹹魚1箱（930$）"
Account,林鈺婷,2025/02/20,09:40:07,老闆娘早 下次盡量幫我早上8點前叫貨喔
Account,林鈺婷,2025/02/20,09:40:16,不然怕司機來不及幫您送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/20,09:40:25,好的
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/20,09:40:43,"不好意思
今天來的及嗎"
Account,林鈺婷,2025/02/20,09:41:04,今天請司機幫您送過去喔
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/20,09:41:25,感謝🙏
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/24,07:42:18,可以拿柳葉魚來看看嗎？
Account,自動回應訊息,2025/02/24,07:42:18,貼圖已傳送
Account,自動回應訊息,2025/02/24,07:42:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2025/02/24,07:50:56,"老闆娘好
請問是裹粉海苔柳葉魚嗎？"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/24,07:51:43,不是
Account,自動回應訊息,2025/02/24,07:51:44,貼圖已傳送
Account,自動回應訊息,2025/02/24,07:51:44,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2025/02/24,09:10:59,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/26,20:37:31,"如購買10箱鹹魚
可以先幫我送一箱
其餘9箱可以先寄放嗎"
Account,自動回應訊息,2025/02/26,20:37:31,貼圖已傳送
Account,自動回應訊息,2025/02/26,20:37:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/02/26,23:32:13,老闆好，您是要特價的200／240的鹹魚嗎？
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/27,06:16:52,上次拿930的那個
Account,自動回應訊息,2025/02/27,06:16:53,貼圖已傳送
Account,自動回應訊息,2025/02/27,06:16:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/02/27,08:35:49,"老闆娘早~我們有延長優惠至3月底喔
另外我們公司不開放寄庫喔，謝謝"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/27,08:36:53,那今天幫我送一箱 鹹魚930$
User,鹽埔/慶宗自助餐(FYY5H0000),2025/02/27,08:36:58,謝謝
Account,林鈺婷,2025/02/27,08:41:00,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/03,07:07:06,"白帶1箱大尺寸
鹹魚1箱930$
吳郭魚1箱150/200"
Account,自動回應訊息,2025/03/03,07:07:06,貼圖已傳送
Account,自動回應訊息,2025/03/03,07:07:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/06,06:55:13,"鹹魚1箱930$
白帶1箱大尺寸"
Account,自動回應訊息,2025/03/06,06:55:13,貼圖已傳送
Account,自動回應訊息,2025/03/06,06:55:13,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/12,18:48:18,"鹹魚1箱930$
白帶1箱大尺寸"
Account,自動回應訊息,2025/03/12,18:48:18,貼圖已傳送
Account,自動回應訊息,2025/03/12,18:48:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/16,19:22:25,"鹹魚1箱930$
吳郭魚1箱150/200"
Account,自動回應訊息,2025/03/16,19:22:26,貼圖已傳送
Account,自動回應訊息,2025/03/16,19:22:26,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/23,17:02:40,"鹹魚1箱930$
吳郭魚1箱150/200"
Account,俐均,2025/03/24,08:55:04,"老闆好不好意思
吳郭魚150/200目前售完,幫您送200/300的規格好嗎?"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/24,09:15:46,好
Account,俐均,2025/03/24,09:17:53,貼圖已傳送
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/26,20:07:55,"鹹魚1箱
白帶1箱
烏魚1箱"
Account,自動回應訊息,2025/03/26,20:07:55,貼圖已傳送
Account,自動回應訊息,2025/03/26,20:07:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/03/30,22:08:47,鹹魚7箱
Account,自動回應訊息,2025/03/30,22:08:47,貼圖已傳送
Account,自動回應訊息,2025/03/30,22:08:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/04/11,19:09:02,白帶1箱
Account,自動回應訊息,2025/04/11,19:09:03,貼圖已傳送
Account,自動回應訊息,2025/04/11,19:09:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/04/11,23:23:16,謝謝老闆，星期一會送去
User,鹽埔/慶宗自助餐(FYY5H0000),2025/04/17,06:48:11,"白帶1箱
烏魚1箱"
Account,自動回應訊息,2025/04/17,06:48:12,貼圖已傳送
Account,自動回應訊息,2025/04/17,06:48:12,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/04/24,07:04:34,"白帶1箱
肉魚#3"
Account,自動回應訊息,2025/04/24,07:04:34,貼圖已傳送
Account,自動回應訊息,2025/04/24,07:04:34,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/04/24,08:42:15,老闆不好意思~我們目前肉魚缺貨中，預計要下星期才會到貨
Account,林鈺婷,2025/04/24,09:04:10,剛剛有電話聯絡，先幫您送白帶魚過去~謝謝
User,鹽埔/慶宗自助餐(FYY5H0000),2025/04/28,07:18:29,"白帶1箱
肉魚1箱#3
烏魚切片1箱"
Account,自動回應訊息,2025/04/28,07:18:30,貼圖已傳送
Account,自動回應訊息,2025/04/28,07:18:30,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2025/04/28,08:38:29,老闆不好意思~我們目前肉魚缺貨中
User,鹽埔/慶宗自助餐(FYY5H0000),2025/05/08,06:25:45,"白帶1箱
烏魚切片1箱"
Account,自動回應訊息,2025/05/08,06:25:46,貼圖已傳送
Account,自動回應訊息,2025/05/08,06:25:46,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/05/15,06:41:20,"白帶1箱
烏魚切片1箱
秋刀魚1箱#3
秋刀魚1箱#4
鰈魚1箱150/180"
Account,自動回應訊息,2025/05/15,06:41:20,貼圖已傳送
Account,自動回應訊息,2025/05/15,06:41:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,鹽埔/慶宗自助餐(FYY5H0000),2025/05/19,07:13:49,"鹹魚1箱
鱸魚清肉1箱"
