帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,長治/鮮魚湯(VMWT5RX20),2024/01/04,08:09:31,無骨鯖魚130／160一箱
Account,自動回應訊息,2024/01/04,08:09:31,貼圖已傳送
Account,自動回應訊息,2024/01/04,08:09:31,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/鮮魚湯(VMWT5RX20),2024/01/04,08:09:47,有鳥魚片
Account,自動回應訊息,2024/01/04,08:09:48,貼圖已傳送
Account,自動回應訊息,2024/01/04,08:09:48,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/鮮魚湯(VMWT5RX20),2024/01/04,08:10:37,有鳥魚片嗎
Account,自動回應訊息,2024/01/04,08:10:37,貼圖已傳送
Account,自動回應訊息,2024/01/04,08:10:37,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,林鈺婷,2024/01/04,08:44:18,老闆娘早~今天請業務帶過去給您看喔
User,長治/鮮魚湯(VMWT5RX20),2024/01/17,16:31:07,無骨鯖魚130／160一箱
Account,林鈺婷,2024/01/17,16:32:42,貼圖已傳送
User,長治/鮮魚湯(VMWT5RX20),2024/01/17,16:33:14,猪肉片2公斤
Account,俐均,2024/01/17,16:38:19,貼圖已傳送
User,長治/鮮魚湯(VMWT5RX20),2024/01/28,21:48:47,無骨鯖魚130／160一箱
Account,自動回應訊息,2024/01/28,21:48:47,貼圖已傳送
Account,自動回應訊息,2024/01/28,21:48:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,長治/鮮魚湯(VMWT5RX20),2024/02/04,16:02:25,無骨鯖魚130／160一箱
Account,自動回應訊息,2024/02/04,16:02:26,貼圖已傳送
