帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:16
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/01/06,12:40:47,照片已傳送
Account,自動回應訊息,2024/01/06,12:40:47,貼圖已傳送
Account,自動回應訊息,2024/01/06,12:40:47,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/01/06,12:40:54,'@林鈺婷 麻煩您 1/10到貨
Account,自動回應訊息,2024/01/06,12:40:55,貼圖已傳送
Account,自動回應訊息,2024/01/06,12:40:55,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/01/17,13:21:12,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/01/17,13:21:15,'@林鈺婷 麻煩您
Account,俐均,2024/01/17,14:03:10,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/01/17,14:30:54,謝謝您
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/02/15,14:38:39,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/02/15,14:38:52,'@林鈺婷 麻煩您
Account,林鈺婷,2024/02/15,14:39:19,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/02/22,16:09:58,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/02/22,16:10:01,'@林鈺婷 麻煩您
Account,林鈺婷,2024/02/22,16:10:11,明天幫您寄出喔
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/02/22,16:15:38,謝謝您
Account,林鈺婷,2024/02/23,09:00:29,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:12:01,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:12:04,'@林鈺婷 麻煩您
Account,俐均,2024/03/08,15:13:07,今天幫您寄出
Account,俐均,2024/03/08,15:13:09,謝謝
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:19:13,3/11寄出的話 3/12會到嗎
User,🌈俐均,2024/03/08,15:19:30,會
User,🌈俐均,2024/03/08,15:19:58,請問要改3/11寄出嗎?
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:20:38,好
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:20:41,麻煩3/11
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:20:43,謝謝
User,🌈俐均,2024/03/08,15:20:51,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/08,15:23:15,謝謝您
User,🌈俐均,2024/03/08,15:23:40,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/21,18:02:08,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/21,18:02:12,'@林鈺婷 麻煩您
User,林鈺婷,2024/03/21,18:02:37,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/29,15:21:12,此內容已收回
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/29,15:22:21,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/03/29,15:22:29,'@林鈺婷 麻煩您
User,🌈俐均,2024/03/29,16:06:00,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/08,15:01:31,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/08,15:01:34,'@林鈺婷 麻煩您
Account,俐均,2024/04/08,15:03:12,請問明天幫您寄出嗎?
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/08,15:07:15,好的麻煩您
Account,俐均,2024/04/08,15:07:24,貼圖已傳送
Account,俐均,2024/04/08,15:07:27,貼圖已傳送
Account,林鈺婷,2024/04/11,11:35:31,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/16,15:47:09,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/16,15:47:13,'@林鈺婷 麻煩您
Account,林鈺婷,2024/04/16,15:47:48,明天幫您寄出喔
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/16,16:25:42,謝謝
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/18,16:28:05,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/18,16:28:11,'@林鈺婷 麻煩您了
Account,俐均,2024/04/18,16:29:58,貼圖已傳送
User,林鈺婷,2024/04/18,16:34:11,明天幫您寄出喔～
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/18,17:37:09,'@林鈺婷 幫我禮拜一出貨好嗎
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/04/18,17:37:10,謝謝
Account,俐均,2024/04/18,17:39:24,貼圖已傳送
User,韓潔兒,2024/04/23,18:32:06,請問今天收貨款項是？
Account,自動回應訊息,2024/04/23,18:32:06,貼圖已傳送
Account,自動回應訊息,2024/04/23,18:32:06,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/23,19:00:53,明天確認完回覆您喔，請問是款項的部分有問題嗎？
User,韓潔兒,2024/04/23,19:09:32,已經找到進貨單了，不用麻煩了，感謝❤️
Account,俐均,2024/04/24,08:32:40,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/07,11:58:23,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/07,11:58:26,'@林鈺婷 麻煩您
Account,俐均,2024/05/07,11:58:57,"您好
今天幫您寄出嗎?"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/07,12:14:01,好的
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/07,12:14:02,麻煩了
Account,俐均,2024/05/07,12:14:06,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/09,16:23:42,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/09,16:23:46,'@林鈺婷 
Account,俐均,2024/05/09,16:24:47,"明天幫您寄
後天可以收貨嗎?"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/09,16:28:47,要中午以前
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/09,16:29:00,不然就下週一寄出
Account,俐均,2024/05/09,16:29:09,好的
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/09,16:29:11,週六只有半天
Account,俐均,2024/05/13,09:25:03,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/14,15:08:57,"'@林鈺婷 不好意思 請問貨款多少錢
今天付錢了忘記記下來了"
User,🌈俐均,2024/05/14,15:21:46,等等回覆您好嗎？
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/14,15:27:55,好的
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/14,15:27:57,謝謝你
Account,俐均,2024/05/14,15:35:13,7580
Account,俐均,2024/05/14,15:35:23,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/14,16:14:51,謝謝
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/16,18:23:14,照片已傳送
Account,自動回應訊息,2024/05/16,18:23:14,貼圖已傳送
Account,自動回應訊息,2024/05/16,18:23:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/16,18:23:20,'@林鈺婷 叫貨 謝謝
Account,自動回應訊息,2024/05/16,18:23:21,貼圖已傳送
Account,自動回應訊息,2024/05/16,18:23:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/05/17,11:30:46,"您好
今天幫您寄出,請問明天有人員可以收貨嗎?"
User,🌈俐均,2024/05/17,11:49:28,'@喵喵ฅ^ↀᴥↀ^ฅ 
User,Mandy,2024/05/17,11:57:15,"明天12點前有人可以收貨喔
謝謝"
Account,俐均,2024/05/17,12:03:55,黑貓只能選13:00點前
Account,俐均,2024/05/17,12:04:16,還是要星期一幫您寄出呢?
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/17,12:08:51,13:00前會到嗎
User,林鈺婷,2024/05/17,12:09:28,基本上黑貓物流是他們安排，所以我們也沒辦法保證，還是下星期一幫您寄出呢?
Account,俐均,2024/05/17,12:11:15,"建議下次星期三~四訂(上午前下單)
這樣星期五可以到貨"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/17,12:15:32,好 沒問題
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/27,13:43:28,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/27,13:43:32,'@林鈺婷 麻煩您
Account,林鈺婷,2024/05/27,14:02:11,貼圖已傳送
Account,林鈺婷,2024/05/31,11:53:18,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/05/31,11:57:55,謝謝
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/06/13,13:52:25,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/06/13,13:52:28,'@林鈺婷 麻煩您
Account,俐均,2024/06/13,14:00:56,貼圖已傳送
Account,林鈺婷,2024/06/13,14:18:17,星期一幫您寄喔
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/06/13,15:26:34,謝謝
Account,俐均,2024/06/13,15:27:54,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/08,13:52:41,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/08,13:52:47,'@林鈺婷 麻煩您
Account,俐均,2024/07/08,14:12:49,"您好
請問明天幫您寄出後天到好嗎?"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/08,14:28:45,好的
Account,俐均,2024/07/08,14:28:52,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/11,14:09:10,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/11,14:09:14,'@林鈺婷 
Account,俐均,2024/07/11,14:14:24,"您好
請問是7/15寄嗎?還是7/15到貨呢?"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/11,14:46:25,7/15寄送 謝謝
Account,俐均,2024/07/11,14:50:10,貼圖已傳送
User,Mandy,2024/07/12,12:19:47,"'@林鈺婷 不好意思
師傅叫錯貨
可以取消嗎🙏"
Account,林鈺婷,2024/07/12,12:27:41,沒問題喔~這邊幫您做取消喔
User,Vincent  政宏(台北甘擔廚房）,2024/07/12,12:28:01,感謝您
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/29,09:15:17,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/07/29,09:15:25,'@林鈺婷 麻煩您
Account,俐均,2024/07/29,11:33:34,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,12:19:39,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,12:19:44,'@林鈺婷 麻煩您
Account,俐均,2024/08/15,12:21:18,"您好
只能星期二到貨喔~"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,12:27:02,禮拜一沒辦法到貨嗎
User,林鈺婷,2024/08/15,12:28:10,因為我們如果今天寄，明天就會到貨
User,林鈺婷,2024/08/15,12:28:41,六、日我們公休 黑貓也不會過來收
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,13:39:33, 明天到可以嗎
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,13:40:38,'@林鈺婷 
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,13:40:40,謝謝
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,13:41:06,"另外請問 
所以禮拜五你們沒有出貨是嗎
禮拜五出貨不是禮拜一可以到貨嗎"
User,林鈺婷,2024/08/15,13:57:47,因為黑貓明天到的時間不一定，可能到時候要麻煩您們等一下
User,林鈺婷,2024/08/15,14:02:09,可以備註，但因為之前黑貓有幾次不小心先出的狀況 如果沒關係的話，今天幫您出 備註星期一到
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,14:34:01,好的
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,14:34:11,明天即可
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,14:34:13,謝謝
Account,俐均,2024/08/15,14:37:48,貼圖已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/15,14:38:09,謝謝您喔
Account,俐均,2024/08/15,14:39:16,不客氣
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,13:58:31,照片已傳送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,13:58:43,"'@林鈺婷 麻煩您9/2寄出
9/3可以到對嗎"
Account,林鈺婷,2024/08/29,14:05:51,因為現在臨近中秋，黑貓送貨時間可能會晚一點
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,17:07:03,所以如果要放禮拜二到
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,17:07:16,要怎麼寄送
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,17:07:24,要改成3箱
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,17:07:34,比較害怕假日在貨運倉庫
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,17:07:37,怕保存問題
User,林鈺婷,2024/08/29,17:09:10,照片已傳送
Account,林鈺婷,2024/08/29,17:10:08,因為現在黑貓中秋節無法指定時間，如果一定要趕在星期二前的話，就只能星期五幫您寄
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,18:27:35,請問今天寄可以嗎
Account,自動回應訊息,2024/08/29,18:27:36,貼圖已傳送
Account,自動回應訊息,2024/08/29,18:27:36,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,18:27:39,還是明天
Account,自動回應訊息,2024/08/29,18:27:39,貼圖已傳送
Account,自動回應訊息,2024/08/29,18:27:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,19:33:09,謝謝
Account,自動回應訊息,2024/08/29,19:33:09,貼圖已傳送
Account,自動回應訊息,2024/08/29,19:33:09,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/08/29,23:17:36,老闆好，要明天寄了
User,喵喵ฅ^ↀᴥↀ^ฅ,2024/08/29,23:31:39,好 謝謝您喔
Account,自動回應訊息,2024/08/29,23:31:40,貼圖已傳送
Account,自動回應訊息,2024/08/29,23:31:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,韓潔兒,2024/09/01,17:40:37,此內容已收回
Account,自動回應訊息,2024/09/01,17:40:37,貼圖已傳送
Account,自動回應訊息,2024/09/01,17:40:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
