帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,屏市/娟料理(RXX000000),2024/06/13,15:35:44,你們有可参考的產品嗎
Account,林鈺婷,2024/06/13,15:36:29,照片已傳送
Account,林鈺婷,2024/06/13,15:36:29,照片已傳送
Account,林鈺婷,2024/06/13,15:36:30,照片已傳送
Account,林鈺婷,2024/06/13,15:36:30,照片已傳送
Account,林鈺婷,2024/06/13,15:36:31,照片已傳送
Account,林鈺婷,2024/06/13,15:36:31,照片已傳送
Account,林鈺婷,2024/06/13,15:36:32,照片已傳送
Account,林鈺婷,2024/06/13,15:36:32,照片已傳送
Account,林鈺婷,2024/06/13,15:36:41,照片已傳送
Account,林鈺婷,2024/06/13,15:36:42,照片已傳送
Account,林鈺婷,2024/06/13,15:36:42,照片已傳送
Account,林鈺婷,2024/06/13,15:36:43,照片已傳送
Account,林鈺婷,2024/06/13,15:36:43,照片已傳送
Account,林鈺婷,2024/06/13,15:36:44,照片已傳送
Account,林鈺婷,2024/06/13,15:36:44,照片已傳送
User,屏市/娟料理(RXX000000),2024/06/13,16:18:18,價格
Account,林鈺婷,2024/06/13,16:21:17,檔案已傳送
User,屏市/娟料理(RXX000000),2024/06/13,16:23:41,好，請問你們什麼時候送貨
Account,林鈺婷,2024/06/13,16:23:53,請問是在哪裡呢?
User,屏市/娟料理(RXX000000),2024/06/13,16:33:07,廣東路
Account,林鈺婷,2024/06/13,16:37:33,固定星期二、五送貨喔
User,屏市/娟料理(RXX000000),2024/06/13,16:43:23,好
User,屏市/娟料理(RXX000000),2024/06/16,13:40:05,"裹粉腿排1箱
紐奧良腿排1箱
鯖魚100/1301箱"
Account,自動回應訊息,2024/06/16,13:40:05,貼圖已傳送
Account,自動回應訊息,2024/06/16,13:40:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/娟料理(RXX000000),2024/06/16,13:40:24,屏東市廣東路540-1號
Account,自動回應訊息,2024/06/16,13:40:24,貼圖已傳送
Account,自動回應訊息,2024/06/16,13:40:24,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/06/17,10:01:22,老闆娘您好～請問裹粉腿排是要檸檬還是紐奧良口味的呢？
User,屏市/娟料理(RXX000000),2024/06/17,10:03:59,檸檬
Account,林鈺婷,2024/06/17,10:31:56,貼圖已傳送
Account,林鈺婷,2024/06/17,11:43:44,老闆娘您好~請問鯖魚要6k還是5k的呢?
User,屏市/娟料理(RXX000000),2024/06/17,12:04:27,6
Account,林鈺婷,2024/06/17,12:05:02,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/06/20,14:17:18,"裹粉腿排1箱
紐奧良腿排1箱
鯖魚100/1301箱"
Account,俐均,2024/06/20,14:17:38,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/06/20,14:17:42,你們有6兩的大雞腿嗎
User,屏市/娟料理(RXX000000),2024/06/20,14:19:41,日式豬排（60）
Account,俐均,2024/06/20,14:30:09,"老闆娘好
我們有日式厚切豬排60P的"
Account,俐均,2024/06/20,14:30:37,沒有
User,屏市/娟料理(RXX000000),2024/06/20,14:33:02,"裹粉腿排1箱
紐奧良腿排1箱
鯖魚100/1301箱"
User,屏市/娟料理(RXX000000),2024/06/20,14:33:08,這個就好
Account,俐均,2024/06/20,14:37:49,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/06/24,14:35:40,"裹粉腿排1箱
紐奧良腿排1箱
鯖魚100/1301箱"
User,屏市/娟料理(RXX000000),2024/06/24,14:47:03,"'
我們有日式厚切豬排60P的1箱"
User,屏市/娟料理(RXX000000),2024/06/24,14:47:48,"裹粉腿排1箱
紐奧良腿排1箱"
Account,俐均,2024/06/24,15:18:12,"老闆娘您好
明天幫您送裹粉腿排*1箱.紐奧良腿排*1箱.鯖魚100/130*1箱.日式厚切豬排60P的1箱嗎?"
User,屏市/娟料理(RXX000000),2024/06/24,15:22:43,是
Account,俐均,2024/06/24,15:29:25,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/07/01,14:03:25,"裹粉腿排2箱
紐奧良腿排2箱
鯖魚100/1301箱"
Account,俐均,2024/07/01,14:03:43,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/07/04,14:19:31,"裹粉腿排1箱
鯖魚100/1301箱"
Account,俐均,2024/07/04,14:27:20,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/07/08,15:38:14,"裹粉腿排1箱
紐奧良腿排1箱"
Account,林鈺婷,2024/07/08,15:41:20,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/07/15,15:48:31,"裹粉腿排1箱
紐奧良腿排2箱"
Account,俐均,2024/07/15,15:53:11,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/07/22,17:51:27,"裹粉腿排1箱
紐奧良腿排1箱"
Account,林鈺婷,2024/07/22,17:52:36,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/07/29,14:42:46,"裹粉腿排1箱
紐奧良腿排1箱"
Account,俐均,2024/07/29,14:45:00,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/08/02,08:37:02,"裹粉腿排1箱
紐奧良腿排1箱"
Account,林鈺婷,2024/08/02,08:45:43,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/09/09,17:30:12,白帶魚、鮭魚條肉、肉鯽魚有報價嗎
Account,林鈺婷,2024/09/09,17:37:00,"白帶魚切塊3/4 一箱10公斤 1300元
白帶魚切塊4/5、5/6 一箱10公斤"
Account,林鈺婷,2024/09/09,17:37:39,"白帶魚切塊3/4 一箱10公斤 1300元
白帶魚切塊4/5、5/6 一箱10公斤 1250元
肉魚120/150 一箱10公斤1350元
肉魚150/180 一箱10公斤1800元
鮭魚條肉目前缺貨，不好意思"
User,屏市/娟料理(RXX000000),2024/09/09,17:44:42,我要怎麼知道大小
Account,林鈺婷,2024/09/09,17:51:24,老闆娘有大概要的克數或成本要控制在多少嗎?
User,屏市/娟料理(RXX000000),2024/09/09,17:52:16,我要看大小，訂價
Account,林鈺婷,2024/09/09,17:53:15,照片已傳送
Account,林鈺婷,2024/09/09,17:55:07,照片已傳送
Account,林鈺婷,2024/09/09,17:55:20,這是白帶魚切塊5/6的大小
User,屏市/娟料理(RXX000000),2024/09/09,17:57:40,好，我想ㄧ下
Account,俐均,2024/09/10,08:34:40,貼圖已傳送
User,屏市/娟料理(RXX000000),2024/09/18,16:19:42,白帶魚切塊4/5ㄧ箱
Account,林鈺婷,2024/09/18,16:19:55,星期五幫您送過去喔
User,屏市/娟料理(RXX000000),2024/09/18,16:20:15,香酥魚排也ㄧ箱
