帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/04/08,17:10:46,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/04/08,17:10:46,"柏勝歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,屏市/八町屋(12A000000),2024/04/08,17:10:52,貼圖已傳送
Account,林鈺婷,2024/04/08,17:11:02,貼圖已傳送
Account,林鈺婷,2024/04/08,17:11:28,檔案已傳送
User,屏市/八町屋(12A000000),2024/04/22,18:15:20,想請問一下
Account,自動回應訊息,2024/04/22,18:15:20,貼圖已傳送
Account,自動回應訊息,2024/04/22,18:15:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/八町屋(12A000000),2024/04/22,18:15:37,半香雞是什麼？
Account,自動回應訊息,2024/04/22,18:15:38,貼圖已傳送
Account,自動回應訊息,2024/04/22,18:15:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/04/22,19:02:59,"老闆娘好
是有帶骨的雞排"
User,屏市/八町屋(12A000000),2024/04/22,19:25:19,請問有無骨的雞排嗎？沒有帶粉的
Account,自動回應訊息,2024/04/22,19:25:20,貼圖已傳送
Account,自動回應訊息,2024/04/22,19:25:20,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/23,08:41:09,我們目前無骨的雞排都有帶粉，不好意思
User,屏市/八町屋(12A000000),2024/04/23,09:57:04,不會！
User,屏市/八町屋(12A000000),2024/04/23,09:57:14,謝謝
User,屏市/八町屋(12A000000),2024/10/22,11:31:56,請問有最新目錄嗎？
Account,林鈺婷,2024/10/22,11:44:45,晚點傳給您喔
User,屏市/八町屋(12A000000),2024/10/22,11:44:54,謝謝
Account,林鈺婷,2024/10/22,11:45:04,https://drive.google.com/drive/folders/18SBRHVA4OTdRrkUHVqYVSsOihtwMkODA?usp=sharing
Account,林鈺婷,2024/10/22,11:45:10,這是我們的商品目錄
User,屏市/八町屋(12A000000),2024/11/04,14:01:03,你好！八町屋
User,屏市/八町屋(12A000000),2024/11/04,14:01:10,明天要兩箱腿排
User,屏市/八町屋(12A000000),2024/11/04,14:01:15,謝謝
Account,林鈺婷,2024/11/04,14:01:57,貼圖已傳送
User,屏市/八町屋(12A000000),2024/11/18,14:01:56,2箱腿排！謝謝
Account,林鈺婷,2024/11/18,14:02:29,貼圖已傳送
User,屏市/八町屋(12A000000),2024/11/19,17:32:47,請問八町屋是用這組的嗎？
Account,林鈺婷,2024/11/19,17:40:39,不是喔~您們是用規格比較小100/130的
User,屏市/八町屋(12A000000),2024/11/21,14:17:12,明天要一箱鯖魚！八町屋
User,屏市/八町屋(12A000000),2024/11/21,14:17:17,謝謝
Account,俐均,2024/11/21,14:29:07,貼圖已傳送
User,屏市/八町屋(12A000000),2024/12/02,14:17:28,明天要一箱腿排跟一箱鯖魚
User,屏市/八町屋(12A000000),2024/12/02,14:17:31,謝謝
Account,林鈺婷,2024/12/02,14:24:12,貼圖已傳送
User,屏市/八町屋(12A000000),2024/12/12,14:40:42,明天要一箱腿排一箱鯖魚
User,屏市/八町屋(12A000000),2024/12/12,14:40:47,謝謝
Account,俐均,2024/12/12,15:09:15,貼圖已傳送
User,屏市/八町屋(12A000000),2024/12/23,17:18:55,明天要一箱腿排
User,屏市/八町屋(12A000000),2024/12/23,17:18:58,謝謝
User,屏市/八町屋(12A000000),2024/12/23,17:19:19,請為還有杏包菇角料嗎？
Account,林鈺婷,2024/12/23,17:24:25,杏鮑菇先幫您排單喔，因為廠商還沒報數量，如果有明天幫您送過去
User,屏市/八町屋(12A000000),2024/12/23,17:25:25,好喔
User,屏市/八町屋(12A000000),2024/12/23,17:25:37,還要一箱鯖魚
User,屏市/八町屋(12A000000),2024/12/23,17:25:50,那個角料是120元嗎？
Account,林鈺婷,2024/12/23,17:26:08,對一包3公斤120圓
User,屏市/八町屋(12A000000),2024/12/23,17:26:42,我要小塊的
Account,林鈺婷,2024/12/23,17:28:41,小塊的是角料A 一包140元
User,屏市/八町屋(12A000000),2024/12/23,17:32:25,大的120？
Account,林鈺婷,2024/12/23,17:35:40,對~
Account,林鈺婷,2024/12/23,17:35:52,照片已傳送
User,屏市/八町屋(12A000000),2024/12/23,17:36:51,120的謝謝🙏
Account,林鈺婷,2024/12/23,17:41:59,貼圖已傳送
User,屏市/八町屋(12A000000),2025/01/02,18:07:48,明天要兩箱檸檬腿排
User,屏市/八町屋(12A000000),2025/01/02,18:07:50,謝謝
Account,俐均,2025/01/03,08:33:37,貼圖已傳送
User,屏市/八町屋(12A000000),2025/01/06,14:03:27,明天要一箱鯖魚！一包杏包菇角料
User,屏市/八町屋(12A000000),2025/01/06,14:03:33,謝謝
Account,林鈺婷,2025/01/06,14:04:03,貼圖已傳送
User,屏市/八町屋(12A000000),2025/01/16,14:20:41,明天要一箱腿排一箱鯖魚
User,屏市/八町屋(12A000000),2025/01/16,14:20:45,謝謝
Account,俐均,2025/01/16,14:43:14,貼圖已傳送
User,屏市/八町屋(12A000000),2025/02/06,14:14:52,一箱鯖魚一箱腿排
User,屏市/八町屋(12A000000),2025/02/06,14:14:56,謝謝
Account,俐均,2025/02/06,14:20:10,收到
User,屏市/八町屋(12A000000),2025/02/13,14:01:33,一箱鯖魚一箱腿排
User,屏市/八町屋(12A000000),2025/02/13,14:01:36,🙏
Account,林鈺婷,2025/02/13,14:02:36,貼圖已傳送
User,屏市/八町屋(12A000000),2025/02/24,15:12:59,明天要一箱鯖魚！一箱腿排
User,屏市/八町屋(12A000000),2025/02/24,15:13:01,謝謝
User,屏市/八町屋(12A000000),2025/02/24,15:13:23,一包杏包菇角料
Account,林鈺婷,2025/02/24,15:14:04,貼圖已傳送
User,屏市/八町屋(12A000000),2025/03/03,14:05:49,兩箱腿排
User,屏市/八町屋(12A000000),2025/03/03,14:05:56,一箱鯖魚
Account,俐均,2025/03/03,14:06:09,貼圖已傳送
User,屏市/八町屋(12A000000),2025/03/17,17:51:21,明天要一箱腿排
User,屏市/八町屋(12A000000),2025/03/17,17:51:29,一箱鯖魚
User,屏市/八町屋(12A000000),2025/03/17,17:51:32,謝謝
Account,俐均,2025/03/18,08:44:50,貼圖已傳送
User,屏市/八町屋(12A000000),2025/04/07,14:16:12,明天要兩箱腿排
User,屏市/八町屋(12A000000),2025/04/07,14:16:14,謝謝
Account,俐均,2025/04/07,14:16:30,貼圖已傳送
User,屏市/八町屋(12A000000),2025/04/10,14:01:48,一箱腿排一箱鯖魚
User,屏市/八町屋(12A000000),2025/04/10,14:01:51,謝謝🙏
Account,俐均,2025/04/10,14:04:02,貼圖已傳送
User,屏市/八町屋(12A000000),2025/04/21,14:03:01,兩箱腿排
User,屏市/八町屋(12A000000),2025/04/21,14:03:08,謝謝
Account,☆羅惠君☆,2025/04/21,14:25:46,貼圖已傳送
User,屏市/八町屋(12A000000),2025/04/24,16:28:49,你好！明天要一箱鯖魚
User,屏市/八町屋(12A000000),2025/04/24,16:28:52,謝謝
Account,☆羅惠君☆,2025/04/24,16:31:36,貼圖已傳送
User,屏市/八町屋(12A000000),2025/05/05,15:36:49,明天要兩箱腿排
User,屏市/八町屋(12A000000),2025/05/05,15:36:52,謝謝
Account,俐均,2025/05/05,15:37:07,貼圖已傳送
Account,☆羅惠君☆,2025/05/08,11:37:16,老闆好  明天要補星期二 缺的1箱腿排過去，對吧!
User,屏市/八町屋(12A000000),2025/05/08,12:26:04,好！再幫我多送一件鯖魚
User,屏市/八町屋(12A000000),2025/05/08,12:26:06,謝謝
Account,☆羅惠君☆,2025/05/08,12:26:16,貼圖已傳送
User,屏市/八町屋(12A000000),2025/05/22,14:10:49,明天要一箱鯖魚一箱腿排
User,屏市/八町屋(12A000000),2025/05/22,14:10:53,謝謝
Account,☆羅惠君☆,2025/05/22,14:11:14,貼圖已傳送
User,屏市/八町屋(12A000000),2025/05/26,14:06:46,一箱腿排
User,屏市/八町屋(12A000000),2025/05/26,14:06:48,謝謝
Account,☆羅惠君☆,2025/05/26,14:07:49,貼圖已傳送
User,屏市/八町屋(12A000000),2025/06/09,17:33:14,明天要一箱的腿排一箱鯖魚
Account,自動回應訊息,2025/06/09,17:33:14,貼圖已傳送
Account,自動回應訊息,2025/06/09,17:33:14,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/八町屋(12A000000),2025/06/09,17:33:21,謝謝
Account,自動回應訊息,2025/06/09,17:33:22,貼圖已傳送
Account,自動回應訊息,2025/06/09,17:33:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/八町屋(12A000000),2025/06/16,14:39:18,明天要兩箱腿排
User,屏市/八町屋(12A000000),2025/06/16,14:39:26,🙏
Account,俐均,2025/06/16,14:42:05,貼圖已傳送
User,屏市/八町屋(12A000000),2025/06/19,16:39:21,明天要一箱鯖魚
User,屏市/八町屋(12A000000),2025/06/19,16:39:23,謝謝
Account,☆羅惠君☆,2025/06/19,16:48:31,貼圖已傳送
User,屏市/八町屋(12A000000),2025/06/30,20:35:24,你好！明天要一箱腿排
Account,自動回應訊息,2025/06/30,20:35:25,貼圖已傳送
Account,自動回應訊息,2025/06/30,20:35:25,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/八町屋(12A000000),2025/06/30,20:35:38,一箱鯖魚
Account,自動回應訊息,2025/06/30,20:35:38,貼圖已傳送
Account,自動回應訊息,2025/06/30,20:35:38,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,屏市/八町屋(12A000000),2025/06/30,20:35:40,謝謝
Account,自動回應訊息,2025/06/30,20:35:40,貼圖已傳送
Account,自動回應訊息,2025/06/30,20:35:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
