帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
Account,自動回應訊息,2024/08/08,18:51:56,"加入(nine)(eight)(eight)
頭家輕鬆賺飽飽
人客健康呷飽飽"
Account,自動回應訊息,2024/08/08,18:51:56,"FAGO 異法餐盒 苓雅店歡迎您加入988廚房。
☑我們是HACCP認證，合法工廠直營，冷凍冷藏加工調理食安保證
☑專業加工廠直接供貨，方便訂貨．產品平價．好品質!
請先傳個貼圖打聲招呼喔~
詢價、訂貨請提供店家名字/聯絡電話/地址或拍照上傳名片"
User,苓雅/FAGO異法(FAGOUZHC1),2024/08/22,21:15:53,貼圖已傳送
Account,自動回應訊息,2024/08/22,21:15:53,貼圖已傳送
Account,自動回應訊息,2024/08/22,21:15:53,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2024/08/22,21:19:27,"我要訂購鯖魚S大小的一箱 
FAGO 異法餐盒苓雅光華店
光華一路164號
禾彰餐飲有限公司
統編：95435413
聯絡電話：0983159168"
Account,自動回應訊息,2024/08/22,21:19:27,貼圖已傳送
Account,自動回應訊息,2024/08/22,21:19:27,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/08/22,23:47:17,謝謝老闆
Account,林鈺婷,2024/08/23,08:54:10,老闆您好~我們如果要開發票，金額是稅外加，請問有需要嗎?
User,苓雅/FAGO異法(FAGOUZHC1),2024/08/23,11:04:21,需要喔 謝謝
Account,林鈺婷,2024/08/23,11:20:34,今天有送貨過去，下去補發票過去，不好意思
User,苓雅/FAGO異法(FAGOUZHC1),2024/08/23,11:33:50,好的謝謝
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/02,20:42:46,鯖魚S大小的一箱 
Account,自動回應訊息,2024/09/02,20:42:47,貼圖已傳送
Account,自動回應訊息,2024/09/02,20:42:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/09/03,08:47:25,"老闆好
目前送苓雅區是一.三.五
明天幫您送過去好嗎?"
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/03,09:41:16,好的 沒問題
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/11,10:28:39,鯖魚S大小的一箱 
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/11,10:29:25,虱目魚無刺的有什麼規格呢？
Account,林鈺婷,2024/09/11,10:34:19,"目前只有120/145的 一片60元
一次買70片/箱 一片58元"
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/11,10:36:57,好，那也要一箱
Account,林鈺婷,2024/09/11,10:57:53,請問是都送苓雅店嗎?
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/11,11:00:06,對唷
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/11,11:00:09,謝謝
Account,林鈺婷,2024/09/11,11:01:48,請問星期五幫您送過去方便嗎?
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/11,11:14:49,可以喔
Account,俐均,2024/09/11,11:25:16,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/23,10:51:01,鯖魚S大小的一箱 
Account,林鈺婷,2024/09/23,10:51:50,您好~請問星期三幫您送過去方便嗎?
User,苓雅/FAGO異法(FAGOUZHC1),2024/09/23,12:31:54,可以喔
Account,林鈺婷,2024/09/23,12:44:18,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/10/09,11:22:35,"週五
鯖魚S大小的一箱 "
Account,林鈺婷,2024/10/09,11:24:02,貼圖已傳送
Account,林鈺婷,2024/10/14,16:05:32,照片已傳送
Account,林鈺婷,2024/10/14,16:05:50,以上調整價格不含稅
User,苓雅/FAGO異法(FAGOUZHC1),2024/10/16,20:02:40,"週五
鯖魚S大小的一箱 "
Account,自動回應訊息,2024/10/16,20:02:40,貼圖已傳送
Account,自動回應訊息,2024/10/16,20:02:40,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2024/10/25,16:16:13,"週一
鯖魚S大小的一箱 "
Account,俐均,2024/10/25,18:01:27,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/11/04,20:49:00,鯖魚S大小的一箱 
Account,自動回應訊息,2024/11/04,20:49:01,貼圖已傳送
Account,自動回應訊息,2024/11/04,20:49:01,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2024/11/12,19:35:40,鯖魚S大小的一箱 
Account,自動回應訊息,2024/11/12,19:35:41,貼圖已傳送
Account,自動回應訊息,2024/11/12,19:35:41,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2024/11/20,20:42:39,鯖魚S大小的一箱 
Account,自動回應訊息,2024/11/20,20:42:39,貼圖已傳送
Account,自動回應訊息,2024/11/20,20:42:39,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,俐均,2024/11/21,08:41:57,"老闆好
請問有急用嗎?
星期五幫您送去"
User,苓雅/FAGO異法(FAGOUZHC1),2024/11/21,19:06:51,好的 謝謝
Account,自動回應訊息,2024/11/21,19:06:52,貼圖已傳送
Account,自動回應訊息,2024/11/21,19:06:52,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2024/11/29,16:14:11,鯖魚S大小的一箱 
Account,林鈺婷,2024/11/29,16:14:25,星期一幫您送過去喔~
User,苓雅/FAGO異法(FAGOUZHC1),2024/11/29,16:18:53,好的 謝謝🙏
Account,林鈺婷,2024/11/29,16:25:29,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/02,14:06:03,請問鯖魚售價中有包含包裝的紙板那些嗎
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/02,14:06:06,想確認一下
Account,林鈺婷,2024/12/02,14:08:38,您好~我們鯖魚的重量有含紙板和包材喔
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/02,14:10:48,好 謝謝
Account,林鈺婷,2024/12/02,14:10:54,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/09,10:45:42,鯖魚S大小的一箱 
Account,林鈺婷,2024/12/09,10:48:19,不好意思 司機已經出門了 星期三幫您送過去可以嗎
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/09,11:22:36,可以喔 謝謝🥹
Account,林鈺婷,2024/12/09,14:13:43,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/16,17:24:34,週三鯖魚S大小的一箱 
Account,俐均,2024/12/16,17:33:01,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/23,20:38:02,週三鯖魚S大小的一箱 
Account,自動回應訊息,2024/12/23,20:38:03,貼圖已傳送
Account,自動回應訊息,2024/12/23,20:38:03,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2024/12/31,13:59:46,週四鯖魚S大小的一箱 
Account,林鈺婷,2024/12/31,17:19:47,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/01/08,12:32:49,鯖魚S大小的一箱 
User,苓雅/FAGO異法(FAGOUZHC1),2025/01/08,12:32:54,貼圖已傳送
Account,林鈺婷,2025/01/08,12:33:07,星期五幫您送過去喔~謝謝
User,苓雅/FAGO異法(FAGOUZHC1),2025/01/17,12:44:59,週一鯖魚S大小的一箱 謝謝(感謝)
Account,林鈺婷,2025/01/17,12:48:15,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/03,18:24:09,鯖魚S大小的一箱 謝謝(感謝)
Account,俐均,2025/02/04,08:32:56,"老闆娘好
明天幫您送去,謝謝"
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/04,13:59:04,好的 謝謝
Account,俐均,2025/02/04,15:06:43,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/10,20:41:00,鯖魚S大小的一箱 謝謝(感謝)
Account,自動回應訊息,2025/02/10,20:41:00,貼圖已傳送
Account,自動回應訊息,2025/02/10,20:41:00,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2025/02/10,23:55:25,老闆好，高雄市區送貨時間為星期一、三、五，請問有急需嗎？不急星期三送去
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/11,10:04:04,不急週三送👌
Account,林鈺婷,2025/02/11,10:08:56,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/14,14:55:12,鯖魚S大小的一箱 謝謝(感謝)
Account,俐均,2025/02/14,14:55:56,"老闆好
下星期一幫您送去,謝謝"
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/14,15:00:26,好的謝謝(感謝)
Account,俐均,2025/02/14,16:43:25,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/20,21:05:47,鯖魚S大小的一箱 謝謝(感謝)
Account,自動回應訊息,2025/02/20,21:05:47,貼圖已傳送
Account,自動回應訊息,2025/02/20,21:05:47,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/02/25,20:58:22,鯖魚S大小的一箱 謝謝(感謝)
Account,自動回應訊息,2025/02/25,20:58:22,貼圖已傳送
Account,自動回應訊息,2025/02/25,20:58:22,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/03/06,17:37:17,鯖魚S大小的一箱 謝謝(感謝)
Account,俐均,2025/03/06,17:38:29,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/03/11,20:40:21,鯖魚S大小的一箱 謝謝(感謝)
Account,自動回應訊息,2025/03/11,20:40:21,貼圖已傳送
Account,自動回應訊息,2025/03/11,20:40:21,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/03/21,17:47:07,週一送 鯖魚S大小的一箱 謝謝(感謝)
Account,俐均,2025/03/21,18:05:18,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/03/27,11:49:33,鯖魚S大小的一箱 謝謝(感謝)
Account,林鈺婷,2025/03/27,11:49:42,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/03/28,19:44:05,火鍋牛肉片是五花還是黃瓜條肉片
Account,自動回應訊息,2025/03/28,19:44:05,貼圖已傳送
Account,自動回應訊息,2025/03/28,19:44:05,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/03/28,19:44:23,要找比較沒油的
Account,自動回應訊息,2025/03/28,19:44:23,貼圖已傳送
Account,自動回應訊息,2025/03/28,19:44:23,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2025/03/31,09:37:15,您好~我們的牛肉片是一般的喔，不是五花
Account,林鈺婷,2025/03/31,09:37:29,照片已傳送
Account,林鈺婷,2025/03/31,09:37:33,照片給您參考
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/07,15:14:00,鯖魚S大小的一箱 謝謝(感謝)
Account,林鈺婷,2025/04/07,15:17:22,貼圖已傳送
Account,林鈺婷,2025/04/07,15:17:30,請問星期三幫您送方便嗎?
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/07,17:56:25,明天來不及配送嗎？
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/07,17:57:01,沒關係週三再幫我們送 謝謝
Account,俐均,2025/04/08,12:26:55,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/14,16:39:30,鯖魚S大小的一箱 謝謝(感謝)
Account,☆羅惠君☆,2025/04/14,16:43:22,"老闆好
星期三幫您送去"
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/14,16:55:02,抱歉我改2箱 謝謝
Account,☆羅惠君☆,2025/04/14,16:55:47,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/23,20:23:01,鯖魚S大小的兩箱 謝謝(感謝)
Account,自動回應訊息,2025/04/23,20:23:02,貼圖已傳送
Account,自動回應訊息,2025/04/23,20:23:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/04/23,20:23:17,週五送沒關係
Account,自動回應訊息,2025/04/23,20:23:18,貼圖已傳送
Account,自動回應訊息,2025/04/23,20:23:18,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/05/02,15:51:27,"下週一
鯖魚S大小的一箱 謝謝(感謝)"
Account,☆羅惠君☆,2025/05/02,16:08:01,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/05/07,17:44:58,明天鯖魚S大小的兩箱 謝謝(感謝)
Account,俐均,2025/05/07,17:48:25,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/05/16,17:56:01,下週一鯖魚S大小的兩箱 謝謝(感謝)
Account,☆羅惠君☆,2025/05/16,17:56:40,貼圖已傳送
User,苓雅/FAGO異法(FAGOUZHC1),2025/05/27,21:02:55,明天鯖魚S大小的兩箱 謝謝(感謝)
Account,自動回應訊息,2025/05/27,21:02:56,貼圖已傳送
Account,自動回應訊息,2025/05/27,21:02:56,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/06/05,21:03:30,明天鯖魚S大小的兩箱 謝謝(感謝)
Account,自動回應訊息,2025/06/05,21:03:31,貼圖已傳送
Account,自動回應訊息,2025/06/05,21:03:31,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/06/10,21:04:58,明天鯖魚S大小的兩箱 謝謝(感謝)
Account,自動回應訊息,2025/06/10,21:04:59,貼圖已傳送
Account,自動回應訊息,2025/06/10,21:04:59,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/06/20,21:06:04,"禮拜一可以送
鯖魚S大小的兩箱 謝謝(感謝)"
Account,自動回應訊息,2025/06/20,21:06:04,貼圖已傳送
Account,自動回應訊息,2025/06/20,21:06:04,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,苓雅/FAGO異法(FAGOUZHC1),2025/06/30,18:59:36,明天鯖魚S大小的三箱 謝謝(感謝)
Account,自動回應訊息,2025/06/30,18:59:37,貼圖已傳送
Account,自動回應訊息,2025/06/30,18:59:37,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
