帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/01/21,11:26:15,青魚5公斤裝5件
Account,自動回應訊息,2024/01/21,11:26:16,貼圖已傳送
Account,自動回應訊息,2024/01/21,11:26:16,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/02/22,16:26:59,青魚5公斤，5件
Account,林鈺婷,2024/02/22,16:27:21,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/03/20,13:30:41,明天青魚，，5公斤，，5件，，謝謝
Account,俐均,2024/03/20,14:01:03,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/04/21,19:32:41,青魚5件
Account,自動回應訊息,2024/04/21,19:32:42,貼圖已傳送
Account,自動回應訊息,2024/04/21,19:32:42,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/05/13,14:18:00,青魚5件，謝謝
Account,俐均,2024/05/13,14:18:30,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/06/04,14:40:29,青魚5件
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/06/04,14:40:43,現在一件多少錢
Account,俐均,2024/06/04,14:41:42,"老闆娘好
5K一箱是930元"
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/06/04,14:42:49,好的，明天5件，謝謝
Account,俐均,2024/06/04,14:47:02,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/06/26,14:53:27,青魚5件
Account,俐均,2024/06/26,14:55:17,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/07/16,14:48:49,青魚5件
Account,林鈺婷,2024/07/16,15:21:29,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/08/07,14:14:31,青魚5件
Account,俐均,2024/08/07,14:15:13,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/08/27,14:27:54,青魚5件
Account,俐均,2024/08/27,14:37:20,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/09/18,14:37:38,青魚5件
Account,林鈺婷,2024/09/18,15:24:07,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/08,15:02:04,青魚5件
Account,林鈺婷,2024/10/08,15:11:54,老闆娘不好意思 我們這個目前缺貨 先幫您送大小一樣品質比較好的可以嗎？平均一片多一元
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/08,15:18:22,一箱多少錢
Account,林鈺婷,2024/10/08,15:20:59,6公斤 1170元
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/08,15:22:52,那先送3件，可以嗎
Account,林鈺婷,2024/10/08,15:23:17,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/08,15:23:37,缺貨什麼時候會有呢
Account,林鈺婷,2024/10/08,15:24:21,要看最近生產線的產出，目前還不確定
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/08,15:24:43,好，了解，謝謝
Account,林鈺婷,2024/10/08,15:26:45,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/24,14:15:33,青魚5件
Account,林鈺婷,2024/10/24,14:22:39,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/10/31,21:33:56,"青魚5件
價格有變嗎？"
Account,自動回應訊息,2024/10/31,21:33:57,貼圖已傳送
Account,自動回應訊息,2024/10/31,21:33:57,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,王振華,2024/11/01,00:19:50,這次還一樣，下次就漲了
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/05,14:16:31,青魚5件
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/05,14:16:41,請問多少錢
Account,俐均,2024/12/05,14:17:23,共5750元
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/05,14:18:04,優惠沒了？
Account,林鈺婷,2024/12/05,14:19:54,優惠只有限定160/200-5K的喔
Account,林鈺婷,2024/12/05,14:20:01,您目前叫的是100/130的
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/05,14:20:40,哦了解，謝謝
Account,林鈺婷,2024/12/05,14:31:02,"還是老闆娘要參考看看200/240的，比較大片，現在一樣優惠一箱930元
可以考慮買回去對半切"
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/05,14:55:44,送一樣的就好了，謝謝
Account,俐均,2024/12/05,14:56:34,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/30,14:15:48,青魚5件
User,大寮/飄香火雞肉飯(QVCRBZ000),2024/12/30,14:15:56,多少錢？
Account,俐均,2024/12/30,14:22:49,"老闆娘好
5750元"
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/01/22,14:47:51,青魚3件，謝謝
Account,俐均,2025/01/22,14:48:09,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/02/11,14:40:06,青魚3件
Account,俐均,2025/02/11,14:43:38,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/02/25,14:37:10,青魚3件
Account,林鈺婷,2025/02/25,14:38:01,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/02/26,12:34:22,青魚今天會來嗎？
Account,林鈺婷,2025/02/26,12:35:16,老闆娘不好意思~司機快到了
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/03/11,14:34:23,青魚3件
Account,林鈺婷,2025/03/11,14:37:30,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/03/24,14:36:22,青魚3件
Account,林鈺婷,2025/03/24,14:37:54,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/04/07,16:13:43,青魚3件
Account,林鈺婷,2025/04/07,16:14:53,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/04/21,16:14:59,青魚3件
Account,林鈺婷,2025/04/21,16:15:19,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/05/06,14:47:00,青魚3件
Account,俐均,2025/05/07,08:31:21,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/05/21,14:36:15,青魚3件
Account,☆羅惠君☆,2025/05/21,14:36:48,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/06/05,14:48:44,青魚3件
Account,☆羅惠君☆,2025/06/05,14:49:05,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/06/18,14:43:32,青魚3件
Account,林鈺婷,2025/06/18,14:44:53,"老闆娘不好意思~這個規格的我們目前缺貨中
幫您送大一個規格的可以嗎?"
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/06/18,14:47:38,那先不用，有貨在通知一下
Account,☆羅惠君☆,2025/06/18,15:18:33,貼圖已傳送
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/06/30,14:40:01,青魚有貨了嗎？
Account,☆羅惠君☆,2025/06/30,14:45:58,老闆娘好  有貨喔! 請問明天要幫您送過去幾箱?
User,大寮/飄香火雞肉飯(QVCRBZ000),2025/06/30,15:06:32,3件，謝謝
Account,☆羅惠君☆,2025/06/30,15:08:20,貼圖已傳送
