帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:11
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,萬丹/水泉企業(GFFU00000)會計,2024/01/03,11:42:23,"100/130   5 件
謝謝"
Account,林鈺婷,2024/01/03,11:45:26,星期五幫您送過去喔
User,萬丹/水泉企業(GFFU00000)會計,2024/01/04,09:10:52,"貨我們司機今天過去載
謝謝"
Account,林鈺婷,2024/01/04,09:11:44,貼圖已傳送
Account,林鈺婷,2024/01/04,09:12:35,請問司機大概甚麼時候會到?
User,萬丹/水泉企業(GFFU00000)會計,2024/01/04,10:23:07,10半到11點會到
Account,林鈺婷,2024/01/04,10:25:20,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/01/11,10:24:28,"100/130   5 件
謝謝"
Account,林鈺婷,2024/01/11,10:35:47,明天幫您送過去喔
User,萬丹/水泉企業(GFFU00000)會計,2024/01/11,10:59:59,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/01/25,16:13:43,"100/130   5 件
謝謝"
Account,林鈺婷,2024/01/25,16:15:11,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/01/26,10:32:45,問一下貨幾點會到
Account,林鈺婷,2024/01/26,10:33:42,稍等跟司機確認一下
User,萬丹/水泉企業(GFFU00000)會計,2024/01/26,10:43:01,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/01/26,10:43:01,貼圖已傳送
Account,林鈺婷,2024/01/26,11:23:20,司機到了喔~謝謝
User,萬丹/水泉企業(GFFU00000)會計,2024/02/01,12:16:01,"100／130     1件
司機等等過去載"
Account,俐均,2024/02/01,12:16:48,貼圖已傳送
Account,林鈺婷,2024/02/01,12:17:09,我們12:00-13:00休息喔，盡量請司機避開這個時段，不然怕等太久
User,萬丹/水泉企業(GFFU00000)會計,2024/02/01,12:17:21,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/02/05,09:56:03,"100／130     2 件
司機過去載"
Account,林鈺婷,2024/02/05,10:08:59,請問大概什麼時候來載呢？
User,萬丹/水泉企業(GFFU00000)會計,2024/02/05,10:14:52,現在過去
User,萬丹/水泉企業(GFFU00000)會計,2024/02/15,17:47:31,"100/130   5 件
謝謝"
Account,俐均,2024/02/15,17:47:54,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/02/26,18:06:27,"100/130   5 件
謝謝"
Account,俐均,2024/02/27,08:33:25,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/03/07,18:04:01,"100/130   5 件
謝謝"
User,萬丹/水泉企業(GFFU00000)會計,2024/03/08,09:57:01,幾點到貨
Account,俐均,2024/03/08,09:59:17,幫您問一下
User,萬丹/水泉企業(GFFU00000)會計,2024/03/08,10:31:33,我家司機先過去載2件
Account,俐均,2024/03/08,10:34:37,我們司機上車了
Account,俐均,2024/03/08,10:34:56,要不要跟我們司機聯絡
Account,俐均,2024/03/08,10:35:34,0981530018
Account,俐均,2024/03/08,10:35:43,倪先生
Account,俐均,2024/03/08,10:35:49,謝謝
User,萬丹/水泉企業(GFFU00000)會計,2024/03/08,10:38:08,麻煩您出兩件給我家司機
User,萬丹/水泉企業(GFFU00000)會計,2024/03/08,10:38:40,你們司機到貨來不及了
Account,俐均,2024/03/08,10:38:53,好
User,萬丹/水泉企業(GFFU00000)會計,2024/03/08,10:39:05,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/03/14,11:18:42,"100/130   5 件
謝謝"
Account,林鈺婷,2024/03/14,11:19:12,明天幫您送過去喔
User,萬丹/水泉企業(GFFU00000)會計,2024/03/18,11:54:09,"100/130   5 件
謝謝"
Account,俐均,2024/03/18,11:58:40,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/03/28,17:42:58,"100/130   5 件
謝謝"
Account,俐均,2024/03/28,17:46:10,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/04/08,12:54:35,"100/130   5 件
謝謝"
Account,俐均,2024/04/08,12:54:42,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/04/15,10:19:45,"100/130   5 件
謝謝"
Account,俐均,2024/04/15,10:36:11,收到
User,萬丹/水泉企業(GFFU00000)會計,2024/04/25,14:15:48,"100/130   5 件
謝謝"
Account,俐均,2024/04/25,14:16:35,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/04/26,09:31:37,幾點到貨
Account,林鈺婷,2024/04/26,10:17:22,等等就到囉
User,萬丹/水泉企業(GFFU00000)會計,2024/04/26,10:30:04,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/04/29,16:30:58,"100/130   5 件
謝謝"
Account,俐均,2024/04/29,16:31:22,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/05/08,17:54:58,"100/130   5 件
謝謝"
Account,俐均,2024/05/08,18:01:10,貼圖已傳送
Account,俐均,2024/05/09,08:27:44,您好星期五幫您送
User,萬丹/水泉企業(GFFU00000)會計,2024/05/13,11:02:54,"100／130   10件
謝謝"
Account,俐均,2024/05/13,11:03:26,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/06/26,10:41:00,"100/130   5 件
謝謝"
Account,俐均,2024/06/26,10:41:18,"老闆您好
請問有急用嗎?
星期五幫您送"
User,萬丹/水泉企業(GFFU00000)會計,2024/06/26,10:41:22,"下午司機過去載
謝謝"
Account,俐均,2024/06/26,10:41:32,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/07/04,12:43:47,"100/130   5 件
謝謝"
Account,俐均,2024/07/04,12:44:20,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/07/05,09:57:47,司機出門了嗎？
User,萬丹/水泉企業(GFFU00000)會計,2024/07/05,09:58:19,如果還沒我們自己載
Account,俐均,2024/07/05,10:02:51,正在ㄊㄧㄝˊ貨中
User,萬丹/水泉企業(GFFU00000)會計,2024/07/05,10:17:42,"我們的司機先去載一件
你們的司機請妳告知只下4件
謝謝"
User,萬丹/水泉企業(GFFU00000)會計,2024/07/05,10:19:14,收5件的錢
Account,林鈺婷,2024/07/05,10:22:20,不好意思～可是我們司機已經出門了
Account,林鈺婷,2024/07/05,10:22:41,還是方便稍等一下 讓他送貨過去
User,萬丹/水泉企業(GFFU00000)會計,2024/07/05,10:23:54,"來不及了
我們司機已經出門了"
Account,林鈺婷,2024/07/05,10:26:34,好的
User,萬丹/水泉企業(GFFU00000)會計,2024/07/05,10:30:17,貼圖已傳送
Account,俐均,2024/07/05,11:03:03,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/07/11,12:35:11,"100/130   5 件
謝謝"
Account,俐均,2024/07/11,12:35:22,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/07/22,14:02:48,"100/130   5 件
謝謝"
Account,林鈺婷,2024/07/22,14:03:56,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/08/01,15:26:37,"100/130   5 件
謝謝"
Account,俐均,2024/08/01,16:30:06,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/08/13,10:28:13,"100/130   5 件
謝謝"
User,萬丹/水泉企業(GFFU00000)會計,2024/08/13,10:28:52,下午我們司機去載
Account,林鈺婷,2024/08/13,11:06:16,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/08/19,17:51:28,"100/130   5 件
謝謝"
Account,俐均,2024/08/19,17:53:49,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/08/27,10:52:24,"100/130   5 件
謝謝"
User,萬丹/水泉企業(GFFU00000)會計,2024/08/27,10:53:32,下午我們司機會去載
Account,林鈺婷,2024/08/27,11:06:12,貼圖已傳送
User,萬丹/水泉企業(GFFU00000)會計,2024/09/07,10:21:55,"問一下
薄鹽鯖魚80～100克
有這個規格嗎？"
Account,自動回應訊息,2024/09/07,10:21:56,貼圖已傳送
