帳號名稱,988廚房
時區,'+09:00
下載時間,2025/07/10 12:17
傳送者類型,傳送者名稱,傳送日期,傳送時間,內容
User,枋寮/口味自助餐(DJY5H0000),2024/01/04,15:07:06,柳葉魚有大的嗎，和隆的
Account,林鈺婷,2024/01/04,15:08:49,目前沒有喔~不好意思
User,枋寮/口味自助餐(DJY5H0000),2024/01/04,22:01:16,有 柳葉魚M的嗎
Account,自動回應訊息,2024/01/04,22:01:17,貼圖已傳送
Account,自動回應訊息,2024/01/04,22:01:17,"(love letter)已收到您的訂單,會儘快為您出貨
(telephone)關於產品的問題,明天會盡快給您答覆/緊急問題請聯絡王經理 0988001988
(monitor)上班時間為早上7:30~下午5:00(周一至周五)
/當天要用的貨，請在早上8點前傳/"
Account,Mita💮(づ￣ ³￣)づ雅婷💓,2024/01/05,08:39:18,"不好意思,M的也缺貨了,目前剩下海苔口味的"
User,枋寮/口味自助餐(DJY5H0000),2024/01/11,14:33:51,鹹魚1箱柳葉魚有嗎
User,枋寮/口味自助餐(DJY5H0000),2024/01/11,14:34:28,和籠的
Account,林鈺婷,2024/01/11,14:39:02,目前只有海苔口味的，不好意思
User,枋寮/口味自助餐(DJY5H0000),2024/01/11,14:41:42,如有就貨就送
Account,林鈺婷,2024/01/11,14:41:51,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/01/15,16:51:10,柳葉魚有嗎
Account,林鈺婷,2024/01/15,16:52:17,目前只有海苔的，原味的過幾天才會到貨
User,枋寮/口味自助餐(DJY5H0000),2024/01/18,14:05:37,和榮大尾2箱，鹹魚1箱
Account,林鈺婷,2024/01/18,14:06:07,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/01/19,14:04:54,請問幾點到
User,枋寮/口味自助餐(DJY5H0000),2024/01/19,14:13:48,問司機幾點到
User,枋寮/口味自助餐(DJY5H0000),2024/01/22,14:04:30,柳葉魚2箱大
Account,俐均,2024/01/22,14:05:42,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/01/22,14:05:58,尾
User,枋寮/口味自助餐(DJY5H0000),2024/01/23,14:09:01,星期五柳葉魚2箱，鹹魚1箱
Account,俐均,2024/01/23,14:15:24,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/02/01,17:55:05,鹹魚1箱
Account,林鈺婷,2024/02/01,17:55:17,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/02/15,13:31:33,鹹魚1箱，柳葉魚2箱
Account,林鈺婷,2024/02/15,14:06:20,貼圖已傳送
Account,俐均,2024/02/15,14:30:30,"老闆娘您好
柳葉魚L號的目前缺貨
改送M的好嗎?
一箱便宜40元"
User,枋寮/口味自助餐(DJY5H0000),2024/02/15,17:45:29,甚麼時候有
Account,俐均,2024/02/15,17:47:11,"老闆娘您好
下星期就會有囉~"
User,枋寮/口味自助餐(DJY5H0000),2024/02/15,17:48:55,就下星期再拿
Account,俐均,2024/02/15,17:49:06,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/02/15,17:49:40,明天拿鹹魚
Account,俐均,2024/02/15,17:52:34,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/02/19,14:03:48,柳葉魚有嗎
Account,俐均,2024/02/19,14:04:44,"老闆娘您好
有的"
User,枋寮/口味自助餐(DJY5H0000),2024/02/19,14:06:01,柳葉魚2箱鹹魚1箱
Account,俐均,2024/02/19,14:07:08,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/03/04,15:16:47,鹹魚1箱
Account,俐均,2024/03/04,15:34:44,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/03/14,14:24:04,鹹魚1箱 柳葉魚2箱
Account,俐均,2024/03/14,14:25:48,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/03/15,14:09:55,問司機幾點到
Account,俐均,2024/03/15,14:11:15,"老闆娘您好
問一下司機喔"
Account,俐均,2024/03/15,14:12:01,半個小時會到喔
User,枋寮/口味自助餐(DJY5H0000),2024/03/18,14:28:15,鹹魚1箱柳葉魚1箱
Account,俐均,2024/03/18,14:28:19,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/03/25,07:32:55,鹹魚1箱
Account,自動回應訊息,2024/03/25,07:32:55,貼圖已傳送
Account,自動回應訊息,2024/03/25,07:32:55,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，上班時間會盡快給您答覆"
Account,林鈺婷,2024/03/25,08:29:13,老闆娘早~明天幫您送過去喔
User,枋寮/口味自助餐(DJY5H0000),2024/04/01,10:24:49,鹹魚1箱
Account,俐均,2024/04/01,10:26:06,"老闆娘好
明天幫您送
謝謝"
User,枋寮/口味自助餐(DJY5H0000),2024/04/08,16:25:43,鹹魚1箱柳葉魚1箱
Account,俐均,2024/04/08,16:25:55,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/04/18,21:54:02,鹹魚11箱
Account,自動回應訊息,2024/04/18,21:54:02,貼圖已傳送
Account,自動回應訊息,2024/04/18,21:54:02,"(love letter)已收到您的訂單,會儘快為您安排出貨
(LINE messenger)如有任何問題，歡迎隨時留言，或洽客服專線0988-001-988，上班時間會盡快給您答覆"
Account,林鈺婷,2024/04/19,08:38:49,老闆娘11箱都今天幫您送過去嗎?
Account,俐均,2024/04/19,09:13:07,如電話所說幫您送一箱鯖魚
Account,俐均,2024/04/19,09:13:15,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/04/19,09:17:07,謝謝妳，打錯了不好一思
Account,俐均,2024/04/19,09:17:44,貼圖已傳送
Account,俐均,2024/04/19,09:17:45,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/04/25,14:02:39,鹹魚1箱
Account,俐均,2024/04/25,14:03:09,貼圖已傳送
User,枋寮/口味自助餐(DJY5H0000),2024/04/26,14:05:36,司機到那
User,枋寮/口味自助餐(DJY5H0000),2024/05/02,17:22:29,鹹魚1箱，柳葉魚1箱
